[["LUCHT","BLAZEN","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","perslucht, drukloos maken, loslaten, puff, sputter, flutter, purge..."],
["MECHANISCH","HYDRAULISCH & PNEUMATISCH","MECHHydr","MECH","Various hydraulic or pneumatic sounds, like on a self-closing door. Isolated hydraulics and pneumatics. See also DOORS-HYDRAULIC & PNEUMATIC for a complete door.","hydraulisch, pneumatisch, onder druk, ventiel"],
["MECHANISCH","LUIK","MECHLtch","MECH","Latch, as in a briefcase latch, or a luggage latch.","grendel, beslag, slot, sluiting, grendel, bout"],
["MECHANISCH","HENDEL","MECHLvr","MECH","A sliding or switching lever. Train track lever, lever to turn on an electric chair. Old Frankenstein machine levers, breaker levers.","hendel, schakelaar, clunk, clank"],
["MECHANISCH","SLOT","MECHLock","MECH","A padlock, bicycle lock, or a locking mechanism. Door locks to go into DOORS-HARDWARE.","hangslot, nachtslot"],
["MECHANISCH","DIVERSEN","MECHMisc","MECH","Mechanical sounds not fitting another category in this list.","diverse"],
["MECHANISCH","KATROL","MECHPuly","MECH","An isolated recording of a pulley, or system of pulleys.","piepen, piepen, rollen"],
["MECHANISCH","RATEL","MECHRtch","MECH","That sound a ratchet makes.","ratel, klik, klik, wind, zwengel, lier"],
["MECHANISCH","RELAIS","MECHRelay","MECH","Old train station counting board flipping. A old communications relay board.","flip, toggle, clack"],
["MECHANISCH","ROLLER","MECHRolr","MECH","Like a rolling conveyor belt, or something on a roller.","rol, riem, lijnas"],
["MECHANISCH","SCHAKELAAR","MECHSwtch","MECH","Basic and heavy switches, light switches, power switches. Some overlap or confusion with MECHANICAL-CLICK.","schakelaar, klik, clack, toggle, knop"],
["METAAL","BREKEN","METLBrk","METL","Metal breaking, snaps, cracks, rips, shatters.","breken, kraken, scheuren, versplinteren, kraken"],
["METAAL","CRASH & PUIN","METLCrsh","METL","Metal crashing and debris. Complex metal crashes, group metal crashes, metal debris falls.","crash, val, brokstukken"],
["METAAL","IMPACT","METLFric","METL","Metal friction, stress, so scrapes, creaks, squeaks, squeals, screeches. Metal sounds caused by friction.","stress, schrapen, kraken, piepen, krijsen"],
["METAAL","HANDELINGEN","METLHndl","METL","Metal handling, handling metal objects. Some overlap with METAL-MOVEMENT possible.","hanteren, grijpen, instellen, ophalen, neerzetten, gooien, vangen"],
["METAAL","IMPACT","METLImpt","METL","Metal single item impacts, so anvil hits, dropping something that doesn't break. Clangs, clunks, bangs.","raken, vallen, impact, crash, clunk, clang"],
["METAAL","DIVERSEN","METLMisc","METL","Metal sounds not fitting another category in this list.","diverse"],
["METAAL","BEWEGING","METLMvmt","METL","Metal movement, so drag, roll, rattle, shake. Single or metal items moving. Or movement on a metal surface. See also METAL-HANDLE.","slepen, rollen, rammelen, schudden"],
["METAAL","TONAAL","METLTonl","METL","Metal tonal, resonating, ringing, wronks and warps. Bending sheet metal, a singing bowl ringing, metal shinging.","buigen, ring, wronk, shing, kromtrekken, buigen, resoneren"],
["MOTOREN","ANTIEK","MOTRAntq","MOTR","Old motors, usually combustion, so old oil pump engines, old compressors. An antique gas pump for example.","kerosinemotor, paraffinemotor"],
["MOTOREN","ONTBRANDING","MOTRComb","MOTR","Non-vehicle combustion engines. Combustion motors, generators. Isolated engine recordings.","dieselmotor, gasmotor, verbrandingsmotor, tweetaktmotor"],
["MOTOREN","ELECTRISCH","MOTRElec","MOTR","Non-vehicle electric motors. Any motor that runs on electricity. An isolated electric motor. See also TOOLS-POWER.","tandenborstel, elektrisch scheerapparaat, elektrische motor, vuilnisbak, tandartsboormachine"],
["MOTOREN","DIVERSEN","MOTRMisc","MOTR","Motor sounds not fitting another category in this list.","diverse"],
["MOTOREN","SERVO","MOTRSrvo","MOTR","Specifically servo motors, from robot, to radio controlled servos. Clean isolated servos.","robot, rc auto, camera focus, auto antenne, printer"],
["MOTOREN","TURBINE","MOTRTurb","MOTR","Turbines, water or air. That classic 'whine' power up and down are usually turbines. A jet engine is a turbine.","windmolen, vliegtuig, vliegtuig, generator"],
["BEWEGING","ACTIVITEITEN","MOVEActv","MOVE","Crowds moving but also performing activities, cleaning, moving boxes. Clean recordings with no vocals. See MOVEMENT-HUMAN for Single activity.","activiteit, verhuizen, schoonmaken, winkelen, uitpakken"],
["BEWEGING","DIEREN","MOVEAnml","MOVE","Group animal movement, individual feet go to FOOTSTEPS-ANIMAL or FOOTSTEPS-HORSE. But think herds of grazing animals, stampedes.","stormloop, kudde, aanval, vertrappen, klauteren"],
["BEWEGING","WEZEN","MOVECrea","MOVE","Slithering Dragons, Gooey Zombie Movement.","glibberen, kruipen, glijden, kronkelen, kronkelen"],
["BEWEGING","MENIGTE","MOVECrwd","MOVE","Groups of people milling or walking. Usually mostly just recordings of group footsteps in real locations. No vocals. Compare to MOVEMENT-ACTIVITY.","lopen, rennen, marcheren, wandelen, schuifelen, schuifelen, zitten, staan, liggen, uitglijden, springen, overslaan"],
["BEWEGING","MENS","MOVEHmn","MOVE","Movement of single human, aside from footsteps, standing, sitting, shuffe. Some overlap or confusion with FOOTSTEP-HUMAN or MOVEMENT-ACTIVITY.","lopen, rennen, marcheren, frezen, schuifelen, schuifelen, zitten, staan, liggen, glijden, springen, overslaan"],
["BEWEGING","INSECT","MOVEInsc","MOVE","Group insects, footsteps, movement, swarms, spiders, locusts. Swarms of flying insects here too, bees, flies. Overlap with ANIMALS-INSECT or AMBIENCE-INSECT.","zwerm, korf, bijenkorf, glibberen, maden"],
["BEWEGING","DIVERSEN","MOVEMisc","MOVE","Movement sounds not fitting another category in this list.","diverse"],
["BEWEGING","AANWEZIGHEID","MOVEPres","MOVE","Very light movement, people in church adjusting, people on church pews. Again, recordings without vocals. Compare to MOVEMENT-ACTIVITY and MOVEMENT-CROWD.","aanpassen, schuifelen, schuifelen, lichte beweging, verschuiven"],
["MUSICAL","BELLEN","MUSCBell","MUSC","Specifically musical bells, tuned bells, think Tubular bells or hand bells. See also the BELL category for non-musical uses. BELL-GONG is older and this is a better fit.","buisklokken, beiaard, gamelan, klankschaal, handbel, koebel, gong, gamelan, agung, komgong, tam-tam"],
["MUSICAL","KOPERBLAZERS","MUSCBrass","MUSC","Brass musical instruments, trumpets, tuba, french horn.","tuba, hoorn, trombone, trompet, mellofoon, euphorium, sousafoon, bugel, saxhoorn, kornet"],
["MUSICAL","GONG","MUSCChim","MUSC","Wind chimes, bell trees, Tinkerbell type magic chimes.","windgong, bellenboom, tinkle, twinkle, shimmer"],
["MUSICAL","KOOR","MUSCChor","MUSC","Choir pieces, choral, not for 'designed type vocally stuff'.","koor, koor, gospel, kerk"],
["MUSICAL","EXPERIMENTEEL","MUSCExpr","MUSC","Strange or wierdly modified instruments, exotic instruments, prepared instruments like a prepared piano.","theremin, glazen armonica, pyrofoon, stylofoon, kristallen baschet, geëlektriseerde cactus, eolische windharp"],
["MUSICAL","INSTRUMENT","MUSCInst","MUSC","Various instruments that don't have a home in the other MUSICAL categories.","instrument"],
["MUSICAL","TOETSEN","MUSCKeyd","MUSC","Keyed Instruments, such as pianos and harpsichord. For synthesizer though see MUSICAL-SYNTHESIZED.","piano, orgel, klavecimbel, accordeon, melodica, celesta, spinet, clavinet, clavichord, harmonium, dulcitone"],
["MUSICAL","LOOP  ","MUSCLoop","MUSC","For looping musical phrases, sampled loops.","muziek loops, sample loops, drum loops"],
["MUSICAL","DIVERSEN","MUSCMisc","MUSC","Music sounds not fitting another category in this list. Hopefully rarely needed.","diversen, harmonica, kazoo..."],
["MUSICAL","PERCUSSIE","MUSCPerc","MUSC","Drums and percussion, including deep timpani or big war drums. Mainly meant for true membrane instruments, also see MUSICAL-TUNED PERCUSSION","pauken, keteldrum, basdrum, toms, oorlogsdrums, taiko, kick drum, snare drum"],
["MUSICAL","PERCUSSIE GESTEMD","MUSCTnprc","MUSC","Tuned percussion mostly played with mallets, Xylophones, Vibraphones, etc.","glockenspiel, xylofoon, vibrafoon, metallofoon, klokkenluider, steeldrum, marimba"],
["MUSICAL","UITVOERING","MUSCPrfm","MUSC","A musical performance, or warm-up, a live musical act, a street musican, high school band. If a mixed ambience, look to AMBIENCE categories, like PUBLIC PLACE.","band, straatmuzikant, live concert, show, nachtclub, "],
["MUSICAL","GEPLUKT","MUSCPluck","MUSC","Guitars, Banjos, Harps, instruments that are mainly plucked when played. See also MUSICAL-STRINGED.","gitaar, banjo, ukelele, harp, akoestische gitaar, basgitaar, mandoline, balalaika, sitar, pipa, duimpiano, kaakharp, citer, balalaika, autoharp, kora, luit, lier, oud, tambura, karimba..."],
["MUSICAL","SAMPLE","MUSCSmpl","MUSC","Musical samples. Single triggered samples, not loops, which has its own subcategory here.","samples, ruwe samples, one-shot"],
["MUSICAL","SCHUDDEN","MUSCShake","MUSC","Shaken musical instruments, rattles, tamourines.","maracas, tamboerijn, rammelaars, regenstok, shekere, eierschudder, chajchas, apenstok, katsa, sistrum, shaker, cabasa"],
["MUSICAL","LIED","MUSCSong","MUSC","Complete musical pieces, songs as ringtones, car music bys. See also MUSICAL-PERFORMANCE which is a better fit for 'live performances'.","muziek, player piano, ringtone, musical car by, phrase"],
["MUSICAL","STING","MUSCStngr","MUSC","A short musical phrase or accent, like a horror 'string' sting. A big pitching cello note. But musical in nature.","muziek angel, nieuws angel, titel"],
["MUSICAL","STRIJKERS","MUSCStr","MUSC","Bowed string instruments like violin, cello, viola. Harp probably now goes to MUSICAL-PLUCKED.","viool, cello, altviool, violoncello, bas, contrabas"],
["MUSICAL","GESYNTHETISEERD","MUSCSynth","MUSC","Synth samples, musical synth performances. Some overlap with MUSICAL-SAMPLE, but this meant for more than simple triggered samples.","synth, moog, casio, roland, arp, synthesizer, oberheim, minimoog, yamaha, korg"],
["MUSICAL","SPEELGOED","MUSCToy","MUSC","Toys that play musical phrases, also music boxes would go here.","muziekdoos, jack in the box"],
["MUSICAL","HOUTBLAZERS","MUSCWind","MUSC","Woodwind instruments like flute, oboe, bassoon, clarinet.","fluit, piccolo, hobo, fagot, blokfluit, klarinet, saxofoon, basklarinet, ney, bansuri, kaval, panfluit, xiao, fife.., "],
["NATUURRAMP","LAWINE","NATDAval","NATD","Composite big movements of sliding, falling earth, landslides, mudslides. This category often for big hollywood versions of these types of sound.","aardverschuiving, modderstroom"],
["NATUURRAMP","AARDBEVING","NATDQuak","NATD","Composite and complex earthquake rumbles and rattles. This category often for big hollywood versions of these types of sound.","earthquake, rumble, rattle, fissure, lfe"],
["NATUURRAMP","DIVERSEN","NATDMisc","NATD","Natural Disaster sounds not fitting another category in this list.","diverse"],
["NATUURRAMP","TORNADO","NATDTorn","NATD","Composite tornado sounds, layered and created massive tornadoes. This category often for big hollywood versions of these types of sound.","twister, vortex, waterhoos"],
["NATUURRAMP","TSUNAMI","NATDTsun","NATD","Composite tidal wave or tsunami scenes, layered and created. This category often for big hollywood versions of these types of sound.","vloedgolf, tsunami"],
["NATUURRAMP","TYFOON","NATDThyp","NATD","Composite typhoons, cyclones or hurricanes. Massive swirling storms. This category often for big hollywood versions of these types of sound.","tyfoon, orkaan, cycloon, tropische storm"],
["NATUURRAMP","VULKAAN","NATDVolc","NATD","Composite big volcano eruptions. Lava, lava bombs, eruptions. This category often for big hollywood versions of these types of sound. See also GEOTHERMAL-LAVA.","uitbarsting, lava, lava bommen, uitbarstingen, pyroclastiek"],
["VOORWERPEN","TAS","OBJBag","OBJ","Bags and purses, shopping bags, lunch bags. Really any bag, except Luggage which would go to OBJECTS-LUGGAGE.","duffel, rugzak, rugzak, handtas, schoudertas, cameratas"],
["VOORWERPEN","BOEK","OBJBook","OBJ","Books, magazines, sounds relating to these. Handling particularly. Some overlap or confusion with PAPER-HANDLE.","boek, kaft, tijdschrift, catalogus, leerboek, woordenboek, boekdeel, bijbel, publicatie"],
["VOORWERPEN","MUNT","OBJCoin","OBJ","Coins land, toss, drop, handle. Coins being counted, sorted. A bag of coins.","toss, flip, ping, dump, spin, piggy bank, clink, coin, loose change, change, silver dollar, penny, nickel, dime, quarter"],
["VOORWERPEN","BEWAARDOOS","OBJCont","OBJ","Boxes, tupperware, jewelry boxes, things that hold things, lids, handling, opens and closes.","doos, kartonnen doos, container, verpakking, juwelendoos, plastic container, deksel, tupperware, capsule, brooddoos, bus, gereedschapskist, pillendoosje"],
["VOORWERPEN","TUIN","OBJFash","OBJ","Shoes, belts, clothes, actions involding fashion objects. Makeup, lipstick, etc. Some overlap possible with CLOTH categories. See also OBJECTS-JEWELRY. And OBJECTS-BAG.","schoenen, laarzen, mascara, lippenstift, make-up, riem, sjerp, sjaal, hoge hakken, eyeliner, zonnebril, bril, portefeuille, hoed, handschoenen, horloges, sjaal, sokken, bandana, hoofdband, dassen, moffen, bretels, badjas, zakdoek"],
["VOORWERPEN","GYM","OBJFurn","OBJ","Chairs movement, couch movement, things like that. Wood chair creaks could go in WOOD-FRICTION.","chesterfield, bank, schommelstoel, tafel, stoel, loveseat, kruk, kast, boekenkast, bed, bank, kist"],
["VOORWERPEN","MODE","OBJGrdn","OBJ","Flower pots, bird feeders, things that you might find and use in a garden. See also TOOLS-GARDEN and MACHINES-GARDEN.","bloempot, tuinbeeld, slang, kraan, gieter, vogelvoederbak, composteerbak"],
["VOORWERPEN","MEUBILAIR","OBJGym","OBJ","Objects found in a fitness center or school gym, maybe a yoga mat, dumbells. See also MACHINES-GYM.","gewicht, dumbell, barbell, mat, gewichtsbank, springtouw, gymnastiekbal, yogamat, gewichtsbank, weerstandsband, kettlebell, fitnessbal, gymnastiekbal"],
["VOORWERPEN","HUISHOUDEN","OBJHsehld","OBJ","Cleaning products, hangers, towel racks, things around the house that don't fit somewhere else.","huis, huis, huis"],
["VOORWERPEN","JUWELEN","OBJJewl","OBJ","Bracelets, necklaces, rings.","armband, halsketting, kroon, oorbel, ring, nosering, hanger, dasspeld, manchetknopen"],
["VOORWERPEN","SLEUTELS","OBJKey","OBJ","Keys jingling, keys movement in lock.","sleutelring, sleutelhanger, sleutelkoord"],
["VOORWERPEN","KOFFERS","OBJLug","OBJ","Suitcases, luggage related sounds, handling, opening, packing.","koffer, bagage, plunjezak, duffel"],
["VOORWERPEN","MEDISCH","OBJMed","OBJ","Common objects in hospital or medical office.","manuele bloeddrukmeter, stethoscoop, rubberen handschoenen, klem, injectiespuit, forceerapparaat"],
["VOORWERPEN","DIVERSEN","OBJMisc","OBJ","Object sounds not fitting another category in this list.","diverse"],
["VOORWERPEN","KANTOOR","OBJOffc","OBJ","Things found in an office, staplers, paper cutter etc. Not machines like a printer which would go in MACHINES-OFFICE.","nietmachine, papiersnijder, perforator, schaar, papierbak, presse-papier, map, ordner, rapport"],
["VOORWERPEN","INPAK","OBJPack","OBJ","Items commonly used in packaging or packing, so bubblewrap, styrofoam, labels, food packaging.","karton, piepschuim, verpakkingspinda's, etiketten, pakpapier, noppenfolie"],
["VOORWERPEN","TAPE","OBJTape","OBJ","Tape and other tacky sticky type sounds as well. Velco probably better into CLOTH-RIP as that matches the 'sound' better.","tape, klittenband, vliegenpapier, lijm, verpakkingstape, afplaktape, duct tape, gaffer tape, scotch tape, dubbelzijdig plakband..."],
["VOORWERPEN","PARAPLU","OBJUmbr","OBJ","Umbrella opens and closes. Not for rain on umbrella, which would go in RAIN-CLOTH.","schudden, ritselen, ploppen, dreunen"],
["VOORWERPEN","OP WIELEN","OBJWhled","OBJ","Non-motorized wheeled carts and dollies. Shopping cart, food cart, baggage cart, baby stroller, dolly, wheelchairs.","kinderwagen, wandelwagen, kinderwagen, rolstoel, dolly, wandelwagen, kar, brancard"],
["VOORWERPEN","SCHRIJVEN","OBJWrite","OBJ","Any writing object or performance of writing on any surface. Pens, pencils, crayons, markers.","pen, potlood, stift, krijt, krijt, droog wisbord, sharpie, handtekening"],
["VOORWERPEN","RITS","OBJZipr","OBJ","Pant zippers, bag zippers, luggage zippers.","rits, broek, jas, tent, tas"],
["PAPIER","FLADDEREN","PAPRFltr","PAPR","Paper and Cardboard. Tossing a group of pages or a book in the air, money flutters as it falls to the ground. Confetti.","fladderen, flapperen, vallen, confetti, karton, papier"],
["PAPIER","WRIJVING","PAPRFric","PAPR","Paper and Cardboard. Sliding paper or scraping paper.","glijden, schrapen, karton, papier"],
["PAPIER","HANDELINGEN","PAPRHndl","PAPR","Paper and Cardboard. Page turns, magazine handling. Books dropping. Handling paper money. Some overlap or confusion with OBJECTS-BOOK.","omslaan, bladzijde, bladeren, doorbladeren, karton, papier"],
["PAPIER","IMPACT","PAPRImpt","PAPR","Paper and Cardboard. Heavy paper hits, a rolled up newspaper thwack, a magazine hitting something.","papier slaan, smakken, meppen, krant, tijdschrift, karton, papier"],
["PAPIER","DIVERSEN","PAPRMisc","PAPR","Paper and Cardboard. Paper sounds not fitting another category in this list.","diverse"],
["PAPIER","SCHEUREN","PAPRRip","PAPR","Paper and Cardboard. Ripping paper, paper tears.","scheuren, scheuren, versnipperen, karton, papier"],
["PAPIER","TONAAL","PAPRTonl","PAPR","Paper and Cardboard. Not very common, but tonal paper sounds.","tonaal, zingen, rinkelen, papier, karton"],
["PLASTIC","BREKEN","PLASBrk","PLAS","Plastic breaking, crunches, rips, shatters.","breken, barsten, scheuren, versplinteren, kraken"],
["PLASTIC","CRASH & PUIN","PLASCrsh","PLAS","Plastic crashing, groups items falling, group destruction, plastic debris.","vallen, neerstorten, brokstukken"],
["PLASTIC","WRIJVING","PLASFric","PLAS","Plastic friction, such as scrapes, creaks, squeaks, screeching.","stress, schrapen, kraken, piepen, krijsen"],
["PLASTIC","HANDELINGEN","PLASHndl","PLAS","Plastic handling, handling a toy or remote control. Some overlap with PLASTIC-MOVEMENT possible.","hanteren, grijpen, instellen, ophalen, neerzetten, gooien, vangen"],
["PLASTIC","IMPACT","PLASImpt","PLAS","Plastic item impact. Hit, drop, big plastic impacts where item does not break. Dropping a plastic object.","raken, laten vallen, botsen"],
["PLASTIC","DIVERSEN","PLASMisc","PLAS","Plastic sounds not fitting another category in this list.","diverse"],
["PLASTIC","BEWEGING","PLASMvmt","PLAS","Plastic movement, dragging plastic or drag on plastic, rattles, shakes. See also PLASTIC-HANDLE.","slepen, rollen, rammelen, schudden"],
["PLASTIC","TONAAL","PLASTonl","PLAS","Plastic tonal sounds, with a musical quality. Probably pretty rare.","tonaal, zingen, rinkelen"],
["REGEN","KLEDING","RAINClth","RAIN","Rain on cloth, like a person's clothes, or more likely a patio umbrella, awning.","regen, doek, jas, paraplu, katoen"],
["REGEN","ASFALT","RAINConc","RAIN","Rain on asphalt or concrete or patio tile. Rain on a hard slappy solid surface.","regen, cement, stoep, asfalt"],
["REGEN","ALGEMEEN","RAIN","RAIN","General downpour, rain on mixed materials.","regen, regenstorm, stortbui"],
["REGEN","GLAS","RAINGlas","RAIN","Rain on a glass roof like a sunroof, or rain blown against a window as well.","regen, glas, dakraam, raam, zonnedak, serre"],
["REGEN","INTERIEUR","RAINInt","RAIN","Interior recordings of Rain, from inside house or barn, or vehicle.","regen, regenstorm, binnenregen, windschermregen, regen op dak"],
["REGEN","METAAL","RAINMetl","RAIN","Rain on a metal surface, so exterior rain on a car, or metal sheet, metal roof.","regen, metaal, auto, blik, blik, dak"],
["REGEN","PLASTIC","RAINPlas","RAIN","Rain on plastic or vinyl surfaces, like a grill cover, or a plastic shed.","regen, plastic, vinyl, plexiglas"],
["REGEN","VEGETATIE","RAINVege","RAIN","Rain on plants, leaves and grass. Jungle or tropical rain on plant leaves.","regen op een metalen oppervlak, dus regen op een auto, of metalen plaat, enz."],
["REGEN","WATER","RAINWatr","RAIN","Rain on water, puddles, lakes, ponds.","regen, plas, meer, vijver"],
["REGEN","HOUT","RAINWood","RAIN","Rain on wood surfaces, so a deck for example.","regen, hout, dek, dak, schuur, vloer"],
["ROBOTS","DIVERSEN","ROBTMisc","ROBT","Robot sounds not fitting another category in this list.","automaat, droid, bot"],
["ROBOTS","BEWEGING","ROBTMvmt","ROBT","Complex robot movement, servos, possible robot hovering and flying. See also MOTORS-SERVO.","servo, solenoïde, mechanisme, pneumatisch, hydraulisch, droid, bot"],
["ROBOTS","STEM","ROBTVox","ROBT","Droid and robot vocals, R2D2 would go here. Any manner of vocalizing robot. More expressive than a beep/UI.","droid, tsjirp, piep, fluit, bot"],
["STENEN","BREKEN","ROCKBrk","ROCK","Rock cracks, breaks, rips or shatters. More isolated and singular cracks and breaks.","Breuken, barsten, scheuren, versplinteren, kraken"],
["STENEN","CRASH & PUIN","ROCKCrsh","ROCK","Rock crashes and debris, so a huge rock crash, collapse. Or isolated debris. See also NATURAL DISASTER-AVALANCHE.","Vallen, Puin"],
["STENEN","WRIJVING","ROCKFric","ROCK","Rock creaks, scrapes... the stress of rock about to break.","Spanning, schrammen, kraken, piepen, krijsen"],
["STENEN","HANDELINGEN","ROCKHndl","ROCK","Rock handing, picking up or digging through rocks, bricks. Some overlap with ROCKS-MOVEMENT possible.","hanteren, grijpen, instellen, ophalen, neerzetten, gooien, vangen"],
["STENEN","IMPACT","ROCKImpt","ROCK","Rock falling, dropping without breaking, or something hit with a rock, a big rock impact.","Hit, Drop, Impact, Crash, Clunk, Clang, Clink, Chop"],
["STENEN","DIVERSEN","ROCKMisc","ROCK","Rock sounds not fitting another category in this list.","diverse"],
["STENEN","BEWEGING","ROCKMvmt","ROCK","Rock dragging, or dragging across a rock surface, rocks shaking or rattling. See also ROCKS-HANDLE.","Slepen, Rollen, Rammelen, Schudden"],
["STENEN","TONAAL","ROCKTonl","ROCK","Tonal rocks, probably pretty rare. Singing rocks.","Buigen, Ring, Wronk, Shing, Warp"],
["TOUW","KRAKEN","ROPECreak","ROPE","Rope stretches and creaks, people hanging from nooses.. Ship rope creaks. Tension of rope stretches.","rekken, spannen, trekken"],
["TOUW","HANDELINGEN","ROPEHndl","ROPE","Rope handling, tying knots, rigging up a ship sail. Possible overlap with ROPE-MOVEMENT.","hanteren, grijpen, instellen, ophalen, neerzetten, gooien, vangen"],
["TOUW","IMPACT","ROPEImpt","ROPE","Rope impacts, tossing ropes to ground, ropes banging violently in the wind. Possible overlap with ROPE-MOVEMENT.","slaan, laten vallen, stoten"],
["TOUW","DIVERSEN","ROPEMisc","ROPE","Rope sounds not fitting another category in this list.","diverse"],
["TOUW","BEWEGING","ROPEMvmt","ROPE","Ropes zuzzing, moving across objects, zipline. See also ROPE-HANDLE.","zuzz, zipline, zip, knoop, tie"],
["RUBBER","CRASH & PUIN","RUBRCrsh","RUBR","Rubber items crashing, or rubber debris landing.","puin, verstrooien, plop"],
["RUBBER","WRIJVING","RUBRFric","RUBR","Rubber squeaks, balloon squeaks, a rubber shoe squeak.","piepen, kraken, slepen, wrijven, schrapen, kreunen"],
["RUBBER","HANDELINGEN","RUBRHndl","RUBR","Rubber handling, rubber objects being manipulated or handled. Some overlap with RUBBER-MOVEMENT","hanteren, grijpen, instellen, ophalen, neerzetten, gooien, vangen"],
["RUBBER","IMPACT","RUBRImpt","RUBR","Rubber impacts, drops, bounces. Hitting a balloon or rubber ball.","smakken, botsen, slaan, stuiteren, vallen"],
["RUBBER","DIVERSEN","RUBRMisc","RUBR","Rubber sounds not fitting another category in this list.","diverse"],
["RUBBER","BEWEGING","RUBRMvmt","RUBR","Rubber movement, dragging rubber or drag on rubber. Rubber flapping. See also RUBBER-HANDLE.","beweging, slepen, kleppen, floppen"],
["RUBBER","TONAAL","RUBRTonl","RUBR","Rubber movement with a tonal quality, a musical quality.","tonaal, rubber, zingen"],
["SCIFI","ALARM","SCIAlrm","SCI","Overly futuristic alarms, the kind you're hear on a spaceship","sci-fi alarm, alarm, waarschuwing"],
["SCIFI","COMPUTER","SCICmpt","SCI","Use Sci-Fi for overtly 'science fiction' type computer sounds, a very futuristic computer. Some overlap with USER INTERFACE.","computer, console, interface, holoscherm"],
["SCIFI","DEUR","SCIDoor","SCI","That Star-Trek type door. Spaceship doors.","sci-fi deur, luchtsluis"],
["SCIFI","ENERGIE","SCIEnrg","SCI","Energy particles, vortexes, transporters, holograms, force fields.","deeltje, vortex, transporter, hologram, krachtveld"],
["SCIFI","IMPACT","SCIImpt","SCI","A bolt of SciFi energy, a hi-tech energy impact, more futuristic than just an explosion. Overlap with DESIGNED-IMPACT.","energiestoot, energiegolf, krachtveld"],
["SCIFI","MACHINE","SCIMach","SCI","Future technology machines, transporters, food replicators.","teleporter, voedselreplicators, holodeck..."],
["SCIFI","MECHANISME","SCIMech","SCI","An overly sci-fi sounding gizmo or mechanism. Little unfolding robot or something like that. Similar to MACHINE-MECHANISM but more SciFi.","tricorder, scifi apparaat, gizmo"],
["SCIFI","DIVERSEN","SCIMisc","SCI","SCI-FI sounds not fitting another category in this list.","diverse"],
["SCIFI","RETRO","SCIRetro","SCI","Cheesy sci-fi sounds, like from The Jetsons, The Day the Earth Stood Still. Old TV or film sci-fi sounds.","oude sci-fi"],
["SCIFI","RUIMTESCHIP","SCIShip","SCI","Spaceships here, your best Enterprise and Tie Fighter rip-offs! See also SCIFI-VEHICLE for non-spaceships.","ruimteschip, ufo, moederschip, slagschip, sterrenschip"],
["SCIFI","VOERTUIG","SCIVeh","SCI","Various sci-fi vehicles, like a moon rover, landspeeder, speeder bike, hoverboard, podracer. See also SCIFI-SPACESHIP.","maan zwerver, landspeeder, speeder fiets, hoverboard, podracer"],
["SCIFI","WAPEN","SCIWeap","SCI","Lightsabers, exotic sci-fi weapons. Not a 'blaster' which would go in LASERS-GUN.","lichtzwaarden, exotisch wapen"],
["SNOW","CRASH & PUIN","SNOWCrsh","SNOW","Snow big crashes, a big fall of snow, a roof full of snow collapsing. See also NATURAL DISASTER-AVALANCE for the extreme version of this.","sneeuwbal, sneeuwcrash"],
["SNOW","WRIJVING","SNOWFric","SNOW","Snow scrapes, squeaks. Sliing on snow, sledding.","stress, schrapen, kraken, piepen, krijsen"],
["SNOW","HANDELINGEN","SNOWHndl","SNOW","Snow being handled, a snowball being formed, etc. Digging out of show with your hands. Some overlap with SNOW-MOVEMENT.","hanteren, grijpen, instellen, oppakken, neerzetten, gooien, vangen"],
["SNOW","IMPACT","SNOWImpt","SNOW","A big impact of snow, like a roof full of snow falling. Or smaller like a snowball. Jumping into a pile of snow.","sneeuwbal, sneeuwdrift, omvallen, vallen"],
["SNOW","DIVERSEN","SNOWMisc","SNOW","Snow sounds not fitting another category in this list.","diverse"],
["SNOW","BEWEGING","SNOWMvmt","SNOW","Dragging something through snow, rolling in snow. See also SNOW-HANDLE.","waden, slepen, ploeteren, fumble"],
["SPORTEN","BINNENBAAN","SPRTCourt","SPRT","Sports played on a court indoors or out, such a basketball, tennis.","basketbal, tennis, schermen, volleybal, racquetball, badminton, netbal, squash, trefbal, sjoelbak, handbal"],
["SPORTEN","VELD","SPRTField","SPRT","Sports played on a field outdoors such as soccer and football.","voetbal, voetbal, honkbal, veldhockey, cricket, rugby, polo, lacrosse..."],
["SPORTEN","GYM","SPRTGym","SPRT","Sports played or performed primarily in a gym and/or ring, such as boxing, wrestling, gymnastics. See also SPORTS-INDOOR.","boksen, worstelen, gymnastiek, krachttraining, vechtsporten, karate, judo, tae kwon do, dojo, kung fu"],
["SPORTEN","BINNEN","SPRTIndor","SPRT","Various indoor sports not able to be categorized elsewhere.","bowling, biljart, pingpong, darts"],
["SPORTEN","DIVERSEN","SPRTMisc","SPRT","Sport sounds not fitting another category in this list.","golf"],
["SPORTEN","SKATEN","SPRTSkate","SPRT","Wheeled skating sports like skateboarding or roller skating, rollerblading.","skateboarden, rolschaatsen, skeeleren, steppen"],
["SPORTEN","BAAN & VELD","SPRTTrck","SPRT","Track and field sports, as in running, long jump, pole vault. Think common summer Olympic games.","verspringen, hardlopen, polsstokhoogspringen, kogelstoten, speerwerpen"],
