[["气体","吹","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","稳定的气流、气压释放、释放、吹气、喷射、颤动"],
["乐句","拨弦乐","MUSCPluck","MUSC","Guitars, Banjos, Harps, instruments that are mainly plucked when played. See also MUSICAL-STRINGED.","吉他、班卓琴、尤克里里、竖琴、原声吉他、电贝斯、曼陀铃、巴拉莱卡琴、西塔琴、琵琶、拇指琴、口簧琴、古筝、巴拉莱卡琴、自动竖琴、科拉琴、鲁特琴、里拉琴、乌德琴、坦布拉琴、卡林巴"],
["乐句","采样","MUSCSmpl","MUSC","Musical samples. Single triggered samples, not loops, which has its own subcategory here.","采样、原始采样、单次"],
["乐句","沙棒","MUSCShake","MUSC","Shaken musical instruments, rattles, tamourines.","沙锤、铃鼓、拨浪鼓、雨声器、椰铃、沙蛋、羊蹄拨浪鼓、拉格琴、katsa、摇铃、沙鈴、铁沙铃"],
["乐句","段子","MUSCSong","MUSC","Complete musical pieces, songs as ringtones, car music bys. See also MUSICAL-PERFORMANCE which is a better fit for 'live performances'.","音乐、自动演奏钢琴、铃声、汽车音响、乐句"],
["乐句","重击音","MUSCStngr","MUSC","A short musical phrase or accent, like a horror 'string' sting. A big pitching cello note. But musical in nature.","音乐短乐句、新闻短乐句、标题乐句"],
["乐句","弦乐","MUSCStr","MUSC","Bowed string instruments like violin, cello, viola. Harp probably now goes to MUSICAL-PLUCKED.","小提琴、大提琴、中提琴、大提琴、低音、低音提琴、竖琴"],
["乐句","合成器","MUSCSynth","MUSC","Synth samples, musical synth performances. Some overlap with MUSICAL-SAMPLE, but this meant for more than simple triggered samples.","合成、穆格、卡西欧、罗兰、琶音、合成器、oberheim、迷你穆格、雅马哈、科音"],
["乐句","玩具","MUSCToy","MUSC","Toys that play musical phrases, also music boxes would go here.","音乐盒、八音盒"],
["乐句","木管","MUSCWind","MUSC","Woodwind instruments like flute, oboe, bassoon, clarinet.","长笛、短笛、双簧管、巴松管、录音机（竖笛）、单簧管、萨克斯管、低音单簧管、纳伊笛、印度班苏里笛、卡瓦尔木笛、排箫、箫 、菲菲笛"],
["自然灾害","雪崩","NATDAval","NATD","Composite big movements of sliding, falling earth, landslides, mudslides. This category often for big hollywood versions of these types of sound.","塌方、泥石流"],
["自然灾害","地震","NATDQuak","NATD","Composite and complex earthquake rumbles and rattles. This category often for big hollywood versions of these types of sound.","地震、隆隆声、隆隆作响、裂缝、低频声"],
["自然灾害","其他","NATDMisc","NATD","Natural Disaster sounds not fitting another category in this list.","各种各样的"],
["自然灾害","龙卷风","NATDTorn","NATD","Composite tornado sounds, layered and created massive tornadoes. This category often for big hollywood versions of these types of sound.","龙卷风、漩涡、水龙卷、龙吸水"],
["自然灾害","热带风暴","NATDTsun","NATD","Composite tidal wave or tsunami scenes, layered and created. This category often for big hollywood versions of these types of sound.","浪潮、海啸"],
["自然灾害","台风","NATDThyp","NATD","Composite typhoons, cyclones or hurricanes. Massive swirling storms. This category often for big hollywood versions of these types of sound.","台风、飓风、旋风、热带风暴"],
["自然灾害","火山喷发","NATDVolc","NATD","Composite big volcano eruptions. Lava, lava bombs, eruptions. This category often for big hollywood versions of these types of sound. See also GEOTHERMAL-LAVA.","喷发、熔岩、岩浆、熔岩炸弹、火山爆发、火山碎屑"],
["物件","袋子","OBJBag","OBJ","Bags and purses, shopping bags, lunch bags. Really any bag, except Luggage which would go to OBJECTS-LUGGAGE.","行李箱、双肩包、背包、钱包、手提包、单肩包、相机包"],
["物件","书籍","OBJBook","OBJ","Books, magazines, sounds relating to these. Handling particularly. Some overlap or confusion with PAPER-HANDLE.","书、封面、杂志、目录、教科书、字典、册、卷、圣经、出版"],
["物件","硬币","OBJCoin","OBJ","Coins land, toss, drop, handle. Coins being counted, sorted. A bag of coins.","扔、翻、碰、丢、旋转、存钱罐、碰杯、叮当声、硬币、零钱、钢镚儿、银币、便士、五分钱、一毛钱、两毛五"],
["物件","箱盒","OBJCont","OBJ","Boxes, tupperware, jewelry boxes, things that hold things, lids, handling, opens and closes.","盒子、硬纸盒、容器、包裹、珠宝盒、塑料容器、盖子、特百惠、胶囊、面包箱、罐、工具箱、药盒"],
["物件","花园","OBJFash","OBJ","Shoes, belts, clothes, actions involding fashion objects. Makeup, lipstick, etc. Some overlap possible with CLOTH categories. See also OBJECTS-JEWELRY. And OBJECTS-BAG.","鞋子、靴子、睫毛膏、口红、化妆品、腰带、饰带、围巾、高跟鞋、眼线笔、太阳镜、眼镜、钱包、帽子、手套、手表、披肩、袜子、大手帕、发带、领带、套袖、背带、长袍、手绢"],
["物件","健身房","OBJFurn","OBJ","Chairs movement, couch movement, things like that. Wood chair creaks could go in WOOD-FRICTION.","真皮沙发、沙发、摇椅、桌子、椅子、双人沙发、凳子、柜子、书柜、床、长椅、箱子"],
["物件","时尚","OBJGrdn","OBJ","Flower pots, bird feeders, things that you might find and use in a garden. See also TOOLS-GARDEN and MACHINES-GARDEN.","花盆、花园雕塑、水管、水龙头、喷壶、喂鸟器、堆肥器"],
["物件","家具","OBJGym","OBJ","Objects found in a fitness center or school gym, maybe a yoga mat, dumbells. See also MACHINES-GYM.","力量器械、哑铃、杠铃、垫子、举重床、跳绳、健身球、瑜伽垫、推举椅、阻力带、壶铃、健身球、练习球"],
["物件","家用品","OBJHsehld","OBJ","Cleaning products, hangers, towel racks, things around the house that don't fit somewhere else.","家用的、家、房子"],
["物件","珠宝首饰","OBJJewl","OBJ","Bracelets, necklaces, rings.","手链、手镯、项链、皇冠、耳环、戒指、鼻饰、吊坠、领带针、袖扣"],
["物件","钥匙","OBJKey","OBJ","Keys jingling, keys movement in lock.","钥匙圈、钥匙扣、挂绳"],
["物件","行李","OBJLug","OBJ","Suitcases, luggage related sounds, handling, opening, packing.","手提箱、行李、行李袋、行李箱"],
["物件","医疗","OBJMed","OBJ","Common objects in hospital or medical office.","手动血压计、听诊器、橡胶手套、夹子、注射器、镊子"],
["物件","其他","OBJMisc","OBJ","Object sounds not fitting another category in this list.","各种各样的"],
["物件","办公设备","OBJOffc","OBJ","Things found in an office, staplers, paper cutter etc. Not machines like a printer which would go in MACHINES-OFFICE.","订书机、裁纸机、打孔机、剪刀、纸托盘、压纸器、文件夹、活页夹、文件"],
["物件","包装品","OBJPack","OBJ","Items commonly used in packaging or packing, so bubblewrap, styrofoam, labels, food packaging.","纸板、泡沫聚苯乙烯、泡沫填充物、标签、包装纸、泡沫包装"],
["物件","胶带制品","OBJTape","OBJ","Tape and other tacky sticky type sounds as well. Velco probably better into CLOTH-RIP as that matches the 'sound' better.","胶带、魔术贴、防蝇纸、胶水、包装胶带、美纹纸胶带、胶布、电工胶带、透明胶带、双面胶带"],
["物件","伞","OBJUmbr","OBJ","Umbrella opens and closes. Not for rain on umbrella, which would go in RAIN-CLOTH.","摇晃、沙沙声、砰砰声"],
["物件","有轮制品","OBJWhled","OBJ","Non-motorized wheeled carts and dollies. Shopping cart, food cart, baggage cart, baby stroller, dolly, wheelchairs.","婴儿车、手推车)、轮椅、婴儿推车、手推车、搬运车、轮床"],
["物件","书写用品","OBJWrite","OBJ","Any writing object or performance of writing on any surface. Pens, pencils, crayons, markers.","钢笔、铅笔、记号笔、粉笔、蜡笔、白板笔、签字笔"],
["物件","拉链","OBJZipr","OBJ","Pant zippers, bag zippers, luggage zippers.","拉链、裤子、夹克、帐篷、包"],
["纸张","抖动","PAPRFltr","PAPR","Paper and Cardboard. Tossing a group of pages or a book in the air, money flutters as it falls to the ground. Confetti.","颤动、襟翼、坠落、五彩纸屑、纸板、纸"],
["纸张","碰撞","PAPRFric","PAPR","Paper and Cardboard. Sliding paper or scraping paper.","滑动、刮擦、纸板、纸"],
["纸张","手持噪音","PAPRHndl","PAPR","Paper and Cardboard. Page turns, magazine handling. Books dropping. Handling paper money. Some overlap or confusion with OBJECTS-BOOK.","翻、翻页、翻页、浏览、细读、纸板、纸"],
["纸张","摩擦","PAPRImpt","PAPR","Paper and Cardboard. Heavy paper hits, a rolled up newspaper thwack, a magazine hitting something.","纸张击打、拍击、巴掌、报纸、杂志、纸板、纸"],
["纸张","杂项","PAPRMisc","PAPR","Paper and Cardboard. Paper sounds not fitting another category in this list.","各种各样的"],
["纸张","撕扯","PAPRRip","PAPR","Paper and Cardboard. Ripping paper, paper tears.","撕裂、撕裂、撕碎、纸板、纸"],
["纸张","音乐性","PAPRTonl","PAPR","Paper and Cardboard. Not very common, but tonal paper sounds.","音调、歌唱、铃声、纸、纸板"],
["塑料","打碎","PLASBrk","PLAS","Plastic breaking, crunches, rips, shatters.","打破、裂缝、撕裂、粉碎、紧缩"],
["塑料","碎片","PLASCrsh","PLAS","Plastic crashing, groups items falling, group destruction, plastic debris.","坠落、坠毁、碎片"],
["塑料","挤压","PLASFric","PLAS","Plastic friction, such as scrapes, creaks, squeaks, screeching.","压力、刮擦、剐蹭、吱吱声、尖叫声"],
["塑料","抓取","PLASHndl","PLAS","Plastic handling, handling a toy or remote control. Some overlap with PLASTIC-MOVEMENT possible.","把手、手柄、抓握、放置、拾起、放下、抛掷、握住"],
["塑料","打击","PLASImpt","PLAS","Plastic item impact. Hit, drop, big plastic impacts where item does not break. Dropping a plastic object.","撞击、掉落、撞击、摔打"],
["塑料","其他","PLASMisc","PLAS","Plastic sounds not fitting another category in this list.","各种各样的"],
["塑料","移动","PLASMvmt","PLAS","Plastic movement, dragging plastic or drag on plastic, rattles, shakes. See also PLASTIC-HANDLE.","拖动、滚动、摇晃、摇晃"],
["塑料","音乐性","PLASTonl","PLAS","Plastic tonal sounds, with a musical quality. Probably pretty rare.","拨尺子、拨塑料、弹塑料、玩塑料、塑料乐器"],
["雨","布料","RAINClth","RAIN","Rain on cloth, like a person's clothes, or more likely a patio umbrella, awning.","涼篷、雨篷、布、夹克、伞、棉"],
["雨","水泥","RAINConc","RAIN","Rain on asphalt or concrete or patio tile. Rain on a hard slappy solid surface.","雨水、水泥、路面、沥青、瓷砖、岩石"],
["雨","通用","RAIN","RAIN","General downpour, rain on mixed materials.","雨、暴雨、倾盆大雨"],
["雨","玻璃","RAINGlas","RAIN","Rain on a glass roof like a sunroof, or rain blown against a window as well.","雨、玻璃、天窗、窗户、遮阳顶、温室"],
["雨","车内","RAINInt","RAIN","Interior recordings of Rain, from inside house or barn, or vehicle.","雨、暴雨、室内雨、挡风玻璃雨、屋顶雨"],
["雨","金属","RAINMetl","RAIN","Rain on a metal surface, so exterior rain on a car, or metal sheet, metal roof.","雨、金属、汽车、罐头、铁皮、屋顶"],
["雨","塑料","RAINPlas","RAIN","Rain on plastic or vinyl surfaces, like a grill cover, or a plastic shed.","雨、塑料、乙烯基、有机玻璃"],
["雨","植物","RAINVege","RAIN","Rain on plants, leaves and grass. Jungle or tropical rain on plant leaves.","雨水落在植物、树叶和草地上、丛林或热带雨林的雨水落在植物叶子上"],
["雨","水","RAINWatr","RAIN","Rain on water, puddles, lakes, ponds.","雨、水坑、湖泊、池塘"],
["雨","木质","RAINWood","RAIN","Rain on wood surfaces, so a deck for example.","雨、木、甲板、屋顶、棚、地板"],
["机器人","杂项","ROBTMisc","ROBT","Robot sounds not fitting another category in this list.","自动机、机器人、机器人"],
["机器人","运动","ROBTMvmt","ROBT","Complex robot movement, servos, possible robot hovering and flying. See also MOTORS-SERVO.","伺服、螺线管、机械、气动、液压、机器人、机器人"],
["机器人","语音","ROBTVox","ROBT","Droid and robot vocals, R2D2 would go here. Any manner of vocalizing robot. More expressive than a beep/UI.","机器人、啁啾、哔哔声、口哨声、机器人"],
["岩石","打碎","ROCKBrk","ROCK","Rock cracks, breaks, rips or shatters. More isolated and singular cracks and breaks.","断裂、裂缝、撕裂、破碎、嘎吱"],
["岩石","碎片","ROCKCrsh","ROCK","Rock crashes and debris, so a huge rock crash, collapse. Or isolated debris. See also NATURAL DISASTER-AVALANCHE.","掉落、碎片"],
["岩石","挤压","ROCKFric","ROCK","Rock creaks, scrapes... the stress of rock about to break.","压力、擦伤、嘎吱、吱吱声、吱吱声"],
["岩石","抓取","ROCKHndl","ROCK","Rock handing, picking up or digging through rocks, bricks. Some overlap with ROCKS-MOVEMENT possible.","挖掘机、抓握、放置、拾起、放下、抛掷、握住"],
["岩石","打击","ROCKImpt","ROCK","Rock falling, dropping without breaking, or something hit with a rock, a big rock impact.","击中、掉落、撞击、跌落、哐啷、撞击声、叮当、猛击"],
["岩石","其他","ROCKMisc","ROCK","Rock sounds not fitting another category in this list.","各种各样的"],
["岩石","移动","ROCKMvmt","ROCK","Rock dragging, or dragging across a rock surface, rocks shaking or rattling. See also ROCKS-HANDLE.","拖动、滚动、嘎嘎声、摇晃"],
["岩石","音乐性","ROCKTonl","ROCK","Tonal rocks, probably pretty rare. Singing rocks.","弓、石质乐器、玩石头、"],
["绳索","作响","ROPECreak","ROPE","Rope stretches and creaks, people hanging from nooses.. Ship rope creaks. Tension of rope stretches.","拉伸、拉紧、拉扯"],
["绳索","抓取","ROPEHndl","ROPE","Rope handling, tying knots, rigging up a ship sail. Possible overlap with ROPE-MOVEMENT.","抓握、放置、拾起、放下、抛掷、握住"],
["绳索","打击","ROPEImpt","ROPE","Rope impacts, tossing ropes to ground, ropes banging violently in the wind. Possible overlap with ROPE-MOVEMENT.","抽打、击中、掉落、撞击"],
["绳索","杂项","ROPEMisc","ROPE","Rope sounds not fitting another category in this list.","各种各样的"],
["绳索","移动","ROPEMvmt","ROPE","Ropes zuzzing, moving across objects, zipline. See also ROPE-HANDLE.","滑索、拉链、结、领带"],
["橡胶","碎片","RUBRCrsh","RUBR","Rubber items crashing, or rubber debris landing.","碎片、分散、扑通"],
["橡胶","挤压","RUBRFric","RUBR","Rubber squeaks, balloon squeaks, a rubber shoe squeak.","吱吱声、拖拽、摩擦、刮擦、压力"],
["橡胶","抓取","RUBRHndl","RUBR","Rubber handling, rubber objects being manipulated or handled. Some overlap with RUBBER-MOVEMENT","抓握、放置、拾起、放下、抛掷、握住"],
["橡胶","打击","RUBRImpt","RUBR","Rubber impacts, drops, bounces. Hitting a balloon or rubber ball.","敲击、撞击、弹跳、掉落"],
["橡胶","其他","RUBRMisc","RUBR","Rubber sounds not fitting another category in this list.","各种各样的"],
["橡胶","移动","RUBRMvmt","RUBR","Rubber movement, dragging rubber or drag on rubber. Rubber flapping. See also RUBBER-HANDLE.","移动、拖拽、拍打、落下"],
["橡胶","音乐性","RUBRTonl","RUBR","Rubber movement with a tonal quality, a musical quality.","音调、橡胶、歌唱"],
["科幻","警报","SCIAlrm","SCI","Overly futuristic alarms, the kind you're hear on a spaceship","科幻警报、警报、警告"],
["科幻","电脑","SCICmpt","SCI","Use Sci-Fi for overtly 'science fiction' type computer sounds, a very futuristic computer. Some overlap with USER INTERFACE.","计算机、控制台、界面、全屏"],
["科幻","门","SCIDoor","SCI","That Star-Trek type door. Spaceship doors.","科幻门、气闸"],
["科幻","能量","SCIEnrg","SCI","Energy particles, vortexes, transporters, holograms, force fields.","粒子、涡流、转运体、全息图、力场"],
["科幻","打击","SCIImpt","SCI","A bolt of SciFi energy, a hi-tech energy impact, more futuristic than just an explosion. Overlap with DESIGNED-IMPACT.","能量冲击、波浪能、力场"],
["科幻","机械","SCIMach","SCI","Future technology machines, transporters, food replicators.","传送器、食物复制器、全息成像、平台"],
["科幻","机械设备","SCIMech","SCI","An overly sci-fi sounding gizmo or mechanism. Little unfolding robot or something like that. Similar to MACHINE-MECHANISM but more SciFi.","三录仪、科幻设备、小发明"],
["科幻","其他","SCIMisc","SCI","SCI-FI sounds not fitting another category in this list.","各种各样的"],
["科幻","复古","SCIRetro","SCI","Cheesy sci-fi sounds, like from The Jetsons, The Day the Earth Stood Still. Old TV or film sci-fi sounds.","老式科幻"],
["科幻","太空船","SCIShip","SCI","Spaceships here, your best Enterprise and Tie Fighter rip-offs! See also SCIFI-VEHICLE for non-spaceships.","宇宙飞船、不明飞行物、母舰、战列巡洋舰、星舰"],
["科幻","载具","SCIVeh","SCI","Various sci-fi vehicles, like a moon rover, landspeeder, speeder bike, hoverboard, podracer. See also SCIFI-SPACESHIP.","月球车、陆行艇、超速自行车、悬浮滑板、飞梭赛车"],
["科幻","武器","SCIWeap","SCI","Lightsabers, exotic sci-fi weapons. Not a 'blaster' which would go in LASERS-GUN.","光剑、异种武器"],
["雪","碎片","SNOWCrsh","SNOW","Snow big crashes, a big fall of snow, a roof full of snow collapsing. See also NATURAL DISASTER-AVALANCE for the extreme version of this.","雪球、雪崩"],
["雪","挤压","SNOWFric","SNOW","Snow scrapes, squeaks. Sliing on snow, sledding.","压力、刮擦、吱吱声、吱吱声、尖啸"],
["雪","抓取","SNOWHndl","SNOW","Snow being handled, a snowball being formed, etc. Digging out of show with your hands. Some overlap with SNOW-MOVEMENT.","抓握、放置、拾起、放下、抛掷、握住"],
["雪","打击","SNOWImpt","SNOW","A big impact of snow, like a roof full of snow falling. Or smaller like a snowball. Jumping into a pile of snow.","雪球、雪飘、倾倒、飘落"],
["雪","杂项","SNOWMisc","SNOW","Snow sounds not fitting another category in this list.","各种各样的"],
["雪","移动","SNOWMvmt","SNOW","Dragging something through snow, rolling in snow. See also SNOW-HANDLE.","涉水、拖拽、犁地、摸索"],
["运动","球类运动","SPRTCourt","SPRT","Sports played on a court indoors or out, such a basketball, tennis.","篮球、网球、击剑、排球、壁球、羽毛球、无板篮球、壁球、躲避球、沙狐球、手球"],
["运动","户外运动","SPRTField","SPRT","Sports played on a field outdoors such as soccer and football.","足球、橄榄球、棒球、曲棍球、板球、橄榄球、马球、长曲棍球"],
["运动","健身","SPRTGym","SPRT","Sports played or performed primarily in a gym and/or ring, such as boxing, wrestling, gymnastics. See also SPORTS-INDOOR.","拳击、摔跤、体操、重量训练、武术、空手道、柔道、跆拳道、柔道、功夫"],
["运动","室内运动","SPRTIndor","SPRT","Various indoor sports not able to be categorized elsewhere.","保龄球、台球、乒乓球、飞镖"],
["运动","其他","SPRTMisc","SPRT","Sport sounds not fitting another category in this list.","高尔夫球"],
["运动","冰上运动","SPRTSkate","SPRT","Wheeled skating sports like skateboarding or roller skating, rollerblading.","滑板、轮滑、旱冰、滑板车"],
["运动","田径","SPRTTrck","SPRT","Track and field sports, as in running, long jump, pole vault. Think common summer Olympic games.","跳远、跑步、撑杆跳、铅球、标枪投掷"],
["运动","水上运动","SPRTWatr","SPRT","Sports played in or on water, swimming, diving. Aquatic sports.","游泳、水球、水排球、潜水、滑水、冲浪、风筝冲浪、水肺潜水、浮潜"],
["运动","冬季运动","SPRTWntr","SPRT","Sports on snow or ice such as hockey, ice skating, snowboard and skiing.","滑雪、单板滑雪、雪橇、滑冰、雪橇、冰壶、冰球、雪橇、速度滑冰"],
["嗖嗖声","嗖嗖声","SWSH","SWSH","A swish is smaller than a Whoosh. Arm Swishes, Sword Swishes. Small objects make Swishes.","嗖嗖、武术、呼啸而过、颤振、摇摆"],
["呼呼声","呼呼声","WHSH","WHSH","A whoosh is larger than a swish. A large object would make a Whoosh. Tanks flying over your head, or an asteroid by. See also DESIGNED-WHOOSH for very stylized whooshes.","呜呜"],
["工具","-","TOOLGrdn","TOOL","Hand tools used in a garden, rakes, hoes, etc. Also see MACHINES-GARDEN for powered machines. See also OBJECTS-GARDEN for non-tools.","耙子、锄头、铁锹、泥铲、扫把、修剪剪刀、花园叉、分蘖、园艺剪、铲子、除草机"],
["工具","手持","TOOLHand","TOOL","Hand tools, not requiring power. Hammers, wrenches, pliers. See also TOOLS-GARDEN.","锤子、螺丝刀、钳子、扳手、棘轮、插座、手锯、夹钳、刀具、撬棒、凿子、刮刀、钉枪、锉刀、剪刀"],
["工具","其他","TOOLMisc","TOOL","Tool sounds not fitting another category in this list.","各种各样的"],
["工具","气动","TOOLPneu","TOOL","Air tools, such as jackhammers, air ratchets, nail guns. The air-wrench sound in a tire shop.","手提钻、气动工具、气动棘轮、射钉枪"],
["工具","电动","TOOLPowr","TOOL","Tools that require power. A sander, electric drill, dremel tool, circular saw.","钻头、电锯、圆锯、线锯、砂光机、砂带机、槽刨机、电动螺丝刀、热风枪"],
["玩具","电动","TOYElec","TOY","Remote controlled car, slot cars. Any kids toy that required power. See also AIRCRAFT-REMOTE CONTROLLED.","遥控车、老虎机、语音益智玩具、电子宠物"],
["玩具","机械","TOYMech","TOY","Wind up robots, things like that. Toys with some mechanism or mechanical component.","发条玩具、玩具机器人、发条玩具"],
["玩具","杂项","TOYMisc","TOY","Toy sounds not fitting another category in this list.","动作人偶、娃娃、毛绒动物"],
["火车","刹车","TRNBrake","TRN","Screeching metalic train brake wheels, subway brakes. Usually a piercing sound.","断裂、尖叫、摩擦"],
["火车","哐当","TRNClak","TRN","Train clacks isolated, constant clacking of trains passing or running.","噼啪"],
["火车","门","TRNDoor","TRN","Train doors, sliding doors in passenger or freight trains. Some overlap with general DOORS category and possibly VEHICLES-DOOR.","火车门、地铁门、自动门"],
["火车","内燃机车","TRNDiesl","TRN","Freight trains, large commercial diesel locomotives.","柴油火车"],
["火车","电力机车","TRNElec","TRN","Commuter trains, elevated trains, light rail, SUBWAYS have their own category.","通勤列车、区域列车、城市线、城际列车、轻轨"],
["火车","高速列车","TRNHspd","TRN","Hi-Tech trains, Maglev, monorails, Hyperloops, bullet trains.","高科技列车、磁悬浮列车、单轨列车、超级高铁、子弹头列车"],
["火车","鸣笛","TRNHorn","TRN","Train horns, subway horns. A steam train whistle would likely go into WHISTLES-MECHANICAL.","火车喇叭、地铁喇叭"],
["火车","车厢内","TRNInt","TRN","Interior trains, from Diesel to Commuter, onboard train sounds.","通勤列车、区域列车、城市线、城际列车、轻轨、货运列车、地铁、单轨列车"],
["火车","机械","TRNMech","TRN","Coupling, decoupling and other mechanical sounds relating to trains. Levers, coal tender mechanics that are specific to a train.","分流、解耦"],
["火车","杂项","TRNMisc","TRN","Train sounds not fitting another category in this list.","各种各样的"],
["火车","蒸汽火车","TRNSteam","TRN","Old steam powered trains, big smoke stack chugs.","蒸汽火车、煤炭火车"],
["火车","地铁","TRNSbwy","TRN","Subways, overtly 'underground' sounding trains, above group city trains probably best in TRAINS-ELECTRIC","地铁、地铁、管、快速铁路"],
["火车","电车","TRNTram","TRN","Trolleys, cable cars trams and streetcars. A Tram is 'pulled' along a cable, so not self-powered. An electric tram would go to TRAINS-ELECTRIC.","电车、电车、缆车、索道缆车、抓地车"],
["用户界面","警告","UIAlert","UI","An alert tone or chime or notification. Something that gets Attention of User, startup chimes.","警报、提示音、短信、通知、启动"],
["用户界面","嘀嘟哔","UIBeep","UI","Interface beeps, beeps while interacting with various technology, phones, computers. Also see BEEPS category.","电脑蜂鸣、手机蜂鸣"],
["用户界面","点击","UIClick","UI","Typing clicks, button press clicks, response to input.","单击、点击、键入"],
["用户界面","数据","UIData","UI","User interface calculations, scanning, thinking, text displayed on screen. Screen gak or garble.","数据、处理、信息、思考"],
["用户界面","故障","UIGlitch","UI","On Screen Glitches or Static. Malfunctioning computer or OS.","故障、终结、失败、错误、"],
["用户界面","其他","UIMisc","UI","User Interface sounds not fitting another category in this list.","各种各样的"],
["用户界面","动态","UIMvmt","UI","User interface slides, swipes, scrolls. Open, Close, Appear, DIsappear.","滑动、滚动、缩放、翻页"],
["植物","草","VEGEGras","VEGE","Individual movement of grass elements in a studio or exterior environment.","草沙沙声、走过、干草、小麦"],
["植物","叶","VEGELeaf","VEGE","Individual movement of leaf elements in a studio or exterior environment. Jumping into a pile of leaves.","叶漩涡、落叶、叶堆"],
["植物","其他","VEGEMisc","VEGE","Vegetation and Foliage sounds not fitting another category in this list.","叶子"],
["植物","树","VEGETree","VEGE","Individual movement of tree and brand elements in a studio or exterior environment.","树倒下、树枝折断、树枝折断、树枝"],
["车辆","警报","VEHAlrm","VEH","Not sirens, but just Car alarms, car alarm arm and disarm chirps.","汽车、汽车报警器、布防、撤防、遥控钥匙"],
["车辆","古董车","VEHAntq","VEH","Very old vehicles, such a Model A, Model T. Mainly cars, but possible other very old vehicles, trucks, tractors.","汽车、轿车、机动车、奥尔兹莫比尔、老爷车、福特T型車"],
["车辆","全地形车","VEHAtv","VEH","All-Terrain Vehicle, three and four-wheelers, dune buggies, side by side.","四轮车、三轮车、四轮车、沙滩越野车"],
["车辆","自行车","VEHBike","VEH","Bicycles, recumbent bikes, unicycles too. Any manner of pedal powered bicycle.","单车、自行车、斜躺自行车、独轮车、双轮双座自行车、自从车越野赛"],
["车辆","刹车","VEHBrake","VEH","Brake squeals and screeches of all kinds. TRAINS-BRAKE has its own category.","刹车异响、异响、摩擦声、刺耳声"],
["车辆","公交车","VEHBus","VEH","City buses, school buses, Greyhound buses.","城市巴士、校车、灰狗巴士、长途巴士、旅游巴士、双层巴士"],
["车辆","汽车","VEHCar","VEH","All cars except overtly antique... add ERA to metadata to make searches easier. 1950s, 1960s...","汽车、机动车"],
["车辆","工程车","VEHCnst","VEH","Cranes, bulldozers, paving vehicles, any construction related vehicle goes here.","起重机、推土机、挖土机、挖掘机、挖掘机、铲车"],
["车辆","门","VEHDoor","VEH","Car, van, truck. Their doors all go here.","汽车、车门、货车门、卡车门"],
["车辆","电动","VEHElec","VEH","Electric golf carts, electric scooters, electric cars. A Tesla. Any variety of electric vehicle, even electric motorcycles.","两轮电动平衡车、高尔夫球车、电动滑板车、电动车、电动摩托车、特斯拉"],
["车辆","紧急状态","VEHEmrg","VEH","Specifically emegency vehicles like Firetrucks, Ambulances, Police cars. Isolated sirens would go still to VEHICLES-SIREN.","消防车、消防车、救护车、警车、特警车"],
["车辆","农场","VEHFarm","VEH","I'd put farm tractors here, Some overlap possibly with CONSTRUCTION vehicles. A riding lawn mower would best to MACHINES-GARDEN maybe.","拖拉机、收割机、脱壳机、骑乘式割草机"],
["车辆","货车","VEHFrght","VEH","Big Rigs, Lorry, Semi-truck, U-Haul trucks, not for TRAINS, which have their own category.","大型钻机、卡车、半卡车、U-haul 卡车、penske、箱式卡车、货运卡车"],
["车辆","通用驰过","VEHBy","VEH","Generic or general vehicle pass bys, not 'traffic'. Bys for a specific car go with that car. For group passbys use AMBIENCE-TRAFFIC.","汽车、路过"],
["车辆","鸣笛","VEHHorn","VEH","Specifically car and vehicles horns. BOATS-HORNS and TRAINS-HORN have their own category. Fog horn would go into HORNS-AIR.","汽车、汽车喇叭"],
["车辆","车内","VEHInt","VEH","Interior recordings (ambiences) for car, truck, van interiors, from passenger cars, to back of a moving truck, riding inside a bus.","汽车、卡车、面包车、车内饰、驾驶、车载"],
["车辆","熄火","VEHJalop","VEH","Backfiring, poorly running vehicle. False starts, sputtering... In foreign language translate to MALFUNCTIONING. See also CARTOON-VEHICLE.","汽车、hoopty、旧车、垃圾车、错误启动、熄火、故障、逆火"],
["车辆","设施","VEHMech","VEH","Various mechanisms on a vehicle, like seatbelts, window cranks, door locks.","车窗曲柄、手套箱、挡风玻璃、雨刷、后备箱、安全带、安全带、转向灯、换档"],
["车辆","军用","VEHMil","VEH","Overtly military ground vehicles. Tanks and military trucks for example. Armored Personnel Carriers, military Jeeps. See also AIRCRAFT-MILITARY and BOATS-MILITARY.","坦克、APC、装甲运兵车、悍马、吉普车"],
["车辆","其他","VEHMisc","VEH","Vehicles sounds not fitting another category in this list.","雪地摩托"],
["车辆","摩托车","VEHMoto","VEH","Scooters, Motorcycles, Vespas, Motocross… All things 2 wheeled and powered. ATV goes to VEHICLES-ATV.","滑板车、摩托车、vespa、摩托车越野赛、越野车"],
["车辆","赛车","VEHRace","VEH","Racing cars or drag racing cars. Indy and Formula 1 cars, monster trucks, BOATS-RACING has its own category.","汽车、赛车、飙车、indy、方程式赛车、纳斯卡、大奖赛、怪物卡车"],
["车辆","警报车辆","VEHSirn","VEH","Police, Firetruck, Ambulance sirens. Any vehicle siren. See also VEHICLES-EMERGENCY if engine sounds are present also.","救护车、警察、警报器、消防车、消防员"],
