[["HAVA","ÜFLEME","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","basınçlı hava, basıncı düşürmek, serbest bırakmak, puflamak, püskürmek, çırpınmak, boşaltmak"],
["MAKİNE","BEYAZ EŞYA","MACHAppl","MACH","General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","fırın, buzdolabı, buzdolabı, blender, mutfak robotu, saç kurutma makinesi, buz makinesi, çamaşır makinesi, kurutma makinesi, ütü, kahve makinesi, bulaşık makinesi, elektrikli konserve açacağı, çöp öğütücü, nemlendirici, nem alma cihazı, dikiş makinesi, ekmek kızartma makinesi, waffle makinesi, ızgara, ocak"],
["MAKİNE","İNŞAAT","MACHCnst","MACH","A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","vinç, çimento karıştırıcı, ağaç öğütücü"],
["MAKİNE","ASANSÖR","MACHElev","MACH","Elevator movement and doors would go here.","paternoster, yük asansörü, yolcu asansörü, asansör"],
["MAKİNE","YÜRÜYEN MERDİVEN","MACHEscl","MACH","Escalators and moving walkways would go here.","travelator, hareketli yürüme yolu"],
["MAKİNE","PERVANE","MACHFan","MACH","Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","vantilatör, tavan vantilatörü, kutu vantilatör, endüstriyel vantilatör, kanatsız vantilatör"],
["MAKİNE","BAHÇE","MACHGrdn","MACH","Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","çim biçme makinesi, ot biçme makinesi, kenar düzeltme makinesi, motorlu testere, düzeltici, testere, malçlama makinesi, kültivatör"],
["MAKİNE","SPOR SALONU","MACHGym","MACH","Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","koşu bandı, eliptical, kürek makinesi, egzersiz bisikleti, sabit bisiklet, nordictrack, merdiven tırmanıcı."],
["MAKİNE","TEKNOLOJİK","MACHTech","MACH","Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","alet, dijital, el cihazı"],
["MAKİNE","HAVALANDIRMA","MACHHvac","MACH","Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","aircon, klima, ısıtma."],
["MAKİNE","SANAYİ","MACHInd","MACH","Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","hidrolik pres, montaj hattı, içki fabrikası, zımba presi, form presi + F437: F450"],
["MAKİNE","MEKANİZMA","MACHMech","MACH","Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","bulmaca kutusu, rube goldberg, gizmo"],
["MAKİNE","TIBBİ","MACHMed","MACH","Machines typically found in a hospital, medical lab or Doctor's office.","röntgen makineleri, MR, kedi taraması, evcil hayvan taraması, tansiyon makinesi, laboratuvar test makinesi, santrifüj, vantilatör, defibrilatör"],
["MAKİNE","DİĞER","MACHMisc","MACH","Machine sounds not fitting another category in this list. See also MOTOR category.","ÇEŞİTLİ"],
["MAKİNE","OFİS","MACHOffc","MACH","Machines typically found in an office, such as printers and copy machines.","faks makinesi, faksimile makinesi, telefaks, fotokopi makinesi, yazıcı, öğütücü, xerox, fotokopi makinesi, teksir, lazer yazıcı, mürekkep püskürtmeli, kağıt öğütücü, çizici"],
["MAKİNE","POMPA","MACHPump","MACH","Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","su pompası, karter pompası, kompresör, hava kompresörü"],
["BÜYÜ","İLAHİ","MAGAngl","MAG","Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","kutsal, göksel, eterik, ilahi, ruhani, yüce, doğru, aziz"],
["BÜYÜ","DÖRT ELEMENT","MAGElem","MAG","Magic centered around elements, fire, water, ice. Think the movie Frozen type stuff.","ateş, su, toprak, elektrik, hava, rüzgar"],
["BÜYÜ","ŞEYTANİ","MAGEvil","MAG","Evil magic, ominous, dark magic. Voldemort type stuff.","karanlık, şeytan, çağırma, büyücülük, voodoo, kara büyü, yasak"],
["BÜYÜ","DİĞER","MAGMisc","MAG","Magic sounds not fitting another category in this list.","ÇEŞİTLİ"],
["BÜYÜ","POF","MAGPoof","MAG","Shorter magic phrases, often for transforming, short 'turn you into a rabbit' type stuff.","chuff, foomp, blast"],
["BÜYÜ","PIRILDAMA","MAGShim","MAG","Glassy or chime-like shimmers, waves of particle type magic.","pırıltı, ışıltı, çan ağacı, çan sesi, parıltı, ışıltı, parıltı, parıltı, parıltı, parıltı"],
["BÜYÜ","SİHİR","MAGSpel","MAG","Something complex for a spell being cast. Think Maleficent swirling green magic or weird vocal-ish spells.","cadı, büyücü, büyücü, büyü, büyü, büyü, büyü, büyü, büyüleme, büyü, şeytan çıkarma, lanet, trans"],
["MEKANİK","KLİK","MECHClik","MECH","Short clicks, could be from button presses, things like that. Some confusion and overlap with MECHANICAL-SWITCH.","klik, tak, çıt, geçiş, düğme"],
["MEKANİK","ÇARK","MECHGear","MECH","A toothed cog, turning or grinding gears, complex gear mechanisms. Small clock gears would go in CLOCKS-MECHANICS.","dişli, dişli, pinyon, kremayer, şanzıman, dişli çark, dişli çark, volan"],
["MEKANİK","BASINÇLI & HİDROLİK","MECHHydr","MECH","Various hydraulic or pneumatic sounds, like on a self-closing door. Isolated hydraulics and pneumatics. See also DOORS-HYDRAULIC & PNEUMATIC for a complete door.","hidrolik, pnömatik, basınçlı, valf"],
["MEKANİK","MANDAL","MECHLtch","MECH","Latch, as in a briefcase latch, or a luggage latch.","mandal, donanım, kilit, toka, hasp, cıvata"],
["MEKANİK","MANİVELA","MECHLvr","MECH","A sliding or switching lever. Train track lever, lever to turn on an electric chair. Old Frankenstein machine levers, breaker levers.","kol, anahtar, tıkırtı, tıkırtı"],
["MEKANİK","KİLİT","MECHLock","MECH","A padlock, bicycle lock, or a locking mechanism. Door locks to go into DOORS-HARDWARE.","asma kilit, sürgü"],
["MEKANİK","DİĞER","MECHMisc","MECH","Mechanical sounds not fitting another category in this list.","ÇEŞİTLİ"],
["MEKANİK","KASNAK","MECHPuly","MECH","An isolated recording of a pulley, or system of pulleys.","gıcırdamak, cıvıldamak, yuvarlanmak"],
["MEKANİK","CIRCIR","MECHRtch","MECH","That sound a ratchet makes.","cırcır, çıt, klik, rüzgar, krank, vinç"],
["MEKANİK","RÖLE","MECHRelay","MECH","Old train station counting board flipping. A old communications relay board.","çevirmek, geçiş yapmak, takırdatmak"],
["MEKANİK","SİLİNDİR","MECHRolr","MECH","Like a rolling conveyor belt, or something on a roller.","rulo, kayış, hat mili"],
["MEKANİK","ŞALTER & ELEKTRİK DÜĞMESİ","MECHSwtch","MECH","Basic and heavy switches, light switches, power switches. Some overlap or confusion with MECHANICAL-CLICK.","anahtar, klik, tıkırtı, geçiş, düğme"],
["METAL","KIRMA","METLBrk","METL","Metal breaking, snaps, cracks, rips, shatters.","kırılmak, çatlamak, yırtılmak, parçalanmak, çatırdamak"],
["METAL","ÇÖKME & MOLOZ","METLCrsh","METL","Metal crashing and debris. Complex metal crashes, group metal crashes, metal debris falls.","çarpma, düşme, enkaz"],
["METAL","SÜRTÜNME","METLFric","METL","Metal friction, stress, so scrapes, creaks, squeaks, squeals, screeches. Metal sounds caused by friction.","stres, sıyrık, gıcırtı, gıcırtı, gıcırtı"],
["METAL","KULLANMAK & TUTMAK","METLHndl","METL","Metal handling, handling metal objects. Some overlap with METAL-MOVEMENT possible.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["METAL","DARBE","METLImpt","METL","Metal single item impacts, so anvil hits, dropping something that doesn't break. Clangs, clunks, bangs.","vurmak, düşürmek, çarpmak, çarpışmak, takırdamak, çınlamak"],
["METAL","DİĞER","METLMisc","METL","Metal sounds not fitting another category in this list.","ÇEŞİTLİ"],
["METAL","HAREKET","METLMvmt","METL","Metal movement, so drag, roll, rattle, shake. Single or metal items moving. Or movement on a metal surface. See also METAL-HANDLE.","sürüklemek, yuvarlamak, takırdatmak, sallamak"],
["METAL","TONAL","METLTonl","METL","Metal tonal, resonating, ringing, wronks and warps. Bending sheet metal, a singing bowl ringing, metal shinging.","yay, çınlamak, zonklamak, şıngırdamak, bükülmek, eğilmek, yankılanmak"],
["MOTOR","ANTİKA","MOTRAntq","MOTR","Old motors, usually combustion, so old oil pump engines, old compressors. An antique gas pump for example.","gazyağı motoru, parafin motoru"],
["MOTOR","YANMALI","MOTRComb","MOTR","Non-vehicle combustion engines. Combustion motors, generators. Isolated engine recordings.","dizel motor, gaz motoru, yanmalı motor, iki zamanlı motor"],
["MOTOR","ELEKTRİKLİ","MOTRElec","MOTR","Non-vehicle electric motors. Any motor that runs on electricity. An isolated electric motor. See also TOOLS-POWER.","diş fırçası, elektrikli tıraş makinesi, elektrikli motor, çöp öğütücü, dişçi matkabı"],
["MOTOR","DİĞER","MOTRMisc","MOTR","Motor sounds not fitting another category in this list.","ÇEŞİTLİ"],
["MOTOR","SERVO","MOTRSrvo","MOTR","Specifically servo motors, from robot, to radio controlled servos. Clean isolated servos.","robot, rc araba, kamera odağı, araba anteni, yazıcı"],
["MOTOR","TÜRBİN","MOTRTurb","MOTR","Turbines, water or air. That classic 'whine' power up and down are usually turbines. A jet engine is a turbine.","yel değirmeni, uçak, hava taşıtı, jeneratör"],
["HAREKET","FAALİYET","MOVEActv","MOVE","Crowds moving but also performing activities, cleaning, moving boxes. Clean recordings with no vocals. See MOVEMENT-HUMAN for Single activity.","aktivite, taşınma, temizlik, alışveriş, paket açma"],
["HAREKET","HAYVAN","MOVEAnml","MOVE","Group animal movement, individual feet go to FOOTSTEPS-ANIMAL or FOOTSTEPS-HORSE. But think herds of grazing animals, stampedes.","izdiham, sürü, hücum, çiğnemek, kapışmak"],
["HAREKET","VARLIK","MOVECrea","MOVE","Slithering Dragons, Gooey Zombie Movement.","kaymak, sürünmek, kaymak, kıvranmak, kıvrılmak"],
["HAREKET","KALABALIK","MOVECrwd","MOVE","Groups of people milling or walking. Usually mostly just recordings of group footsteps in real locations. No vocals. Compare to MOVEMENT-ACTIVITY.","yürümek, koşmak, yürümek, değirmen, karıştırmak, itişmek, oturmak, durmak, yatmak, kaymak, zıplamak, atlamak"],
["HAREKET","İNSAN","MOVEHmn","MOVE","Movement of single human, aside from footsteps, standing, sitting, shuffe. Some overlap or confusion with FOOTSTEP-HUMAN or MOVEMENT-ACTIVITY.","yürümek, koşmak, yürümek, değirmen, karıştırmak, itişmek, oturmak, durmak, yatmak, kaymak, zıplamak, atlamak"],
["HAREKET","BÖCEK","MOVEInsc","MOVE","Group insects, footsteps, movement, swarms, spiders, locusts. Swarms of flying insects here too, bees, flies. Overlap with ANIMALS-INSECT or AMBIENCE-INSECT.","sürü, kovan, arı kovanı, sürüngen, kurtçuklar"],
["HAREKET","DİĞER","MOVEMisc","MOVE","Movement sounds not fitting another category in this list.","ÇEŞİTLİ"],
["HAREKET","MEVCUDİYET","MOVEPres","MOVE","Very light movement, people in church adjusting, people on church pews. Again, recordings without vocals. Compare to MOVEMENT-ACTIVITY and MOVEMENT-CROWD.","ayarlamak, karıştırmak, sürtmek, hafif hareket, kaydırmak"],
["MÜZİKAL","ZİL","MUSCBell","MUSC","Specifically musical bells, tuned bells, think Tubular bells or hand bells. See also the BELL category for non-musical uses. BELL-GONG is older and this is a better fit.","boru şeklindeki çanlar, carillon, gamelan, şarkı söyleyen kase, el çanı, cowbell, gong, gamelan, agung, kase gong, tam-tam"],
["MÜZİKAL","BAKIR NEFESLİ","MUSCBrass","MUSC","Brass musical instruments, trumpets, tuba, french horn.","tuba, fransız kornosu, trombon, trompet, mellofon, euphorium, sousaphone, flugelhorn, bugle, saksafon, kornet"],
["MÜZİKAL","ÇAN","MUSCChim","MUSC","Wind chimes, bell trees, Tinkerbell type magic chimes.","rüzgar çanı, çan ağacı, tinkle, twinkle, shimmer"],
["MÜZİKAL","KORO","MUSCChor","MUSC","Choir pieces, choral, not for 'designed type vocally stuff'.","koro, koro, gospel, kilise"],
["MÜZİKAL","DENEYSEL","MUSCExpr","MUSC","Strange or wierdly modified instruments, exotic instruments, prepared instruments like a prepared piano.","theremin, cam armonika, pyrophone, stylophone, kristal baschet, elektrikli kaktüs, aeolian rüzgar arpı"],
["MÜZİKAL","ENSTRÜMAN","MUSCInst","MUSC","Various instruments that don't have a home in the other MUSICAL categories.","enstrüman"],
["MÜZİKAL","TUŞLU & KLAVYELİ","MUSCKeyd","MUSC","Keyed Instruments, such as pianos and harpsichord. For synthesizer though see MUSICAL-SYNTHESIZED.","piyano, org, klavsen, akordeon, melodika, celesta, spinet, klavinet, klavikord, harmonium, dulcitone"],
["MÜZİKAL","LOOP","MUSCLoop","MUSC","For looping musical phrases, sampled loops.","müzik döngüleri, örnek döngüler, davul döngüleri"],
["MÜZİKAL","DİĞER","MUSCMisc","MUSC","Music sounds not fitting another category in this list. Hopefully rarely needed.","muhtelif, armonika, kazoo"],
["MÜZİKAL","VURMALI & PERKÜSYON","MUSCPerc","MUSC","Drums and percussion, including deep timpani or big war drums. Mainly meant for true membrane instruments, also see MUSICAL-TUNED PERCUSSION","timpani, kettle davulu, bas davulu, toms, savaş davulları, taiko, kick davulu, trampet"],
["MÜZİKAL","AKORTLU PERKÜSYON (ORFF)","MUSCTnprc","MUSC","Tuned percussion mostly played with mallets, Xylophones, Vibraphones, etc.","glockenspiel, ksilofon, vibrafon, metalofon, zilli lir, çelik davul, marimba"],
["MÜZİKAL","PERFORMANS","MUSCPrfm","MUSC","A musical performance, or warm-up, a live musical act, a street musican, high school band. If a mixed ambience, look to AMBIENCE categories, like PUBLIC PLACE.","grup, sokak müzisyeni, canlı konser, gösteri, gece kulübü, "],
["MÜZİKAL","TELLİ","MUSCPluck","MUSC","Guitars, Banjos, Harps, instruments that are mainly plucked when played. See also MUSICAL-STRINGED.","gitar, banjo, ukelele, arp, akustik gitar, bas gitar, mandolin, balalayka, sitar, pipa, parmak piyano, çene arpı, kanun, balalayka, autoharp, kora, lute, lir, ud, tambura, karimba"],
["MÜZİKAL","SAMPLE","MUSCSmpl","MUSC","Musical samples. Single triggered samples, not loops, which has its own subcategory here.","örnekler, ham örnekler, tek çekim"],
["MÜZİKAL","SALLAMALI PERKÜSYON","MUSCShake","MUSC","Shaken musical instruments, rattles, tamourines.","marakas, tef, çıngırak, yağmur çubuğu, şekere, yumurta çalkalayıcı, chajchas, maymun çubuğu, katsa, sistrum, çalkalayıcı, cabasa"],
["MÜZİKAL","ŞARKI & MÜZİKAL CÜMLE","MUSCSong","MUSC","Complete musical pieces, songs as ringtones, car music bys. See also MUSICAL-PERFORMANCE which is a better fit for 'live performances'.","müzik, çalar piyano, zil sesi, müzikli araba, ifade"],
["MÜZİKAL","KESKİN ÇIKIŞ & MÜZİKAL İĞNE","MUSCStngr","MUSC","A short musical phrase or accent, like a horror 'string' sting. A big pitching cello note. But musical in nature.","müzik sting, haber sting, başlık"],
["MÜZİKAL","YAYLI","MUSCStr","MUSC","Bowed string instruments like violin, cello, viola. Harp probably now goes to MUSICAL-PLUCKED.","keman, viyolonsel, viyola, viyolonsel, bas, kontrbas"],
["MÜZİKAL","SENTEZLEME & SYNTH","MUSCSynth","MUSC","Synth samples, musical synth performances. Some overlap with MUSICAL-SAMPLE, but this meant for more than simple triggered samples.","synth, moog, casio, roland, arp, synthesizer, oberheim, minimoog, yamaha, korg"],
["MÜZİKAL","OYUNCAK","MUSCToy","MUSC","Toys that play musical phrases, also music boxes would go here.","müzik kutusu, kutudaki jack"],
["MÜZİKAL","TAHTA NEFESLİ","MUSCWind","MUSC","Woodwind instruments like flute, oboe, bassoon, clarinet.","flüt, piccolo, obua, fagot, recorder, klarnet, saksafon, bas klarnet, ney, bansuri, kaval, pan flüt, xiao, fife, "],
["AFET","ÇIĞ","NATDAval","NATD","Composite big movements of sliding, falling earth, landslides, mudslides. This category often for big hollywood versions of these types of sound.","toprak kayması, çamur kayması"],
["AFET","DEPREM","NATDQuak","NATD","Composite and complex earthquake rumbles and rattles. This category often for big hollywood versions of these types of sound.","deprem, gümbürtü, çıngırak, çatlak, lfe"],
["AFET","DİĞER","NATDMisc","NATD","Natural Disaster sounds not fitting another category in this list.","ÇEŞİTLİ"],
["AFET","HORTUM","NATDTorn","NATD","Composite tornado sounds, layered and created massive tornadoes. This category often for big hollywood versions of these types of sound.","kasırga, girdap, su hortumu"],
["AFET","TSUNAMİ","NATDTsun","NATD","Composite tidal wave or tsunami scenes, layered and created. This category often for big hollywood versions of these types of sound.","gelgit dalgası, tsunami"],
["AFET","TAYFUN","NATDThyp","NATD","Composite typhoons, cyclones or hurricanes. Massive swirling storms. This category often for big hollywood versions of these types of sound.","tayfun, kasırga, siklon, tropikal fırtına"],
["AFET","YANARDAĞ","NATDVolc","NATD","Composite big volcano eruptions. Lava, lava bombs, eruptions. This category often for big hollywood versions of these types of sound. See also GEOTHERMAL-LAVA.","püskürme, lav, lav bombaları, patlamalar, piroklast"],
["NESNE","ÇANTA","OBJBag","OBJ","Bags and purses, shopping bags, lunch bags. Really any bag, except Luggage which would go to OBJECTS-LUGGAGE.","duffle, sırt çantası, sırt çantası, çanta, el çantası, omuz çantası, kamera çantası"],
["NESNE","KİTAP","OBJBook","OBJ","Books, magazines, sounds relating to these. Handling particularly. Some overlap or confusion with PAPER-HANDLE.","kitap, kapak, dergi, katalog, ders kitabı, sözlük, tome, cilt, incil, yayın"],
["NESNE","MADENİ","OBJCoin","OBJ","Coins land, toss, drop, handle. Coins being counted, sorted. A bag of coins.","toss, flip, ping, dump, spin, piggy bank, clink, coinage, loose change, change, silver dollar, penny, nickel, dime, quarter"],
["NESNE","KONTEYNER & KUTU & PAKET","OBJCont","OBJ","Boxes, tupperware, jewelry boxes, things that hold things, lids, handling, opens and closes.","kutu, karton kutu, konteyner, paket, mücevher kutusu, plastik kap, kapak, tupperware, kapsül, ekmek kutusu, teneke kutu, alet kutusu, hap kutusu"],
["NESNE","BAHÇE","OBJFash","OBJ","Shoes, belts, clothes, actions involding fashion objects. Makeup, lipstick, etc. Some overlap possible with CLOTH categories. See also OBJECTS-JEWELRY. And OBJECTS-BAG.","ayakkabı, bot, rimel, ruj, makyaj malzemesi, kemer, kuşak, atkı, topuklu ayakkabı, göz kalemi, güneş gözlüğü, gözlük, cüzdan, şapka, eldiven, saat, şal, çorap, bandana, kafa bandı, kravat, manşon, pantolon askısı, bornoz, mendil"],
["NESNE","SPOR SALONU","OBJFurn","OBJ","Chairs movement, couch movement, things like that. Wood chair creaks could go in WOOD-FRICTION.","chesterfield, kanepe, sallanan sandalye, masa, sandalye, loveseat, tabure, dolap, kitaplık, yatak, kanepe, sandık"],
["NESNE","MODA","OBJGrdn","OBJ","Flower pots, bird feeders, things that you might find and use in a garden. See also TOOLS-GARDEN and MACHINES-GARDEN.","saksı, bahçe heykeli, hortum, musluk, sulama kabı, kuş yemliği, gübrelik"],
["NESNE","MOBİLYA","OBJGym","OBJ","Objects found in a fitness center or school gym, maybe a yoga mat, dumbells. See also MACHINES-GYM.","ağırlık, dambıl, halter, mat, ağırlık sehpası, atlama ipi, egzersiz topu, yoga matı, ağırlık sehpası, direnç bandı, kettlebell, fitness topu, egzersiz topu"],
["NESNE","MESKEN","OBJHsehld","OBJ","Cleaning products, hangers, towel racks, things around the house that don't fit somewhere else.","ev içi, ev, ev"],
["NESNE","TAKI","OBJJewl","OBJ","Bracelets, necklaces, rings.","bilezik, kolye, taç, küpe, yüzük, nosering, kolye ucu, kravat iğnesi, kol düğmesi"],
["NESNE","ANAHTAR","OBJKey","OBJ","Keys jingling, keys movement in lock.","anahtarlık, anahtarlık, kordon"],
["NESNE","VALİZ","OBJLug","OBJ","Suitcases, luggage related sounds, handling, opening, packing.","bavul, bagaj, spor çantası, duffel"],
["NESNE","TIBBİ","OBJMed","OBJ","Common objects in hospital or medical office.","manuel kan basıncı ölçer, stetoskop, lastik eldiven, pens, şırınga, forcep"],
["NESNE","DİĞER","OBJMisc","OBJ","Object sounds not fitting another category in this list.","ÇEŞİTLİ"],
["NESNE","OFİS","OBJOffc","OBJ","Things found in an office, staplers, paper cutter etc. Not machines like a printer which would go in MACHINES-OFFICE.","zımba, kağıt kesici, delgeç, makas, kağıt tepsisi, kağıt ağırlığı, klasör, ciltleyici, rapor"],
["NESNE","PAKETLEME","OBJPack","OBJ","Items commonly used in packaging or packing, so bubblewrap, styrofoam, labels, food packaging.","karton, strafor, ambalaj fıstığı, etiket, ambalaj kağıdı, balonlu naylon"],
["NESNE","BANT","OBJTape","OBJ","Tape and other tacky sticky type sounds as well. Velco probably better into CLOTH-RIP as that matches the 'sound' better.","bant, cırt cırt, sinek kağıdı, yapıştırıcı, ambalaj bandı, maskeleme bandı, koli bandı, gaffer bant, viski bandı, çift yapışkanlı bant"],
["NESNE","ŞEMSİYE","OBJUmbr","OBJ","Umbrella opens and closes. Not for rain on umbrella, which would go in RAIN-CLOTH.","salla, hışırda, patla, gümle"],
["NESNE","TEKERLİ","OBJWhled","OBJ","Non-motorized wheeled carts and dollies. Shopping cart, food cart, baggage cart, baby stroller, dolly, wheelchairs.","çocuk arabası, perambulatör, bebek arabası, tekerlekli sandalye, dolly, bebek arabası, el arabası, sedye"],
["NESNE","YAZI","OBJWrite","OBJ","Any writing object or performance of writing on any surface. Pens, pencils, crayons, markers.","kalem, kurşun kalem, keçeli kalem, tebeşir, pastel boya, kuru silinebilir tahta, sharpie, imza"],
["NESNE","FERMUAR","OBJZipr","OBJ","Pant zippers, bag zippers, luggage zippers.","fermuar, pantolon, ceket, çadır, çanta"],
["KAĞIT","ÇIRPMA","PAPRFltr","PAPR","Paper and Cardboard. Tossing a group of pages or a book in the air, money flutters as it falls to the ground. Confetti.","çırpınmak, kanat çırpmak, düşmek, konfeti, karton, kağıt"],
["KAĞIT","SÜRTÜNME","PAPRFric","PAPR","Paper and Cardboard. Sliding paper or scraping paper.","kayma, kazıma, karton, kağıt"],
["KAĞIT","KULLANMAK & TUTMAK","PAPRHndl","PAPR","Paper and Cardboard. Page turns, magazine handling. Books dropping. Handling paper money. Some overlap or confusion with OBJECTS-BOOK.","çevirmek, sayfa, çevirmek, göz atmak, incelemek, karton, kağıt"],
["KAĞIT","DARBE","PAPRImpt","PAPR","Paper and Cardboard. Heavy paper hits, a rolled up newspaper thwack, a magazine hitting something.","kağıt vurmak, şaplak atmak, tokatlamak, gazete, dergi, karton, kağıt"],
["KAĞIT","DİĞER","PAPRMisc","PAPR","Paper and Cardboard. Paper sounds not fitting another category in this list.","ÇEŞİTLİ"],
["KAĞIT","YIRTMA","PAPRRip","PAPR","Paper and Cardboard. Ripping paper, paper tears.","yırtmak, koparmak, parçalamak, karton, kağıt"],
["KAĞIT","TONAL","PAPRTonl","PAPR","Paper and Cardboard. Not very common, but tonal paper sounds.","tonal, şarkı, çınlama, kağıt, karton"],
["PLASTİK","KIRMA","PLASBrk","PLAS","Plastic breaking, crunches, rips, shatters.","kırılmak, çatlamak, yırtılmak, parçalanmak, çatırdamak"],
["PLASTİK","ÇÖKME & MOLOZ","PLASCrsh","PLAS","Plastic crashing, groups items falling, group destruction, plastic debris.","düşme, çarpma, enkaz"],
["PLASTİK","SÜRTÜNME","PLASFric","PLAS","Plastic friction, such as scrapes, creaks, squeaks, screeching.","stres, sıyrık, gıcırtı, gıcırtı, gıcırtı"],
["PLASTİK","KULLANMAK & TUTMAK","PLASHndl","PLAS","Plastic handling, handling a toy or remote control. Some overlap with PLASTIC-MOVEMENT possible.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["PLASTİK","DARBE","PLASImpt","PLAS","Plastic item impact. Hit, drop, big plastic impacts where item does not break. Dropping a plastic object.","vurmak, düşürmek, çarpmak"],
["PLASTİK","DİĞER","PLASMisc","PLAS","Plastic sounds not fitting another category in this list.","ÇEŞİTLİ"],
["PLASTİK","HAREKET","PLASMvmt","PLAS","Plastic movement, dragging plastic or drag on plastic, rattles, shakes. See also PLASTIC-HANDLE.","sürüklemek, yuvarlamak, takırdatmak, sallamak"],
["PLASTİK","TONAL","PLASTonl","PLAS","Plastic tonal sounds, with a musical quality. Probably pretty rare.","tonal, şarkı söyleyen, çınlayan"],
["YAĞMUR","KUMAŞ","RAINClth","RAIN","Rain on cloth, like a person's clothes, or more likely a patio umbrella, awning.","yağmur, bez, ceket, şemsiye, pamuk"],
["YAĞMUR","BETON","RAINConc","RAIN","Rain on asphalt or concrete or patio tile. Rain on a hard slappy solid surface.","yağmur, çimento, kaldırım, asfalt"],
["YAĞMUR","GENEL","RAIN","RAIN","General downpour, rain on mixed materials.","yağmur, fırtına, sağanak"],
["YAĞMUR","CAM","RAINGlas","RAIN","Rain on a glass roof like a sunroof, or rain blown against a window as well.","yağmur, cam, çatı penceresi, pencere, sunroof, sera"],
["YAĞMUR","İÇ","RAINInt","RAIN","Interior recordings of Rain, from inside house or barn, or vehicle.","yağmur, yağmur fırtınası, iç yağmur, ön cam yağmuru, çatıda yağmur"],
["YAĞMUR","METAL","RAINMetl","RAIN","Rain on a metal surface, so exterior rain on a car, or metal sheet, metal roof.","yağmur, metal, araba, kutu, teneke, çatı"],
["YAĞMUR","PLASTİK","RAINPlas","RAIN","Rain on plastic or vinyl surfaces, like a grill cover, or a plastic shed.","yağmur, plastik, vinil, pleksiglas"],
["YAĞMUR","BİTKİ","RAINVege","RAIN","Rain on plants, leaves and grass. Jungle or tropical rain on plant leaves.","Metal bir yüzey üzerine yağan yağmur, yani bir araba veya metal levha üzerine yağan yağmur vb."],
["YAĞMUR","SU","RAINWatr","RAIN","Rain on water, puddles, lakes, ponds.","yağmur, su birikintisi, göl, gölet"],
["YAĞMUR","TAHTA","RAINWood","RAIN","Rain on wood surfaces, so a deck for example.","yağmur, ahşap, güverte, çatı, kulübe, zemin"],
["ROBOT","DİĞER","ROBTMisc","ROBT","Robot sounds not fitting another category in this list.","otomat, droid, bot"],
["ROBOT","HAREKET","ROBTMvmt","ROBT","Complex robot movement, servos, possible robot hovering and flying. See also MOTORS-SERVO.","servo, solenoid, mekanizma, pnömatik, hidrolik, droid, bot"],
["ROBOT","SESLENDİRME","ROBTVox","ROBT","Droid and robot vocals, R2D2 would go here. Any manner of vocalizing robot. More expressive than a beep/UI.","droid, cıvıltı, bip, düdük, bot"],
["KAYA","KIRMA","ROCKBrk","ROCK","Rock cracks, breaks, rips or shatters. More isolated and singular cracks and breaks.","Kırılmalar, Çatlamalar, Yırtılmalar, Parçalanmalar, Çıtırdamalar"],
["KAYA","ÇÖKME & MOLOZ","ROCKCrsh","ROCK","Rock crashes and debris, so a huge rock crash, collapse. Or isolated debris. See also NATURAL DISASTER-AVALANCHE.","Düşme, Enkaz"],
["KAYA","SÜRTÜNME","ROCKFric","ROCK","Rock creaks, scrapes... the stress of rock about to break.","Stres, Sıyrıklar, Gıcırtılar, Gıcırtılar, Çığlık"],
["KAYA","KULLANMAK & TUTMAK","ROCKHndl","ROCK","Rock handing, picking up or digging through rocks, bricks. Some overlap with ROCKS-MOVEMENT possible.","tutmak, kapmak, ayarlamak, almak, indirmek, fırlatmak, yakalamak"],
["KAYA","DARBE","ROCKImpt","ROCK","Rock falling, dropping without breaking, or something hit with a rock, a big rock impact.","Vurmak, Düşürmek, Çarpmak, Çarpmak, Çınlamak, Çınlamak, Kesmek"],
["KAYA","DİĞER","ROCKMisc","ROCK","Rock sounds not fitting another category in this list.","ÇEŞİTLİ"],
["KAYA","HAREKET","ROCKMvmt","ROCK","Rock dragging, or dragging across a rock surface, rocks shaking or rattling. See also ROCKS-HANDLE.","Sürükle, Yuvarla, Çıngırak, Salla"],
