[["AIR","BLOW","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","compressed air, depressurise, release, puff, sputter, flutter, purge"],
["MUSICAL","BELLS","MUSCBell","MUSC","Specifically musical bells, tuned bells, think Tubular bells or hand bells. See also the BELL category for non-musical uses. BELL-GONG is older and this is a better fit.","tubular bells, carillon, gamelan, singing bowl, hand bell, cowbell, gong, gamelan, agung, bowl gong, tam-tam"],
["MUSICAL","BRASS","MUSCBrass","MUSC","Brass musical instruments, trumpets, tuba, french horn.","tuba, french horn, trombone, trumpet, mellophone, euphorium, sousaphone, flugelhorn, bugle, saxhorn, cornet"],
["MUSICAL","CHIME","MUSCChim","MUSC","Wind chimes, bell trees, Tinkerbell type magic chimes.","wind chime, bell tree, tinkle, twinkle, shimmer"],
["MUSICAL","CHORAL","MUSCChor","MUSC","Choir pieces, choral, not for 'designed type vocally stuff'.","choir, choral, gospel, church"],
["MUSICAL","EXPERIMENTAL","MUSCExpr","MUSC","Strange or wierdly modified instruments, exotic instruments, prepared instruments like a prepared piano.","theremin, glass armonica, pyrophone, stylophone, cristal baschet, electrified cactus, aeolian wind harp"],
["MUSICAL","INSTRUMENT","MUSCInst","MUSC","Various instruments that don't have a home in the other MUSICAL categories.","instrument"],
["MUSICAL","KEYED","MUSCKeyd","MUSC","Keyed Instruments, such as pianos and harpsichord. For synthesizer though see MUSICAL-SYNTHESIZED.","piano, organ, harpsicord, accordian, melodica, celesta, spinet, clavinet, clavichord, harmonium, dulcitone"],
["MUSICAL","LOOP","MUSCLoop","MUSC","For looping musical phrases, sampled loops.","music loops, sample loops, drum loops"],
["MUSICAL","MISC","MUSCMisc","MUSC","Music sounds not fitting another category in this list. Hopefully rarely needed.","miscellaneous, harmonica, kazoo"],
["MUSICAL","PERCUSSION","MUSCPerc","MUSC","Drums and percussion, including deep timpani or big war drums. Mainly meant for true membrane instruments, also see MUSICAL-TUNED PERCUSSION","timpani, kettle drum, bass drum, toms, war drums, taiko, kick drum, snare drum"],
["MUSICAL","PERCUSSION TUNED","MUSCTnprc","MUSC","Tuned percussion mostly played with mallets, Xylophones, Vibraphones, etc.","glockenspiel, xylophone, vibraphone, metallophone,  bell lyre, steel drum, marimba"],
["MUSICAL","PERFORMANCE","MUSCPrfm","MUSC","A musical performance, or warm-up, a live musical act, a street musican, high school band. If a mixed ambience, look to AMBIENCE categories, like PUBLIC PLACE.","band, street musician, live concert, show, nightclub, "],
["MUSICAL","PLUCKED","MUSCPluck","MUSC","Guitars, Banjos, Harps, instruments that are mainly plucked when played. See also MUSICAL-STRINGED.","guitar, banjo, ukelele, harp, acoustic guitar, bass guitar, mandolin,  balalaika, sitar, pipa, thumb piano, jaw harp, zither, balalaika, autoharp, kora, lute, lyre, oud, tambura, karimba"],
["MUSICAL","SAMPLE","MUSCSmpl","MUSC","Musical samples. Single triggered samples, not loops, which has its own subcategory here.","samples, raw samples, one-shot"],
["MUSICAL","SHAKEN","MUSCShake","MUSC","Shaken musical instruments, rattles, tamourines.","maracas, tambourine, rattles, rainstick, shekere , egg shaker, chajchas, monkey stick, katsa, sistrum, shaker, cabasa"],
["MUSICAL","SONG & PHRASE","MUSCSong","MUSC","Complete musical pieces, songs as ringtones, car music bys. See also MUSICAL-PERFORMANCE which is a better fit for 'live performances'.","music, player piano, ringtone, musical car by, phrase"],
["MUSICAL","STINGER","MUSCStngr","MUSC","A short musical phrase or accent, like a horror 'string' sting. A big pitching cello note. But musical in nature.","music sting, news sting, title"],
["MUSICAL","STRINGED","MUSCStr","MUSC","Bowed string instruments like violin, cello, viola. Harp probably now goes to MUSICAL-PLUCKED.","violin, cello, viola, violoncello, bass, double bass"],
["MUSICAL","SYNTHESIZED","MUSCSynth","MUSC","Synth samples, musical synth performances. Some overlap with MUSICAL-SAMPLE, but this meant for more than simple triggered samples.","synth, moog, casio, roland, arp, synthesizer, oberheim, minimoog, yamaha, korg"],
["MUSICAL","TOY","MUSCToy","MUSC","Toys that play musical phrases, also music boxes would go here.","music box, jack in the box"],
["MUSICAL","WOODWIND","MUSCWind","MUSC","Woodwind instruments like flute, oboe, bassoon, clarinet.","flute, piccolo, oboe, bassoon, recorder, clarinet, saxophone, bass clarinet, ney, bansuri, kaval, pan flute, xiao, fife, "],
["NATURAL DISASTER","AVALANCHE","NATDAval","NATD","Composite big movements of sliding, falling earth, landslides, mudslides. This category often for big hollywood versions of these types of sound.","landslide, mudslide"],
["NATURAL DISASTER","EARTHQUAKE","NATDQuak","NATD","Composite and complex earthquake rumbles and rattles. This category often for big hollywood versions of these types of sound.","earthquake, rumble, rattle, fissure, lfe"],
["NATURAL DISASTER","MISC","NATDMisc","NATD","Natural Disaster sounds not fitting another category in this list.","miscellaneous"],
["NATURAL DISASTER","TORNADO","NATDTorn","NATD","Composite tornado sounds, layered and created massive tornadoes. This category often for big hollywood versions of these types of sound.","twister, vortex, waterspout"],
["NATURAL DISASTER","TSUNAMI","NATDTsun","NATD","Composite tidal wave or tsunami scenes, layered and created. This category often for big hollywood versions of these types of sound.","tidal wave, tsunami"],
["NATURAL DISASTER","TYPHOON","NATDThyp","NATD","Composite typhoons, cyclones or hurricanes. Massive swirling storms. This category often for big hollywood versions of these types of sound.","typhoon, hurricane, cyclone, tropical storm"],
["NATURAL DISASTER","VOLCANO","NATDVolc","NATD","Composite big volcano eruptions. Lava, lava bombs, eruptions. This category often for big hollywood versions of these types of sound. See also GEOTHERMAL-LAVA.","eruption, lava, lava bombs, eruptions, pyroclast"],
["OBJECTS","BAG","OBJBag","OBJ","Bags and purses, shopping bags, lunch bags. Really any bag, except Luggage which would go to OBJECTS-LUGGAGE.","duffle, backpack, back pack, purse, handbag, shoulder bag, camera bag"],
["OBJECTS","BOOK","OBJBook","OBJ","Books, magazines, sounds relating to these. Handling particularly. Some overlap or confusion with PAPER-HANDLE.","book, cover, magazine, catalog, textbook, dictionary, tome, volume, bible, publication"],
["OBJECTS","COIN","OBJCoin","OBJ","Coins land, toss, drop, handle. Coins being counted, sorted. A bag of coins.","toss, flip, ping, dump, spin, piggy bank, clink, coinage, loose change, change, silver dollar, penny, nickel, dime, quarter"],
["OBJECTS","CONTAINER","OBJCont","OBJ","Boxes, tupperware, jewelry boxes, things that hold things, lids, handling, opens and closes.","box, carboard box, container, package, jewelly box, plastic container, lid, tupperware, capsule, breadbox, canister, toolbox, pill box"],
["OBJECTS","FASHION","OBJFash","OBJ","Shoes, belts, clothes, actions involding fashion objects. Makeup, lipstick, etc. Some overlap possible with CLOTH categories. See also OBJECTS-JEWELRY. And OBJECTS-BAG.","shoes, boots, mascara, lipstick, makeup, belt, sash, scarf, high-heels, eyeliner, sunglasses, glasses, wallet, hat, gloves, watches, shawl, socks, bandana, headband, ties, muffs, suspenders, robe, hankerchief"],
["OBJECTS","FURNITURE","OBJFurn","OBJ","Chairs movement, couch movement, things like that. Wood chair creaks could go in WOOD-FRICTION.","chesterfield, sofa, rocking chair, table, chair, loveseat, stool, cabinet, bookcase, bed, couch, chest"],
["OBJECTS","GARDEN","OBJGrdn","OBJ","Flower pots, bird feeders, things that you might find and use in a garden. See also TOOLS-GARDEN and MACHINES-GARDEN.","flower pot, garden sculpture, hose, faucet, watering can, bird feeder, composter"],
["OBJECTS","GYM","OBJGym","OBJ","Objects found in a fitness center or school gym, maybe a yoga mat, dumbells. See also MACHINES-GYM.","weight, dumbell, barbell, mat, weight bench, jumprope, exercise ball, yoga mat, weight bench, resistance band, kettlebell, fitness ball, exercise ball"],
["OBJECTS","HOUSEHOLD","OBJHsehld","OBJ","Cleaning products, hangers, towel racks, things around the house that don't fit somewhere else.","domestic, home, house"],
["OBJECTS","JEWELRY","OBJJewl","OBJ","Bracelets, necklaces, rings.","bracelet, necklace, crown, earing, ring, nosering, pendant, tie pin, cufflinks"],
["OBJECTS","KEYS","OBJKey","OBJ","Keys jingling, keys movement in lock.","keyring, keychain, lanyard"],
["OBJECTS","LUGGAGE","OBJLug","OBJ","Suitcases, luggage related sounds, handling, opening, packing.","suitcase, baggage, duffel bag, duffel"],
["OBJECTS","MEDICAL","OBJMed","OBJ","Common objects in hospital or medical office.","manual blood pressure meter, stethoscope, rubber gloves, clamp, syringe, forcep"],
["OBJECTS","MISC","OBJMisc","OBJ","Object sounds not fitting another category in this list.","miscellaneous"],
["OBJECTS","OFFICE","OBJOffc","OBJ","Things found in an office, staplers, paper cutter etc. Not machines like a printer which would go in MACHINES-OFFICE.","stapler, paper cutter, hole punch, scissors, paper tray, paperweight, folder, binder, report"],
["OBJECTS","PACKAGING","OBJPack","OBJ","Items commonly used in packaging or packing, so bubblewrap, styrofoam, labels, food packaging.","cardboard, styrofoam, packing peanuts, labels, packing paper, bubblewrap"],
["OBJECTS","TAPE","OBJTape","OBJ","Tape and other tacky sticky type sounds as well. Velco probably better into CLOTH-RIP as that matches the 'sound' better.","tape, velcro, flypaper, glue, packing tape, masking tape, duct tape, gaffer tape, scotch tape, double stick tape"],
["OBJECTS","UMBRELLA","OBJUmbr","OBJ","Umbrella opens and closes. Not for rain on umbrella, which would go in RAIN-CLOTH.","shake, rustle, pop, thump"],
["OBJECTS","WHEELED","OBJWhled","OBJ","Non-motorized wheeled carts and dollies. Shopping cart, food cart, baggage cart, baby stroller, dolly, wheelchairs.","pram, perambulator, baby carriage, wheelchair, dolly, stroller, cart, gurney"],
["OBJECTS","WRITING","OBJWrite","OBJ","Any writing object or performance of writing on any surface. Pens, pencils, crayons, markers.","pen, pencil, marker, chalk, crayon, dry erase board, sharpie, signature"],
["OBJECTS","ZIPPER","OBJZipr","OBJ","Pant zippers, bag zippers, luggage zippers.","zipper, pants, jacket, tent, bag"],
["PAPER","FLUTTER","PAPRFltr","PAPR","Paper and Cardboard. Tossing a group of pages or a book in the air, money flutters as it falls to the ground. Confetti.","flutter, flap, fall, confetti, cardboard, paper"],
["PAPER","FRICTION","PAPRFric","PAPR","Paper and Cardboard. Sliding paper or scraping paper.","sliding, scraping, cardboard, paper"],
["PAPER","HANDLE","PAPRHndl","PAPR","Paper and Cardboard. Page turns, magazine handling. Books dropping. Handling paper money. Some overlap or confusion with OBJECTS-BOOK.","turn, page, flip, browse, peruse, cardboard, paper"],
["PAPER","IMPACT","PAPRImpt","PAPR","Paper and Cardboard. Heavy paper hits, a rolled up newspaper thwack, a magazine hitting something.","paper hit, smack, slap, newspaper, magazine, cardboard, paper"],
["PAPER","MISC","PAPRMisc","PAPR","Paper and Cardboard. Paper sounds not fitting another category in this list.","miscellaneous"],
["PAPER","RIP","PAPRRip","PAPR","Paper and Cardboard. Ripping paper, paper tears.","tear, rip, shred, cardboard, paper"],
["PAPER","TONAL","PAPRTonl","PAPR","Paper and Cardboard. Not very common, but tonal paper sounds.","tonal, singing, ringing, paper, cardboard"],
["PLASTIC","BREAK","PLASBrk","PLAS","Plastic breaking, crunches, rips, shatters.","break, crack, rip, shatter, crunch"],
["PLASTIC","CRASH & DEBRIS","PLASCrsh","PLAS","Plastic crashing, groups items falling, group destruction, plastic debris.","fall, crash, debris"],
["PLASTIC","FRICTION","PLASFric","PLAS","Plastic friction, such as scrapes, creaks, squeaks, screeching.","stress, scrape, creaks, squeaks, screech"],
["PLASTIC","HANDLE","PLASHndl","PLAS","Plastic handling, handling a toy or remote control. Some overlap with PLASTIC-MOVEMENT possible.","handle, grab, set, pickup, set down, toss, catch"],
["PLASTIC","IMPACT","PLASImpt","PLAS","Plastic item impact. Hit, drop, big plastic impacts where item does not break. Dropping a plastic object.","hit, drop, impact"],
["PLASTIC","MISC","PLASMisc","PLAS","Plastic sounds not fitting another category in this list.","miscellaneous"],
["PLASTIC","MOVEMENT","PLASMvmt","PLAS","Plastic movement, dragging plastic or drag on plastic, rattles, shakes. See also PLASTIC-HANDLE.","drag, roll, rattle, shake"],
["PLASTIC","TONAL","PLASTonl","PLAS","Plastic tonal sounds, with a musical quality. Probably pretty rare.","tonal, singing, ringing"],
["RAIN","CLOTH","RAINClth","RAIN","Rain on cloth, like a person's clothes, or more likely a patio umbrella, awning.","rain, cloth, jacket, umbrella, cotton"],
["RAIN","CONCRETE","RAINConc","RAIN","Rain on asphalt or concrete or patio tile. Rain on a hard slappy solid surface.","rain, cement, pavement, asphalt"],
["RAIN","GENERAL","RAIN","RAIN","General downpour, rain on mixed materials.","rain, rainstorm, downpour"],
["RAIN","GLASS","RAINGlas","RAIN","Rain on a glass roof like a sunroof, or rain blown against a window as well.","rain, glass, skylight, window, sunroof, greenhouse"],
["RAIN","INTERIOR","RAINInt","RAIN","Interior recordings of Rain, from inside house or barn, or vehicle.","rain, rainstorm, interior rain, windhield rain, rain on roof"],
["RAIN","METAL","RAINMetl","RAIN","Rain on a metal surface, so exterior rain on a car, or metal sheet, metal roof.","rain, metal, car, can, tin, roof"],
["RAIN","PLASTIC","RAINPlas","RAIN","Rain on plastic or vinyl surfaces, like a grill cover, or a plastic shed.","rain, plastic, vinyl, plexiglass"],
["RAIN","VEGETATION","RAINVege","RAIN","Rain on plants, leaves and grass. Jungle or tropical rain on plant leaves.","Rain on a metal surface, so rain on a car, or metal sheet, etc."],
["RAIN","WATER","RAINWatr","RAIN","Rain on water, puddles, lakes, ponds.","rain, puddle, lake, pond"],
["RAIN","WOOD","RAINWood","RAIN","Rain on wood surfaces, so a deck for example.","rain, wood, deck, roof, shed, floor"],
["ROBOTS","MISC","ROBTMisc","ROBT","Robot sounds not fitting another category in this list.","automaton, droid, bot"],
["ROBOTS","MOVEMENT","ROBTMvmt","ROBT","Complex robot movement, servos, possible robot hovering and flying. See also MOTORS-SERVO.","servo, solenoid, mechanism, pneumatic, hydraulic, droid, bot"],
["ROBOTS","VOCAL","ROBTVox","ROBT","Droid and robot vocals, R2D2 would go here. Any manner of vocalizing robot. More expressive than a beep/UI.","droid, chirp, beep, whistle, bot"],
["ROCKS","BREAK","ROCKBrk","ROCK","Rock cracks, breaks, rips or shatters. More isolated and singular cracks and breaks.","Breaks, Cracks, Rips, Shatters, Crunches"],
["ROCKS","CRASH & DEBRIS","ROCKCrsh","ROCK","Rock crashes and debris, so a huge rock crash, collapse. Or isolated debris. See also NATURAL DISASTER-AVALANCHE.","Fall, Debris"],
["ROCKS","FRICTION","ROCKFric","ROCK","Rock creaks, scrapes... the stress of rock about to break.","Stress, Scrapes, Creaks, Squeaks, Screech"],
["ROCKS","HANDLE","ROCKHndl","ROCK","Rock handing, picking up or digging through rocks, bricks. Some overlap with ROCKS-MOVEMENT possible.","handle, grab, set, pickup, set down, toss, catch"],
["ROCKS","IMPACT","ROCKImpt","ROCK","Rock falling, dropping without breaking, or something hit with a rock, a big rock impact.","Hit, Drop, Impact, Crash, Clunk, Clang, Clink, Chop"],
["ROCKS","MISC","ROCKMisc","ROCK","Rock sounds not fitting another category in this list.","miscellaneous"],
["ROCKS","MOVEMENT","ROCKMvmt","ROCK","Rock dragging, or dragging across a rock surface, rocks shaking or rattling. See also ROCKS-HANDLE.","Drag, Roll, Rattle, Shake"],
["ROCKS","TONAL","ROCKTonl","ROCK","Tonal rocks, probably pretty rare. Singing rocks.","Bowed, Ring, Wronk, Shing, Warp"],
["ROPE","CREAK","ROPECreak","ROPE","Rope stretches and creaks, people hanging from nooses.. Ship rope creaks. Tension of rope stretches.","stretch, tension, pull"],
["ROPE","HANDLE","ROPEHndl","ROPE","Rope handling, tying knots, rigging up a ship sail. Possible overlap with ROPE-MOVEMENT.","handle, grab, set, pickup, set down, toss, catch"],
["ROPE","IMPACT","ROPEImpt","ROPE","Rope impacts, tossing ropes to ground, ropes banging violently in the wind. Possible overlap with ROPE-MOVEMENT.","hit, drop, impact"],
["ROPE","MISC","ROPEMisc","ROPE","Rope sounds not fitting another category in this list.","miscellaneous"],
["ROPE","MOVEMENT","ROPEMvmt","ROPE","Ropes zuzzing, moving across objects, zipline. See also ROPE-HANDLE.","zuzz, zipline, zip, knot, tie"],
["RUBBER","CRASH & DEBRIS","RUBRCrsh","RUBR","Rubber items crashing, or rubber debris landing.","debris, scatter, plop"],
["RUBBER","FRICTION","RUBRFric","RUBR","Rubber squeaks, balloon squeaks, a rubber shoe squeak.","squeak, creak, drag, rub, scrape, groan"],
["RUBBER","HANDLE","RUBRHndl","RUBR","Rubber handling, rubber objects being manipulated or handled. Some overlap with RUBBER-MOVEMENT","handle, grab, set, pickup, set down, toss, catch"],
["RUBBER","IMPACT","RUBRImpt","RUBR","Rubber impacts, drops, bounces. Hitting a balloon or rubber ball.","smack, impact, hit, bounce, drop"],
["RUBBER","MISC","RUBRMisc","RUBR","Rubber sounds not fitting another category in this list.","miscellaneous"],
["RUBBER","MOVEMENT","RUBRMvmt","RUBR","Rubber movement, dragging rubber or drag on rubber. Rubber flapping. See also RUBBER-HANDLE.","movement, drag, flap, flop"],
["RUBBER","TONAL","RUBRTonl","RUBR","Rubber movement with a tonal quality, a musical quality.","tonal, rubber, singing"],
["SCIFI","ALARM","SCIAlrm","SCI","Overly futuristic alarms, the kind you're hear on a spaceship","sci-fi alarm, alert, warning"],
["SCIFI","COMPUTER","SCICmpt","SCI","Use Sci-Fi for overtly 'science fiction' type computer sounds, a very futuristic computer. Some overlap with USER INTERFACE.","computer, console, interface, holoscreen"],
["SCIFI","DOOR","SCIDoor","SCI","That Star-Trek type door. Spaceship doors.","sci-fi door, airlock"],
["SCIFI","ENERGY","SCIEnrg","SCI","Energy particles, vortexes, transporters, holograms, force fields.","particle, vortex, transporter, hologram, force field"],
["SCIFI","IMPACT","SCIImpt","SCI","A bolt of SciFi energy, a hi-tech energy impact, more futuristic than just an explosion. Overlap with DESIGNED-IMPACT.","energy hit, energy wave, force field"],
["SCIFI","MACHINE","SCIMach","SCI","Future technology machines, transporters, food replicators.","teleporter, food replicators, holodeck"],
["SCIFI","MECHANISM","SCIMech","SCI","An overly sci-fi sounding gizmo or mechanism. Little unfolding robot or something like that. Similar to MACHINE-MECHANISM but more SciFi.","tricorder, scifi device, gizmo"],
["SCIFI","MISC","SCIMisc","SCI","SCI-FI sounds not fitting another category in this list.","miscellaneous"],
["SCIFI","RETRO","SCIRetro","SCI","Cheesy sci-fi sounds, like from The Jetsons, The Day the Earth Stood Still. Old TV or film sci-fi sounds.","old sci-fi"],
["SCIFI","SPACESHIP","SCIShip","SCI","Spaceships here, your best Enterprise and Tie Fighter rip-offs! See also SCIFI-VEHICLE for non-spaceships.","spaceship, ufo, mothership, battlecruiser, starship"],
["SCIFI","VEHICLE","SCIVeh","SCI","Various sci-fi vehicles, like a moon rover, landspeeder, speeder bike, hoverboard, podracer. See also SCIFI-SPACESHIP.","moon rover, landspeeder, speeder bike, hoverboard, podracer"],
["SCIFI","WEAPON","SCIWeap","SCI","Lightsabers, exotic sci-fi weapons. Not a 'blaster' which would go in LASERS-GUN.","lightsabers, exotic weapon"],
["SNOW","CRASH & DEBRIS","SNOWCrsh","SNOW","Snow big crashes, a big fall of snow, a roof full of snow collapsing. See also NATURAL DISASTER-AVALANCE for the extreme version of this.","snowball, snow crash"],
["SNOW","FRICTION","SNOWFric","SNOW","Snow scrapes, squeaks. Sliing on snow, sledding.","stress, scrape, creak, squeak, screech"],
["SNOW","HANDLE","SNOWHndl","SNOW","Snow being handled, a snowball being formed, etc. Digging out of show with your hands. Some overlap with SNOW-MOVEMENT.","handle, grab, set, pickup, set down, toss, catch"],
["SNOW","IMPACT","SNOWImpt","SNOW","A big impact of snow, like a roof full of snow falling. Or smaller like a snowball. Jumping into a pile of snow.","snowball, snow drift, topple, fall"],
["SNOW","MISC","SNOWMisc","SNOW","Snow sounds not fitting another category in this list.","miscellaneous"],
["SNOW","MOVEMENT","SNOWMvmt","SNOW","Dragging something through snow, rolling in snow. See also SNOW-HANDLE.","wade, drag, plow, fumble"],
["SPORTS","COURT","SPRTCourt","SPRT","Sports played on a court indoors or out, such a basketball, tennis.","basketball, tennis, fencing, volleyball, racquetball, badminton, netball, squash, dodgeball, shuffleboard, handball"],
["SPORTS","FIELD","SPRTField","SPRT","Sports played on a field outdoors such as soccer and football.","soccer, football, baseball, field hockey, cricket, rugby, polo, lacrosse"],
["SPORTS","GYM","SPRTGym","SPRT","Sports played or performed primarily in a gym and/or ring, such as boxing, wrestling, gymnastics. See also SPORTS-INDOOR.","boxing, wrestling, gymnastics, weight training, martial arts, karate, judo, tae kwon do, dojo, kung fu"],
["SPORTS","INDOOR","SPRTIndor","SPRT","Various indoor sports not able to be categorized elsewhere.","bowling, billiards, ping pong, darts"],
["SPORTS","MISC","SPRTMisc","SPRT","Sport sounds not fitting another category in this list.","golf"],
["SPORTS","SKATE","SPRTSkate","SPRT","Wheeled skating sports like skateboarding or roller skating, rollerblading.","skateboarding, roller skating, rollerblading, push scooter"],
["SPORTS","TRACK & FIELD","SPRTTrck","SPRT","Track and field sports, as in running, long jump, pole vault. Think common summer Olympic games.","long jump, running, pole vault, shot put, javelin throw"],
["SPORTS","WATER","SPRTWatr","SPRT","Sports played in or on water, swimming, diving. Aquatic sports.","swimming, water polo, water volleyball, diving, water skiing, surfing, kiteboarding, scuba, snorkeling"],
["SPORTS","WINTER","SPRTWntr","SPRT","Sports on snow or ice such as hockey, ice skating, snowboard and skiing.","skiing, snowboarding, bobsledding, ice skating, sledding, curling, ice hockey, luge, speed skating"],
["SWOOSHES","SWISH","SWSH","SWSH","A swish is smaller than a Whoosh. Arm Swishes, Sword Swishes. Small objects make Swishes.","swish, kungfu, whizby, flutter, swing"],
["SWOOSHES","WHOOSH","WHSH","WHSH","A whoosh is larger than a swish. A large object would make a Whoosh. Tanks flying over your head, or an asteroid by. See also DESIGNED-WHOOSH for very stylized whooshes.","woosh"],
["TOOLS","GARDEN","TOOLGrdn","TOOL","Hand tools used in a garden, rakes, hoes, etc. Also see MACHINES-GARDEN for powered machines. See also OBJECTS-GARDEN for non-tools.","rake, hoe, spade, trowel, broom, pruning sheer, garden fork, tiller, loppers, shovel, weeder"],
["TOOLS","HAND","TOOLHand","TOOL","Hand tools, not requiring power. Hammers, wrenches, pliers. See also TOOLS-GARDEN.","hammer, screwdriver, pliers, wrench, ratchet, socket, hand saw, clamp, cutter, pry bar, chisel, scraper, staple gun, file, scissors"],
["TOOLS","MISC","TOOLMisc","TOOL","Tool sounds not fitting another category in this list.","miscellaneous"],
["TOOLS","PNEUMATIC","TOOLPneu","TOOL","Air tools, such as jackhammers, air ratchets, nail guns. The air-wrench sound in a tire shop.","jackhammer, air tool, air ratchet, nail guns"],
["TOOLS","POWER","TOOLPowr","TOOL","Tools that require power. A sander, electric drill, dremel tool, circular saw.","drill, power saw, circular saw, jigsaw, sander, belt sander, router, power screwdriver, heat gun, drill press, table saw"],
["TOYS","ELECTRONIC","TOYElec","TOY","Remote controlled car, slot cars. Any kids toy that required power. See also AIRCRAFT-REMOTE CONTROLLED.","remote controlled car, slot car, speak and spell, furby"],
["TOYS","MECHANICAL","TOYMech","TOY","Wind up robots, things like that. Toys with some mechanism or mechanical component.","windup toy, toy robot, winding toy"],
["TOYS","MISC","TOYMisc","TOY","Toy sounds not fitting another category in this list.","action figure, doll, stuffed animal"],
["TRAINS","BRAKE","TRNBrake","TRN","Screeching metalic train brake wheels, subway brakes. Usually a piercing sound.","breaks, screech, grind"],
["TRAINS","CLACK","TRNClak","TRN","Train clacks isolated, constant clacking of trains passing or running.","clack"],
["TRAINS","DOOR","TRNDoor","TRN","Train doors, sliding doors in passenger or freight trains. Some overlap with general DOORS category and possibly VEHICLES-DOOR.","train door, subway door"],
["TRAINS","DIESEL","TRNDiesl","TRN","Freight trains, large commercial diesel locomotives.","diesel train"],
["TRAINS","ELECTRIC","TRNElec","TRN","Commuter trains, elevated trains, light rail, SUBWAYS have their own category.","commuter train, regional train, city line, inter-city train, light rail"],
["TRAINS","HIGH SPEED","TRNHspd","TRN","Hi-Tech trains, Maglev, monorails, Hyperloops, bullet trains.","hi-tech train, maglev, monorails, hyperloop, bullet train"],
["TRAINS","HORN","TRNHorn","TRN","Train horns, subway horns. A steam train whistle would likely go into WHISTLES-MECHANICAL.","train horn, subway horn"],
["TRAINS","INTERIOR","TRNInt","TRN","Interior trains, from Diesel to Commuter, onboard train sounds.","commuter train, regional train, city line, inter-city train, light rail, freight train, subway, monorail"],
["TRAINS","MECHANISM","TRNMech","TRN","Coupling, decoupling and other mechanical sounds relating to trains. Levers, coal tender mechanics that are specific to a train.","shunt, decouple"],
["TRAINS","MISC","TRNMisc","TRN","Train sounds not fitting another category in this list.","miscellaneous"],
["TRAINS","STEAM","TRNSteam","TRN","Old steam powered trains, big smoke stack chugs.","steam train, coal train"],
["TRAINS","SUBWAY","TRNSbwy","TRN","Subways, overtly 'underground' sounding trains, above group city trains probably best in TRAINS-ELECTRIC","metro, subway, the tube, rer"],
["TRAINS","TRAM","TRNTram","TRN","Trolleys, cable cars trams and streetcars. A Tram is 'pulled' along a cable, so not self-powered. An electric tram would go to TRAINS-ELECTRIC.","tram, trolley, cable car, funicular, grip car"],
["USER INTERFACE","ALERT","UIAlert","UI","An alert tone or chime or notification. Something that gets Attention of User, startup chimes.","alert, tone, text message, notification, startup"],
["USER INTERFACE","BEEP","UIBeep","UI","Interface beeps, beeps while interacting with various technology, phones, computers. Also see BEEPS category.","computer beep, phone beep"],
["USER INTERFACE","CLICK","UIClick","UI","Typing clicks, button press clicks, response to input.","click, tap, type"],
["USER INTERFACE","DATA","UIData","UI","User interface calculations, scanning, thinking, text displayed on screen. Screen gak or garble.","data, processing, information, thinking"],
["USER INTERFACE","GLITCH","UIGlitch","UI","On Screen Glitches or Static. Malfunctioning computer or OS.","glitch, malfunction, failure, kernel panic, guru meditation error"],
["USER INTERFACE","MISC","UIMisc","UI","User Interface sounds not fitting another category in this list.","miscellaneous"],
["USER INTERFACE","MOTION","UIMvmt","UI","User interface slides, swipes, scrolls. Open, Close, Appear, DIsappear.","swipe, scroll, zoom, page"],
["VEGETATION","GRASS","VEGEGras","VEGE","Individual movement of grass elements in a studio or exterior environment.","grass rustle, walk through, hay, wheat"],
["VEGETATION","LEAVES","VEGELeaf","VEGE","Individual movement of leaf elements in a studio or exterior environment. Jumping into a pile of leaves.","leaf swirl, leaf fall, leaves falling, leaf pile"],
["VEGETATION","MISC","VEGEMisc","VEGE","Vegetation and Foliage sounds not fitting another category in this list.","foliage"],
["VEGETATION","TREE","VEGETree","VEGE","Individual movement of tree and brand elements in a studio or exterior environment.","tree fall, branch snap, branch break, twig"],
["VEHICLES","ALARM","VEHAlrm","VEH","Not sirens, but just Car alarms, car alarm arm and disarm chirps.","car, auto, automobile, car alarm, arm chirp, disarm chirp, fob"],
["VEHICLES","ANTIQUE","VEHAntq","VEH","Very old vehicles, such a Model A, Model T. Mainly cars, but possible other very old vehicles, trucks, tractors.","car, auto, automobile, oldsmobile, model a, model t"],
["VEHICLES","ATV","VEHAtv","VEH","All-Terrain Vehicle, three and four-wheelers, dune buggies, side by side.","quad, three-wheeler, four-wheeler, quadricycle, dune buggy"],
["VEHICLES","BICYCLE","VEHBike","VEH","Bicycles, recumbent bikes, unicycles too. Any manner of pedal powered bicycle.","bicycle, bike, recumbent, unicycle, tandem, bmx"],
["VEHICLES","BRAKE","VEHBrake","VEH","Brake squeals and screeches of all kinds. TRAINS-BRAKE has its own category.","brake squeal, screech, grind"],
["VEHICLES","BUS","VEHBus","VEH","City buses, school buses, Greyhound buses.","city bus, school bus, greyhound bus, coach bus, tour bus, double decker"],
["VEHICLES","CAR","VEHCar","VEH","All cars except overtly antique... add ERA to metadata to make searches easier. 1950s, 1960s...","car, auto, automobile"],
["VEHICLES","CONSTRUCTION","VEHCnst","VEH","Cranes, bulldozers, paving vehicles, any construction related vehicle goes here.","crane, bulldozer, backhoe, excavator, digger, forklift"],
