[["AIR","SOUFFLE","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","air comprimé, dépressuriser, relâcher, souffler, cracher, flotter, purger"],
["MAGIE","SORT","MAGSpel","MAG","Something complex for a spell being cast. Think Maleficent swirling green magic or weird vocal-ish spells.","sorcière, magicien, sorcier, lancer, incantation, sort, rune, sorcellerie, enchantement, invocation, ensorcellement, exorcisme, malédiction, transe"],
["MÉCANISMES","CLIC","MECHClik","MECH","Short clicks, could be from button presses, things like that. Some confusion and overlap with MECHANICAL-SWITCH.","cliquer, claquer, claquer, basculer, bouton"],
["MÉCANISMES","ENGRENAGE","MECHGear","MECH","A toothed cog, turning or grinding gears, complex gear mechanisms. Small clock gears would go in CLOCKS-MECHANICS.","engrenage, roue dentée, pignon, crémaillère, transmission, roue dentée, roue d'engrenage, volant d'inertie"],
["MÉCANISMES","HYDRAULIQUE & PNEUMATIQUE","MECHHydr","MECH","Various hydraulic or pneumatic sounds, like on a self-closing door. Isolated hydraulics and pneumatics. See also DOORS-HYDRAULIC & PNEUMATIC for a complete door.","hydraulique, pneumatique, pressurisé, valve"],
["MÉCANISMES","LOQUET","MECHLtch","MECH","Latch, as in a briefcase latch, or a luggage latch.","loquet, ferrure, serrure, fermoir, moraillon, verrou"],
["MÉCANISMES","LEVIER","MECHLvr","MECH","A sliding or switching lever. Train track lever, lever to turn on an electric chair. Old Frankenstein machine levers, breaker levers.","levier, interrupteur, clunk, clank"],
["MÉCANISMES","VERROU","MECHLock","MECH","A padlock, bicycle lock, or a locking mechanism. Door locks to go into DOORS-HARDWARE.","cadenas, pêne dormant"],
["MÉCANISMES","DIVERS","MECHMisc","MECH","Mechanical sounds not fitting another category in this list.","divers"],
["MÉCANISMES","POULIE","MECHPuly","MECH","An isolated recording of a pulley, or system of pulleys.","grincement, gazouillis, roulement"],
["MÉCANISMES","CLIQUET","MECHRtch","MECH","That sound a ratchet makes.","cliquet, claquement, clic, vent, manivelle, treuil"],
["MÉCANISMES","RELAIS","MECHRelay","MECH","Old train station counting board flipping. A old communications relay board.","basculer, basculer, claquer"],
["MÉCANISMES","ROULEMENT","MECHRolr","MECH","Like a rolling conveyor belt, or something on a roller.","rouler, courroie, arbre de transmission"],
["MÉCANISMES","INTERRUPTEUR","MECHSwtch","MECH","Basic and heavy switches, light switches, power switches. Some overlap or confusion with MECHANICAL-CLICK.","interrupteur, clic, claquement, bascule, bouton"],
["MÉTAL","CASSE","METLBrk","METL","Metal breaking, snaps, cracks, rips, shatters.","casser, craquer, déchirer, briser, craquer"],
["MÉTAL","CRASH & DÉBRIS","METLCrsh","METL","Metal crashing and debris. Complex metal crashes, group metal crashes, metal debris falls.","fracas, chute, débris"],
["MÉTAL","FRICTION","METLFric","METL","Metal friction, stress, so scrapes, creaks, squeaks, squeals, screeches. Metal sounds caused by friction.","stresser, gratter, craquer, grincer, hurler"],
["MÉTAL","MANIPULATION","METLHndl","METL","Metal handling, handling metal objects. Some overlap with METAL-MOVEMENT possible.","manipuler, saisir, poser, ramasser, poser, lancer, attraper"],
["MÉTAL","IMPACT","METLImpt","METL","Metal single item impacts, so anvil hits, dropping something that doesn't break. Clangs, clunks, bangs.","frapper, laisser tomber, impact, crash, clunk, clang"],
["MÉTAL","DIVERS","METLMisc","METL","Metal sounds not fitting another category in this list.","divers"],
["MÉTAL","MOUVEMENT","METLMvmt","METL","Metal movement, so drag, roll, rattle, shake. Single or metal items moving. Or movement on a metal surface. See also METAL-HANDLE.","traîner, rouler, cliqueter, secouer"],
["MÉTAL","TONAL","METLTonl","METL","Metal tonal, resonating, ringing, wronks and warps. Bending sheet metal, a singing bowl ringing, metal shinging.","s'incliner, sonner, se tordre, vibrer, se déformer, se courber, résonner"],
["MOTEURS","ANCIEN","MOTRAntq","MOTR","Old motors, usually combustion, so old oil pump engines, old compressors. An antique gas pump for example.","moteur à kérosène, moteur à paraffine"],
["MOTEURS","COMBUSTION","MOTRComb","MOTR","Non-vehicle combustion engines. Combustion motors, generators. Isolated engine recordings.","moteur diesel, moteur à gaz, moteur à combustion, moteur à deux temps"],
["MOTEURS","ÉLECTRIQUE","MOTRElec","MOTR","Non-vehicle electric motors. Any motor that runs on electricity. An isolated electric motor. See also TOOLS-POWER.","brosse à dents, rasoir électrique, moteur électrique, broyeur d'ordures, perceuse de dentiste"],
["MOTEURS","DIVERS","MOTRMisc","MOTR","Motor sounds not fitting another category in this list.","divers"],
["MOTEURS","SERVO","MOTRSrvo","MOTR","Specifically servo motors, from robot, to radio controlled servos. Clean isolated servos.","robot, voiture rc, mise au point caméra, antenne de voiture, imprimante"],
["MOTEURS","TURBINE","MOTRTurb","MOTR","Turbines, water or air. That classic 'whine' power up and down are usually turbines. A jet engine is a turbine.","moulin à vent, avion, avion, générateur"],
["MOUVEMENT","ACTIVITÉ","MOVEActv","MOVE","Crowds moving but also performing activities, cleaning, moving boxes. Clean recordings with no vocals. See MOVEMENT-HUMAN for Single activity.","activité, déménagement, nettoyage, achats, déballage"],
["MOUVEMENT","ANIMAL","MOVEAnml","MOVE","Group animal movement, individual feet go to FOOTSTEPS-ANIMAL or FOOTSTEPS-HORSE. But think herds of grazing animals, stampedes.","débandade, troupeau, charge, piétinement, bousculade"],
["MOUVEMENT","CRÉATURE","MOVECrea","MOVE","Slithering Dragons, Gooey Zombie Movement.","se glisser, ramper, glisser, se tortiller, se tortiller"],
["MOUVEMENT","FOULE","MOVECrwd","MOVE","Groups of people milling or walking. Usually mostly just recordings of group footsteps in real locations. No vocals. Compare to MOVEMENT-ACTIVITY.","marcher, courir, marcher, moudre, battre, s'asseoir, se tenir debout, s'allonger, glisser, sauter, sauter à cloche-pied"],
["MOUVEMENT","HUMAIN","MOVEHmn","MOVE","Movement of single human, aside from footsteps, standing, sitting, shuffe. Some overlap or confusion with FOOTSTEP-HUMAN or MOVEMENT-ACTIVITY.","marcher, courir, marcher, moudre, battre, battre, s'asseoir, se tenir debout, se coucher, glisser, sauter, sauter"],
["MOUVEMENT","INSECTE","MOVEInsc","MOVE","Group insects, footsteps, movement, swarms, spiders, locusts. Swarms of flying insects here too, bees, flies. Overlap with ANIMALS-INSECT or AMBIENCE-INSECT.","essaimer, ruche, ruche d'abeilles, glisser, asticots"],
["MOUVEMENT","DIVERS","MOVEMisc","MOVE","Movement sounds not fitting another category in this list.","divers"],
["MOUVEMENT","PRÉSENCE","MOVEPres","MOVE","Very light movement, people in church adjusting, people on church pews. Again, recordings without vocals. Compare to MOVEMENT-ACTIVITY and MOVEMENT-CROWD.","ajuster, mélanger, battre, mouvement léger, déplacement"],
["MUSICAL","CLOCHES","MUSCBell","MUSC","Specifically musical bells, tuned bells, think Tubular bells or hand bells. See also the BELL category for non-musical uses. BELL-GONG is older and this is a better fit.","cloches tubulaires, carillon, gamelan, bol chantant, cloche à main, cloche à vache, gong, gamelan, agung, gong à bol, tam-tam"],
["MUSICAL","CUIVRES","MUSCBrass","MUSC","Brass musical instruments, trumpets, tuba, french horn.","tuba, cor, trombone, trompette, mellophone, euphorium, sousaphone, bugle, clairon, saxhorn, cornet"],
["MUSICAL","CHIME","MUSCChim","MUSC","Wind chimes, bell trees, Tinkerbell type magic chimes.","carillon, clocheton, tinkle, twinkle, shimmer"],
["MUSICAL","CHORALE","MUSCChor","MUSC","Choir pieces, choral, not for 'designed type vocally stuff'.","chœur, chorale, gospel, église"],
["MUSICAL","EXPÉRIMENTAL","MUSCExpr","MUSC","Strange or wierdly modified instruments, exotic instruments, prepared instruments like a prepared piano.","thérémine, armonica de verre, pyrophone, stylophone, baschet en cristal, cactus électrifié, harpe éolienne"],
["MUSICAL","INSTRUMENT","MUSCInst","MUSC","Various instruments that don't have a home in the other MUSICAL categories.","instrument"],
["MUSICAL","CLAVIER","MUSCKeyd","MUSC","Keyed Instruments, such as pianos and harpsichord. For synthesizer though see MUSICAL-SYNTHESIZED.","piano, orgue, clavecin, accordian, mélodica, célesta, épinette, clavinet, clavicorde, harmonium, dulcitone"],
["MUSICAL","BOUCLE","MUSCLoop","MUSC","For looping musical phrases, sampled loops.","boucles musicales, boucles d'échantillons, boucles de batterie"],
["MUSICAL","DIVERS","MUSCMisc","MUSC","Music sounds not fitting another category in this list. Hopefully rarely needed.","diverses, harmonica, mirliton"],
["MUSICAL","PERCUSSIONS","MUSCPerc","MUSC","Drums and percussion, including deep timpani or big war drums. Mainly meant for true membrane instruments, also see MUSICAL-TUNED PERCUSSION","timbales, timbale, grosse caisse, toms, tambours de guerre, taiko, grosse caisse, caisse claire"],
["MUSICAL","PERCUSSION MÉLODIQUE","MUSCTnprc","MUSC","Tuned percussion mostly played with mallets, Xylophones, Vibraphones, etc.","glockenspiel, xylophone, vibraphone, métallophone, lyre à clochettes, tambour d'acier, marimba"],
["MUSICAL","PERFORMANCE","MUSCPrfm","MUSC","A musical performance, or warm-up, a live musical act, a street musican, high school band. If a mixed ambience, look to AMBIENCE categories, like PUBLIC PLACE.","groupe, musicien de rue, concert live, spectacle, boîte de nuit, "],
["MUSICAL","PINCÉ","MUSCPluck","MUSC","Guitars, Banjos, Harps, instruments that are mainly plucked when played. See also MUSICAL-STRINGED.","guitare, banjo, ukulélé, harpe, guitare acoustique, guitare basse, mandoline, balalaïka, sitar, pipa, piano à pouces, guimbarde, cithare, balalaïka, autoharpe, kora, luth, lyre, oud, tambura, karimba"],
["MUSICAL","SAMPLE","MUSCSmpl","MUSC","Musical samples. Single triggered samples, not loops, which has its own subcategory here.","échantillons, échantillons bruts, one-shot"],
["MUSICAL","SECOUÉ","MUSCShake","MUSC","Shaken musical instruments, rattles, tamourines.","maracas, tambourin, hochets, bâton de pluie, shekere, secoueur d'œufs, chajchas, bâton de singe, katsa, sistrum, shaker, cabasa"],
["MUSICAL","MORCEAU","MUSCSong","MUSC","Complete musical pieces, songs as ringtones, car music bys. See also MUSICAL-PERFORMANCE which is a better fit for 'live performances'.","musique, piano mécanique, sonnerie, voiture musicale, phrase, etc."],
["MUSICAL","STINGER","MUSCStngr","MUSC","A short musical phrase or accent, like a horror 'string' sting. A big pitching cello note. But musical in nature.","sting de musique, sting de nouvelles, titre"],
["MUSICAL","CORDES","MUSCStr","MUSC","Bowed string instruments like violin, cello, viola. Harp probably now goes to MUSICAL-PLUCKED.","violon, violoncelle, alto, violoncello, basse, contrebasse"],
["MUSICAL","SYNTHÉTISÉ","MUSCSynth","MUSC","Synth samples, musical synth performances. Some overlap with MUSICAL-SAMPLE, but this meant for more than simple triggered samples.","synthé, moog, casio, roland, arp, synthétiseur, oberheim, minimoog, yamaha, korg"],
["MUSICAL","JOUET","MUSCToy","MUSC","Toys that play musical phrases, also music boxes would go here.","boîte à musique, jack in the box"],
["MUSICAL","BOIS","MUSCWind","MUSC","Woodwind instruments like flute, oboe, bassoon, clarinet.","flûte, piccolo, hautbois, basson, flûte à bec, clarinette, saxophone, clarinette basse, ney, bansuri, kaval, flûte de pan, xiao, fifre, "],
["CATASTROPHE NATURELLE","AVALANCHE","NATDAval","NATD","Composite big movements of sliding, falling earth, landslides, mudslides. This category often for big hollywood versions of these types of sound.","glissement de terrain, coulée de boue"],
["CATASTROPHE NATURELLE","SÉISME","NATDQuak","NATD","Composite and complex earthquake rumbles and rattles. This category often for big hollywood versions of these types of sound.","tremblement de terre, grondement, crécelle, fissure, lfe"],
["CATASTROPHE NATURELLE","DIVERS","NATDMisc","NATD","Natural Disaster sounds not fitting another category in this list.","divers"],
["CATASTROPHE NATURELLE","TORNADE","NATDTorn","NATD","Composite tornado sounds, layered and created massive tornadoes. This category often for big hollywood versions of these types of sound.","tornade, vortex, trombe marine"],
["CATASTROPHE NATURELLE","TSUNAMI","NATDTsun","NATD","Composite tidal wave or tsunami scenes, layered and created. This category often for big hollywood versions of these types of sound.","raz-de-marée, tsunami"],
["CATASTROPHE NATURELLE","OURAGAN","NATDThyp","NATD","Composite typhoons, cyclones or hurricanes. Massive swirling storms. This category often for big hollywood versions of these types of sound.","typhon, ouragan, cyclone, tempête tropicale"],
["CATASTROPHE NATURELLE","VOLCAN","NATDVolc","NATD","Composite big volcano eruptions. Lava, lava bombs, eruptions. This category often for big hollywood versions of these types of sound. See also GEOTHERMAL-LAVA.","éruption, lave, bombes de lave, éruptions, pyroclastes"],
["OBJETS","SAC","OBJBag","OBJ","Bags and purses, shopping bags, lunch bags. Really any bag, except Luggage which would go to OBJECTS-LUGGAGE.","duffle, sac à dos, sac à dos, bourse, sac à main, sac à bandoulière, sac pour appareil photo"],
["OBJETS","LIVRE","OBJBook","OBJ","Books, magazines, sounds relating to these. Handling particularly. Some overlap or confusion with PAPER-HANDLE.","livre, couverture, magazine, catalogue, manuel scolaire, dictionnaire, tome, volume, bible, publication"],
["OBJETS","PIÈCE","OBJCoin","OBJ","Coins land, toss, drop, handle. Coins being counted, sorted. A bag of coins.","lancer, retourner, jeter, faire tourner, tirelire, cliquetis, monnaie, monnaie perdue, monnaie, dollar d'argent, penny, nickel, dime, quarter, etc."],
["OBJETS","BOÎTE","OBJCont","OBJ","Boxes, tupperware, jewelry boxes, things that hold things, lids, handling, opens and closes.","boîte, boîte en carton, contenant, emballage, boîte à bijoux, contenant en plastique, couvercle, tupperware, capsule, boîte à pain, boîte de conserve, boîte à outils, boîte à pilules"],
["OBJETS","JARDIN","OBJFash","OBJ","Shoes, belts, clothes, actions involding fashion objects. Makeup, lipstick, etc. Some overlap possible with CLOTH categories. See also OBJECTS-JEWELRY. And OBJECTS-BAG.","chaussures, bottes, mascara, rouge à lèvres, maquillage, ceinture, écharpe, talons hauts, eye-liner, lunettes de soleil, lunettes, portefeuille, chapeau, gants, montres, châle, chaussettes, bandana, bandeau, cravates, manchons, bretelles, peignoir, mouchoir en papier"],
["OBJETS","GYM","OBJFurn","OBJ","Chairs movement, couch movement, things like that. Wood chair creaks could go in WOOD-FRICTION.","chesterfield, sofa, chaise à bascule, table, chaise, causeuse, tabouret, armoire, bibliothèque, lit, canapé, coffre"],
["OBJETS","MODE","OBJGrdn","OBJ","Flower pots, bird feeders, things that you might find and use in a garden. See also TOOLS-GARDEN and MACHINES-GARDEN.","pot de fleurs, sculpture de jardin, tuyau, robinet, arrosoir, mangeoire pour oiseaux, composteur"],
["OBJETS","MEUBLE","OBJGym","OBJ","Objects found in a fitness center or school gym, maybe a yoga mat, dumbells. See also MACHINES-GYM.","poids, haltère, barre, tapis, banc de musculation, corde à sauter, ballon d'exercice, tapis de yoga, banc de musculation, bande de résistance, kettlebell, ballon de fitness, ballon d'exercice"],
["OBJETS","DOMESTIQUE","OBJHsehld","OBJ","Cleaning products, hangers, towel racks, things around the house that don't fit somewhere else.","domestique, foyer, maison"],
["OBJETS","BIJOUX","OBJJewl","OBJ","Bracelets, necklaces, rings.","bracelet, collier, couronne, boucle d'oreille, bague, nez, pendentif, épingle de cravate, boutons de manchette"],
["OBJETS","CLEFS","OBJKey","OBJ","Keys jingling, keys movement in lock.","porte-clés, porte-clés, lanyard"],
["OBJETS","BAGAGE","OBJLug","OBJ","Suitcases, luggage related sounds, handling, opening, packing.","valise, bagage, sac de voyage, polochon"],
["OBJETS","MÉDICAL","OBJMed","OBJ","Common objects in hospital or medical office.","tensiomètre manuel, stéthoscope, gants en caoutchouc, pince, seringue, forcep"],
["OBJETS","DIVERS","OBJMisc","OBJ","Object sounds not fitting another category in this list.","divers"],
["OBJETS","BUREAU","OBJOffc","OBJ","Things found in an office, staplers, paper cutter etc. Not machines like a printer which would go in MACHINES-OFFICE.","agrafeuse, coupe-papier, perforateur, ciseaux, plateau à papier, presse-papier, dossier, classeur, rapport"],
["OBJETS","EMBALLAGE","OBJPack","OBJ","Items commonly used in packaging or packing, so bubblewrap, styrofoam, labels, food packaging.","carton, styromousse, cacahuètes, étiquettes, papier d'emballage, papier bulle, ruban adhésif, velcro, papier tue-mouches, etc."],
["OBJETS","ADHÉSIF","OBJTape","OBJ","Tape and other tacky sticky type sounds as well. Velco probably better into CLOTH-RIP as that matches the 'sound' better.","ruban adhésif, velcro, papier tue-mouches, colle, ruban adhésif d'emballage, ruban de masquage, ruban adhésif en toile, ruban adhésif de gaffer, ruban adhésif en scotch, ruban adhésif double face"],
["OBJETS","PARAPLUIE","OBJUmbr","OBJ","Umbrella opens and closes. Not for rain on umbrella, which would go in RAIN-CLOTH.","secouer, bruissement, pop, bruit sourd"],
["OBJETS","ROULANT","OBJWhled","OBJ","Non-motorized wheeled carts and dollies. Shopping cart, food cart, baggage cart, baby stroller, dolly, wheelchairs.","landau, perambulateur, voiture d'enfant, fauteuil roulant, chariot, poussette, charrette, brancard"],
["OBJETS","ÉCRITURE","OBJWrite","OBJ","Any writing object or performance of writing on any surface. Pens, pencils, crayons, markers.","stylo, crayon, marqueur, craie, crayon de couleur, tableau effaçable à sec, sharpie, signature"],
["OBJETS","FERMETURE ÉCLAIR","OBJZipr","OBJ","Pant zippers, bag zippers, luggage zippers.","fermeture éclair, pantalon, veste, tente, sac"],
["PAPIER","VOL","PAPRFltr","PAPR","Paper and Cardboard. Tossing a group of pages or a book in the air, money flutters as it falls to the ground. Confetti.","flutter, rabat, chute, confettis, carton, papier"],
["PAPIER","FRICTION","PAPRFric","PAPR","Paper and Cardboard. Sliding paper or scraping paper.","glisser, gratter, carton, papier"],
["PAPIER","MANIPULATION","PAPRHndl","PAPR","Paper and Cardboard. Page turns, magazine handling. Books dropping. Handling paper money. Some overlap or confusion with OBJECTS-BOOK.","tourner, page, feuilleter, parcourir, consulter, carton, papier"],
["PAPIER","IMPACT","PAPRImpt","PAPR","Paper and Cardboard. Heavy paper hits, a rolled up newspaper thwack, a magazine hitting something.","frapper, frapper, gifler, journal, magazine, carton, papier"],
["PAPIER","DIVERS","PAPRMisc","PAPR","Paper and Cardboard. Paper sounds not fitting another category in this list.","divers"],
["PAPIER","DÉCHIREMENT","PAPRRip","PAPR","Paper and Cardboard. Ripping paper, paper tears.","déchirer, déchirer, déchiqueter, carton, papier"],
["PAPIER","TONAL","PAPRTonl","PAPR","Paper and Cardboard. Not very common, but tonal paper sounds.","tonal, chanter, sonner, papier, carton"],
["PLASTIQUE","CASSE","PLASBrk","PLAS","Plastic breaking, crunches, rips, shatters.","casser, fissurer, déchirer, briser, craquer"],
["PLASTIQUE","CRASH & DÉBRIS","PLASCrsh","PLAS","Plastic crashing, groups items falling, group destruction, plastic debris.","chute, crash, débris"],
["PLASTIQUE","FRICTION","PLASFric","PLAS","Plastic friction, such as scrapes, creaks, squeaks, screeching.","stress, grattage, craquements, grincements, crissement"],
["PLASTIQUE","MANIPULATION","PLASHndl","PLAS","Plastic handling, handling a toy or remote control. Some overlap with PLASTIC-MOVEMENT possible.","manipuler, saisir, poser, ramasser, déposer, lancer, attraper"],
["PLASTIQUE","IMPACTS","PLASImpt","PLAS","Plastic item impact. Hit, drop, big plastic impacts where item does not break. Dropping a plastic object.","frapper, laisser tomber, impact"],
["PLASTIQUE","DIVERS","PLASMisc","PLAS","Plastic sounds not fitting another category in this list.","divers"],
["PLASTIQUE","MOUVEMENT","PLASMvmt","PLAS","Plastic movement, dragging plastic or drag on plastic, rattles, shakes. See also PLASTIC-HANDLE.","traîner, rouler, cliqueter, secouer"],
["PLASTIQUE","TONAL","PLASTonl","PLAS","Plastic tonal sounds, with a musical quality. Probably pretty rare.","tonal, chanter, sonner"],
["PLUIE","TISSUS","RAINClth","RAIN","Rain on cloth, like a person's clothes, or more likely a patio umbrella, awning.","pluie, tissu, veste, parapluie, coton"],
["PLUIE","BÉTON","RAINConc","RAIN","Rain on asphalt or concrete or patio tile. Rain on a hard slappy solid surface.","pluie, ciment, chaussée, asphalte"],
["PLUIE","GÉNÉRIQUE","RAIN","RAIN","General downpour, rain on mixed materials.","pluie, tempête de pluie, averse"],
["PLUIE","VERRE","RAINGlas","RAIN","Rain on a glass roof like a sunroof, or rain blown against a window as well.","pluie, verre, lucarne, fenêtre, toit ouvrant, serre"],
["PLUIE","INTÉRIEUR","RAINInt","RAIN","Interior recordings of Rain, from inside house or barn, or vehicle.","pluie, tempête de pluie, pluie intérieure, pluie de pare-brise, pluie sur le toit"],
["PLUIE","MÉTAL","RAINMetl","RAIN","Rain on a metal surface, so exterior rain on a car, or metal sheet, metal roof.","pluie, métal, voiture, boîte, fer blanc, toit"],
["PLUIE","PLASTIQUE","RAINPlas","RAIN","Rain on plastic or vinyl surfaces, like a grill cover, or a plastic shed.","pluie, plastique, vinyle, plexiglas"],
["PLUIE","VÉGÉTATION","RAINVege","RAIN","Rain on plants, leaves and grass. Jungle or tropical rain on plant leaves.","Pluie sur une surface métallique, donc pluie sur une voiture, ou tôle, etc."],
["PLUIE","EAU","RAINWatr","RAIN","Rain on water, puddles, lakes, ponds.","pluie, flaque d'eau, lac, étang"],
["PLUIE","BOIS","RAINWood","RAIN","Rain on wood surfaces, so a deck for example.","pluie, bois, terrasse, toit, hangar, plancher"],
["ROBOTS","DIVERS","ROBTMisc","ROBT","Robot sounds not fitting another category in this list.","automate, droïde, robot"],
["ROBOTS","MOUVEMENT","ROBTMvmt","ROBT","Complex robot movement, servos, possible robot hovering and flying. See also MOTORS-SERVO.","servo, solénoïde, mécanisme, pneumatique, hydraulique, droïde, bot"],
["ROBOTS","VOIX","ROBTVox","ROBT","Droid and robot vocals, R2D2 would go here. Any manner of vocalizing robot. More expressive than a beep/UI.","droïde, chirp, beep, sifflet, bot"],
["PIERRE","CASSE","ROCKBrk","ROCK","Rock cracks, breaks, rips or shatters. More isolated and singular cracks and breaks.","Casse, fissure, déchirure, éclatement, écrasement"],
["PIERRE","CRASH & DÉBRIS","ROCKCrsh","ROCK","Rock crashes and debris, so a huge rock crash, collapse. Or isolated debris. See also NATURAL DISASTER-AVALANCHE.","Chute, Débris"],
["PIERRE","FRICTION","ROCKFric","ROCK","Rock creaks, scrapes... the stress of rock about to break.","Stress, éraflures, craquements, grincements, crissements, crissements"],
["PIERRE","MANIPULATION","ROCKHndl","ROCK","Rock handing, picking up or digging through rocks, bricks. Some overlap with ROCKS-MOVEMENT possible.","manipuler, saisir, mettre en place, ramasser, poser, lancer, attraper"],
["PIERRE","IMPACT","ROCKImpt","ROCK","Rock falling, dropping without breaking, or something hit with a rock, a big rock impact.","Frapper, laisser tomber, impacter, s'écraser, s'écraser, s'entrechoquer, s'entrechoquer, s'entrechoquer, s'entrechoquer..."],
["PIERRE","DIVERS","ROCKMisc","ROCK","Rock sounds not fitting another category in this list.","divers"],
["PIERRE","MOUVEMENT","ROCKMvmt","ROCK","Rock dragging, or dragging across a rock surface, rocks shaking or rattling. See also ROCKS-HANDLE.","Traîner, rouler, secouer, agiter"],
["PIERRE","TONAL","ROCKTonl","ROCK","Tonal rocks, probably pretty rare. Singing rocks.","S'incliner, sonner, se tordre, s'agiter, se déformer"],
["CORDES","TENSION","ROPECreak","ROPE","Rope stretches and creaks, people hanging from nooses.. Ship rope creaks. Tension of rope stretches.","étirer, tendre, tirer"],
["CORDES","MANIPULATION","ROPEHndl","ROPE","Rope handling, tying knots, rigging up a ship sail. Possible overlap with ROPE-MOVEMENT.","manipuler, saisir, poser, ramasser, poser, lancer, attraper"],
["CORDES","IMPACT","ROPEImpt","ROPE","Rope impacts, tossing ropes to ground, ropes banging violently in the wind. Possible overlap with ROPE-MOVEMENT.","frapper, laisser tomber, impacter"],
["CORDES","DIVERS","ROPEMisc","ROPE","Rope sounds not fitting another category in this list.","divers"],
["CORDES","MOUVEMENT","ROPEMvmt","ROPE","Ropes zuzzing, moving across objects, zipline. See also ROPE-HANDLE.","zuzz, zipline, zip, nœud, cravate"],
["CAOUTCHOUC","CRASH & DÉBRIS","RUBRCrsh","RUBR","Rubber items crashing, or rubber debris landing.","débris, dispersion, plop"],
["CAOUTCHOUC","FRICTION","RUBRFric","RUBR","Rubber squeaks, balloon squeaks, a rubber shoe squeak.","grincer, craquer, traîner, frotter, gratter, gémir"],
["CAOUTCHOUC","MANIPULATION","RUBRHndl","RUBR","Rubber handling, rubber objects being manipulated or handled. Some overlap with RUBBER-MOVEMENT","manipuler, saisir, poser, ramasser, poser, lancer, attraper"],
["CAOUTCHOUC","IMPACT","RUBRImpt","RUBR","Rubber impacts, drops, bounces. Hitting a balloon or rubber ball.","claquement, impact, coup, rebond, chute"],
["CAOUTCHOUC","DIVERS","RUBRMisc","RUBR","Rubber sounds not fitting another category in this list.","divers"],
["CAOUTCHOUC","MOUVEMENT","RUBRMvmt","RUBR","Rubber movement, dragging rubber or drag on rubber. Rubber flapping. See also RUBBER-HANDLE.","bouger, traîner, battre, flotter"],
["CAOUTCHOUC","TONAL","RUBRTonl","RUBR","Rubber movement with a tonal quality, a musical quality.","tonalité, caoutchouc, chant"],
["SCIFI","ALARME","SCIAlrm","SCI","Overly futuristic alarms, the kind you're hear on a spaceship","alarme de science-fiction, alerte, avertissement"],
["SCIFI","ORDINATEUR","SCICmpt","SCI","Use Sci-Fi for overtly 'science fiction' type computer sounds, a very futuristic computer. Some overlap with USER INTERFACE.","ordinateur, console, interface, holo-écran"],
["SCIFI","PORTE","SCIDoor","SCI","That Star-Trek type door. Spaceship doors.","porte de science-fiction, sas"],
["SCIFI","ÉNERGIE","SCIEnrg","SCI","Energy particles, vortexes, transporters, holograms, force fields.","particule, vortex, transporteur, hologramme, champ de force"],
["SCIFI","IMPACT","SCIImpt","SCI","A bolt of SciFi energy, a hi-tech energy impact, more futuristic than just an explosion. Overlap with DESIGNED-IMPACT.","coup d'énergie, vague d'énergie, champ de force"],
["SCIFI","MACHINE","SCIMach","SCI","Future technology machines, transporters, food replicators.","téléporteur, réplicateurs de nourriture, holodeck"],
["SCIFI","MÉCANISME","SCIMech","SCI","An overly sci-fi sounding gizmo or mechanism. Little unfolding robot or something like that. Similar to MACHINE-MECHANISM but more SciFi.","tricordeur, appareil de science-fiction, gadget"],
["SCIFI","DIVERS","SCIMisc","SCI","SCI-FI sounds not fitting another category in this list.","divers"],
["SCIFI","RÉTRO","SCIRetro","SCI","Cheesy sci-fi sounds, like from The Jetsons, The Day the Earth Stood Still. Old TV or film sci-fi sounds.","vieille science-fiction"],
["SCIFI","VAISSEAU SPATIAL","SCIShip","SCI","Spaceships here, your best Enterprise and Tie Fighter rip-offs! See also SCIFI-VEHICLE for non-spaceships.","vaisseau spatial, ovni, vaisseau-mère, croiseur de combat, vaisseau spatial"],
["SCIFI","VÉHICULE","SCIVeh","SCI","Various sci-fi vehicles, like a moon rover, landspeeder, speeder bike, hoverboard, podracer. See also SCIFI-SPACESHIP.","rover lunaire, landspeeder, speeder bike, hoverboard, podracer"],
["SCIFI","ARME","SCIWeap","SCI","Lightsabers, exotic sci-fi weapons. Not a 'blaster' which would go in LASERS-GUN.","sabre laser, arme exotique"],
["NEIGE","CRASH & DÉBRIS","SNOWCrsh","SNOW","Snow big crashes, a big fall of snow, a roof full of snow collapsing. See also NATURAL DISASTER-AVALANCE for the extreme version of this.","boule de neige, chute de neige"],
["NEIGE","FRICTION","SNOWFric","SNOW","Snow scrapes, squeaks. Sliing on snow, sledding.","stress, gratter, craquer, grincer, hurler"],
["NEIGE","MANIPULATION","SNOWHndl","SNOW","Snow being handled, a snowball being formed, etc. Digging out of show with your hands. Some overlap with SNOW-MOVEMENT.","manipuler, saisir, poser, ramasser, poser, lancer, attraper"],
["NEIGE","IMPACT","SNOWImpt","SNOW","A big impact of snow, like a roof full of snow falling. Or smaller like a snowball. Jumping into a pile of snow.","boule de neige, dérive de neige, basculer, tomber"],
["NEIGE","DIVERS","SNOWMisc","SNOW","Snow sounds not fitting another category in this list.","divers"],
["NEIGE","MOUVEMENT","SNOWMvmt","SNOW","Dragging something through snow, rolling in snow. See also SNOW-HANDLE.","patauger, traîner, labourer, tâtonner"],
