[["POWIETRZE","PODMUCH","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","sprężone powietrze, obniżać ciśnienie, wypuszczać, puff, sputter, flutter, purge"],
["MASZYNY","AGD","MACHAppl","MACH","General appliances, refrigerator, stove, oven, vacuum cleaner... AC and fans have their own category.","piekarnik, lodówka, chłodziarka, blender, robot kuchenny, suszarka do włosów, kostkarka do lodu, pralka, suszarka, żelazko, ekspres do kawy, zmywarka, elektryczny otwieracz do puszek, wyrzucanie śmieci, nawilżacz, osuszacz, maszyna do szycia, toster, gofrownica, ruszt, płyta grzewcza"],
["MASZYNY","BUDOWLANE","MACHCnst","MACH","A machine for construction that isn't a vehicle or a tool. For example a cement mixer, a woodchipper.","dźwig, betoniarka, rębak do drewna"],
["MASZYNY","WINDA","MACHElev","MACH","Elevator movement and doors would go here.","paternoster, winda towarowa, winda osobowa, winda"],
["MASZYNY","RUCHOME SCHODY","MACHEscl","MACH","Escalators and moving walkways would go here.","travelator, ruchomy chodnik"],
["MASZYNY","WENTYLATOR","MACHFan","MACH","Fans of all types, box fans, ceiling fans. For air conditioning use MACHINES-HVAC.","wentylator, wentylator sufitowy, wentylator skrzyniowy, wentylator przemysłowy, wentylator bez łopatek"],
["MASZYNY","OGRÓD","MACHGrdn","MACH","Powered landscaping machines, lawnmowers, weed-whackers, edgers, hedge trimmers. See also TOOLS-GARDEN and OBJECTS-GARDEN.","kosiarka, glebogryzarka, podkaszarka, piła łańcuchowa, podkaszarka, kijanka, mulczer, kultywator"],
["MASZYNY","SIŁOWNIA","MACHGym","MACH","Exercise bikes, weight machines, treadmill, all things fitness. See also OBJECTS-GYM","bieżnia, eliptical, wioślarz, rower treningowy, rower stacjonarny, nordictrack, schodołaz."],
["MASZYNY","HITECH","MACHTech","MACH","Think cool James Bond machines, big elaborate death traps, maybe Rube Goldberg type machines. See also SCIFI-MACHINE.","gadżet, cyfrowy, podręczny"],
["MASZYNY","KLIMATYZACJA I OGRZEWANIE","MACHHvac","MACH","Furnaces, Air Conditioners. Fans go in MACHINES-FAN. A close up gas furnace flame would go to FIRE-GAS.","aircon, klimatyzacja, ogrzewanie."],
["MASZYNY","PRZEMYSŁOWE","MACHInd","MACH","Big industrial presses, factory machines, industrial robots, any heavy manufacturing machines.","prasa hydrauliczna, linia montażowa, gorzelnia, prasa wykrawająca, prasa formująca+F437:F450"],
["MASZYNY","MECHANIZM","MACHMech","MACH","Complex mechanical smaller machines and gadgets, puzzle boxes that open portals to hell. Usually smaller devices.","puzzle box, rube goldberg, gizmo"],
["MASZYNY","MEDYCZNE","MACHMed","MACH","Machines typically found in a hospital, medical lab or Doctor's office.","aparaty rentgenowskie, rezonans magnetyczny, skanowanie kotów, skanowanie zwierząt, aparat do pomiaru ciśnienia krwi, aparat do badań laboratoryjnych, wirówka, respirator, defibrylator"],
["MASZYNY","RÓŻNE","MACHMisc","MACH","Machine sounds not fitting another category in this list. See also MOTOR category.","różne"],
["MASZYNY","BIUROWE","MACHOffc","MACH","Machines typically found in an office, such as printers and copy machines.","faks, faks, telefaks, kopiarka, drukarka, niszczarka, ksero, fotokopiarka, pantograf, drukarka laserowa, atramentowa, niszczarka do papieru, ploter"],
["MASZYNY","POMPA","MACHPump","MACH","Air or water pumps, fish tank aquarium pumps, sump pumps. Air compressors would fall into this category.","pompa wodna, pompa studzienna, kompresor, kompresor powietrza"],
["MAGIA","NIEBIAŃSKA","MAGAngl","MAG","Angelic, Holy, Benevolent magic. The opposite of evil. Think choral tones and healing magic.","święty, niebiański, eteryczny, boski, duchowy, beatyfikacyjny, sprawiedliwy, święty"],
["MAGIA","ŻYWIOŁY","MAGElem","MAG","Magic centered around elements, fire, water, ice. Think the movie Frozen type stuff.","ogień, woda, ziemia, elektryczny, powietrze, wiatr"],
["MAGIA","ZŁO","MAGEvil","MAG","Evil magic, ominous, dark magic. Voldemort type stuff.","ciemność, diabeł, przywołanie, nekromancja, voodoo, czarna magia, zakazane"],
["MAGIA","RÓŻNE","MAGMisc","MAG","Magic sounds not fitting another category in this list.","różne"],
["MAGIA","ZAPŁON","MAGPoof","MAG","Shorter magic phrases, often for transforming, short 'turn you into a rabbit' type stuff.","chuff, foomp, blast"],
["MAGIA","LŚNIENIE","MAGShim","MAG","Glassy or chime-like shimmers, waves of particle type magic.","twinkle, sparkle, bell tree, chime, glint, glisten, glitter, scintillation, glow, glimmer, gleam"],
["MAGIA","CZAROWANIE","MAGSpel","MAG","Something complex for a spell being cast. Think Maleficent swirling green magic or weird vocal-ish spells.","czarownica, czarodziej, czarownik, rzucanie, inkantacja, heks, runa, czary, zaklinanie, inwokacja, zaklinanie, egzorcyzm, klątwa, trans"],
["MECHANIZMY","KLIK","MECHClik","MECH","Short clicks, could be from button presses, things like that. Some confusion and overlap with MECHANICAL-SWITCH.","kliknięcie, trzask, pstryknięcie, przełączenie, przycisk"],
["MECHANIZMY","KOŁO ZĘBATE","MECHGear","MECH","A toothed cog, turning or grinding gears, complex gear mechanisms. Small clock gears would go in CLOCKS-MECHANICS.","koło zębate, zębatka, zębatka, przekładnia, koło zębate, koło zębate, koło zamachowe"],
["MECHANIZMY","HYDRAULICZNE I PNEUMATYCZNE","MECHHydr","MECH","Various hydraulic or pneumatic sounds, like on a self-closing door. Isolated hydraulics and pneumatics. See also DOORS-HYDRAULIC & PNEUMATIC for a complete door.","hydrauliczny, pneumatyczny, pod ciśnieniem, zawór"],
["MECHANIZMY","ZASUWA","MECHLtch","MECH","Latch, as in a briefcase latch, or a luggage latch.","zatrzask, okucie, zamek, klamra, hasp, rygiel"],
["MECHANIZMY","DŹWIGNIA","MECHLvr","MECH","A sliding or switching lever. Train track lever, lever to turn on an electric chair. Old Frankenstein machine levers, breaker levers.","dźwignia, przełącznik, brzęk, brzęk"],
["MECHANIZMY","ZAMEK","MECHLock","MECH","A padlock, bicycle lock, or a locking mechanism. Door locks to go into DOORS-HARDWARE.","kłódka, zamknięcie"],
["MECHANIZMY","RÓŻNE","MECHMisc","MECH","Mechanical sounds not fitting another category in this list.","różne"],
["MECHANIZMY","KRĄŻEK","MECHPuly","MECH","An isolated recording of a pulley, or system of pulleys.","skrzypienie, ćwierkanie, turlanie"],
["MECHANIZMY","ZAPADKA","MECHRtch","MECH","That sound a ratchet makes.","grzechotka, pstryknięcie, kliknięcie, wiatr, korba, wciągarka"],
["MECHANIZMY","ZESPÓŁ PRZEŁĄCZNIKÓW","MECHRelay","MECH","Old train station counting board flipping. A old communications relay board.","flip, toggle, clack"],
["MECHANIZMY","WAŁEK","MECHRolr","MECH","Like a rolling conveyor belt, or something on a roller.","rolka, pasek, wałek"],
["MECHANIZMY","PRZEŁĄCZNIK","MECHSwtch","MECH","Basic and heavy switches, light switches, power switches. Some overlap or confusion with MECHANICAL-CLICK.","przełącznik, kliknięcie, kliknięcie, toggle, przycisk"],
["METAL","ŁAMANIE","METLBrk","METL","Metal breaking, snaps, cracks, rips, shatters.","złamać, pęknąć, rozerwać, roztrzaskać, chrupnąć"],
["METAL","ROZBICIE I ODŁAMKI","METLCrsh","METL","Metal crashing and debris. Complex metal crashes, group metal crashes, metal debris falls.","zderzenie, upadek, odłamki"],
["METAL","TARCIE","METLFric","METL","Metal friction, stress, so scrapes, creaks, squeaks, squeals, screeches. Metal sounds caused by friction.","naprężenie, zadrapanie, skrzypienie, pisk, łoskot"],
["METAL","TRZYMANIE","METLHndl","METL","Metal handling, handling metal objects. Some overlap with METAL-MOVEMENT possible.","uchwycić, złapać, ustawić, podnieść, ustawić w dół, podrzucić, złapać"],
["METAL","UDERZENIE","METLImpt","METL","Metal single item impacts, so anvil hits, dropping something that doesn't break. Clangs, clunks, bangs.","uderzenie, upadek, uderzenie, zderzenie, brzęk, brzęk"],
["METAL","RÓŻNE","METLMisc","METL","Metal sounds not fitting another category in this list.","różne"],
["METAL","PORUSZANIE","METLMvmt","METL","Metal movement, so drag, roll, rattle, shake. Single or metal items moving. Or movement on a metal surface. See also METAL-HANDLE.","ciągnąć, toczyć, grzechotać, trząść"],
["METAL","TONALNE","METLTonl","METL","Metal tonal, resonating, ringing, wronks and warps. Bending sheet metal, a singing bowl ringing, metal shinging.","łuk, pierścień, wronk, shing, wypaczenie, zgięcie, rezonans"],
["SILNIKI","STARODAWNE","MOTRAntq","MOTR","Old motors, usually combustion, so old oil pump engines, old compressors. An antique gas pump for example.","silnik naftowy, silnik parafinowy"],
["SILNIKI","SPALINOWE","MOTRComb","MOTR","Non-vehicle combustion engines. Combustion motors, generators. Isolated engine recordings.","silnik na olej napędowy, silnik gazowy, silnik spalinowy, silnik dwusuwowy"],
["SILNIKI","ELEKTRYCZNE","MOTRElec","MOTR","Non-vehicle electric motors. Any motor that runs on electricity. An isolated electric motor. See also TOOLS-POWER.","szczoteczka do zębów, maszynka elektryczna, silnik elektryczny, wyrzucanie śmieci, wiertło dentystyczne"],
["SILNIKI","RÓŻNE","MOTRMisc","MOTR","Motor sounds not fitting another category in this list.","różne"],
["SILNIKI","SERWOMECHANIZM","MOTRSrvo","MOTR","Specifically servo motors, from robot, to radio controlled servos. Clean isolated servos.","robot, samochód rc, ostrość kamery, antena samochodowa, drukarka"],
["SILNIKI","TURBINA","MOTRTurb","MOTR","Turbines, water or air. That classic 'whine' power up and down are usually turbines. A jet engine is a turbine.","wiatrak, samolot, samolot, generator"],
["RUCH","AKTYWNOŚĆ","MOVEActv","MOVE","Crowds moving but also performing activities, cleaning, moving boxes. Clean recordings with no vocals. See MOVEMENT-HUMAN for Single activity.","czynność, przeprowadzka, sprzątanie, zakupy, rozpakowywanie"],
["RUCH","ZWIERZĘTA","MOVEAnml","MOVE","Group animal movement, individual feet go to FOOTSTEPS-ANIMAL or FOOTSTEPS-HORSE. But think herds of grazing animals, stampedes.","stampede, stado, szarża, deptać, scramble"],
["RUCH","STWÓR","MOVECrea","MOVE","Slithering Dragons, Gooey Zombie Movement.","ślizgać się, czołgać się, ślizgać się, wiercić się, wiercić się"],
["RUCH","TŁUM","MOVECrwd","MOVE","Groups of people milling or walking. Usually mostly just recordings of group footsteps in real locations. No vocals. Compare to MOVEMENT-ACTIVITY.","chodzić, biegać, maszerować, młynkować, tasować, siedzieć, stać, leżeć, ślizgać się, skakać, przeskakiwać"],
["RUCH","LUDZIE","MOVEHmn","MOVE","Movement of single human, aside from footsteps, standing, sitting, shuffe. Some overlap or confusion with FOOTSTEP-HUMAN or MOVEMENT-ACTIVITY.","chodzić, biegać, maszerować, młynkować, tasować, siadać, stać, leżeć, ślizgać się, skakać, przeskakiwać"],
["RUCH","OWAD","MOVEInsc","MOVE","Group insects, footsteps, movement, swarms, spiders, locusts. Swarms of flying insects here too, bees, flies. Overlap with ANIMALS-INSECT or AMBIENCE-INSECT.","rój, rój, ul, pszczółka, ślimak, larwa"],
["RUCH","RÓŻNE","MOVEMisc","MOVE","Movement sounds not fitting another category in this list.","różne"],
["RUCH","OBECNOŚĆ","MOVEPres","MOVE","Very light movement, people in church adjusting, people on church pews. Again, recordings without vocals. Compare to MOVEMENT-ACTIVITY and MOVEMENT-CROWD.","regulować, tasować, szurać, lekki ruch, przesunięcie"],
["MUZYCZNE","DZWONY","MUSCBell","MUSC","Specifically musical bells, tuned bells, think Tubular bells or hand bells. See also the BELL category for non-musical uses. BELL-GONG is older and this is a better fit.","dzwony rurowe, carillon, gamelan, śpiewająca misa, dzwonek ręczny, cowbell, gong, gamelan, agung, bowl gong, tam-tam"],
["MUZYCZNE","DĘTE BLASZANE","MUSCBrass","MUSC","Brass musical instruments, trumpets, tuba, french horn.","tuba, waltornia, puzon, trąbka, mellofon, euforia, suzafon, flugelhorn, bugle, saxhorn, kornet"],
["MUZYCZNE","DZWONEK","MUSCChim","MUSC","Wind chimes, bell trees, Tinkerbell type magic chimes.","gong wietrzny, dzwonek, dzwoneczek, dzwoneczek, dzwoneczek, dzwoneczek, dzwoneczek"],
["MUZYCZNE","CHÓR","MUSCChor","MUSC","Choir pieces, choral, not for 'designed type vocally stuff'.","chór, chóralne, gospel, kościelne"],
["MUZYCZNE","EKSPERYMENTALNE","MUSCExpr","MUSC","Strange or wierdly modified instruments, exotic instruments, prepared instruments like a prepared piano.","theremin, szklana armonica, pirofon, stylofon, cristal baschet, naelektryzowany kaktus, eolska harfa wiatrowa"],
["MUZYCZNE","INSTRUMENT","MUSCInst","MUSC","Various instruments that don't have a home in the other MUSICAL categories.","instrument"],
["MUZYCZNE","KLAWISZOWE","MUSCKeyd","MUSC","Keyed Instruments, such as pianos and harpsichord. For synthesizer though see MUSICAL-SYNTHESIZED.","fortepian, organy, klawesyn, akordeon, melodica, czelesta, szpinet, klawikord, harmonium, dulcyton"],
["MUZYCZNE","LOOP","MUSCLoop","MUSC","For looping musical phrases, sampled loops.","pętle muzyczne, pętle sampli, pętle perkusyjne"],
["MUZYCZNE","RÓŻNE","MUSCMisc","MUSC","Music sounds not fitting another category in this list. Hopefully rarely needed.","różne, harmonijka, kazoo"],
["MUZYCZNE","PERKUSYJNE","MUSCPerc","MUSC","Drums and percussion, including deep timpani or big war drums. Mainly meant for true membrane instruments, also see MUSICAL-TUNED PERCUSSION","timpani, kettle drum, bass drum, toms, bębny wojenne, taiko, kick drum, snare drum"],
["MUZYCZNE","PERKUSJA TONALNA","MUSCTnprc","MUSC","Tuned percussion mostly played with mallets, Xylophones, Vibraphones, etc.","glockenspiel, ksylofon, wibrafon, metalofon, lira dzwonkowa, stalowy bęben, marimba"],
["MUZYCZNE","WYSTĘP","MUSCPrfm","MUSC","A musical performance, or warm-up, a live musical act, a street musican, high school band. If a mixed ambience, look to AMBIENCE categories, like PUBLIC PLACE.","zespół, muzyk uliczny, koncert na żywo, show, klub nocny, "],
["MUZYCZNE","SZARPANE","MUSCPluck","MUSC","Guitars, Banjos, Harps, instruments that are mainly plucked when played. See also MUSICAL-STRINGED.","gitara, banjo, ukelele, harfa, gitara akustyczna, gitara basowa, mandolina, bałałajka, sitar, pipa, pianino kciukowe, harfa szczękowa, cytra, bałałajka, autoharp, kora, lutnia, lira, oud, tambura, karimba"],
["MUZYCZNE","SAMPLE","MUSCSmpl","MUSC","Musical samples. Single triggered samples, not loops, which has its own subcategory here.","próbki, surowe próbki, one-shot"],
["MUZYCZNE","POTRZĄSANE","MUSCShake","MUSC","Shaken musical instruments, rattles, tamourines.","marakasy, tamburyn, grzechotki, kij deszczowy, shekere , eggs shaker, chajchas, monkey stick, katsa, sistrum, shaker, cabasa"],
["MUZYCZNE","PIOSENKA I FRAZA","MUSCSong","MUSC","Complete musical pieces, songs as ringtones, car music bys. See also MUSICAL-PERFORMANCE which is a better fit for 'live performances'.","muzyka, player piano, ringtone, musical car by, phrase"],
["MUZYCZNE","AKCENT","MUSCStngr","MUSC","A short musical phrase or accent, like a horror 'string' sting. A big pitching cello note. But musical in nature.","music sting, news sting, tytuł"],
["MUZYCZNE","STRUNOWE","MUSCStr","MUSC","Bowed string instruments like violin, cello, viola. Harp probably now goes to MUSICAL-PLUCKED.","skrzypce, wiolonczela, altówka, wiolonczela, bas, kontrabas"],
["MUZYCZNE","SYNTEZATOR","MUSCSynth","MUSC","Synth samples, musical synth performances. Some overlap with MUSICAL-SAMPLE, but this meant for more than simple triggered samples.","syntezator, moog, casio, roland, arp, syntezator, oberheim, minimoog, yamaha, korg"],
["MUZYCZNE","ZABAWKA","MUSCToy","MUSC","Toys that play musical phrases, also music boxes would go here.","pozytywka, jack in the box"],
["MUZYCZNE","DĘTE DREWNIANE","MUSCWind","MUSC","Woodwind instruments like flute, oboe, bassoon, clarinet.","flet, piccolo, obój, fagot, rejestrator, klarnet, saksofon, klarnet basowy, ney, bansuri, kaval, fletnia pana, xiao, fife, "],
["KLĘSKA ŻYWIOŁOWA","LAWINA","NATDAval","NATD","Composite big movements of sliding, falling earth, landslides, mudslides. This category often for big hollywood versions of these types of sound.","osuwisko, błoto"],
["KLĘSKA ŻYWIOŁOWA","TRZĘSIENIE ZIEMI","NATDQuak","NATD","Composite and complex earthquake rumbles and rattles. This category often for big hollywood versions of these types of sound.","trzęsienie ziemi, huk, grzechotka, szczelina, lfe"],
["KLĘSKA ŻYWIOŁOWA","RÓŻNE","NATDMisc","NATD","Natural Disaster sounds not fitting another category in this list.","różne"],
["KLĘSKA ŻYWIOŁOWA","TORNADO","NATDTorn","NATD","Composite tornado sounds, layered and created massive tornadoes. This category often for big hollywood versions of these types of sound.","tornado, wir, trąba powietrzna"],
["KLĘSKA ŻYWIOŁOWA","TSUNAMI","NATDTsun","NATD","Composite tidal wave or tsunami scenes, layered and created. This category often for big hollywood versions of these types of sound.","fala pływowa, tsunami"],
["KLĘSKA ŻYWIOŁOWA","TAJFUN","NATDThyp","NATD","Composite typhoons, cyclones or hurricanes. Massive swirling storms. This category often for big hollywood versions of these types of sound.","tajfun, huragan, cyklon, burza tropikalna"],
["KLĘSKA ŻYWIOŁOWA","WULKAN","NATDVolc","NATD","Composite big volcano eruptions. Lava, lava bombs, eruptions. This category often for big hollywood versions of these types of sound. See also GEOTHERMAL-LAVA.","erupcja, lawa, bomby lawowe, erupcje, piroklast"],
["PRZEDMIOTY","TORBA","OBJBag","OBJ","Bags and purses, shopping bags, lunch bags. Really any bag, except Luggage which would go to OBJECTS-LUGGAGE.","duffle, backpack, back pack, purse, handbag, shoulder bag, camera bag"],
["PRZEDMIOTY","KSIĄŻKA","OBJBook","OBJ","Books, magazines, sounds relating to these. Handling particularly. Some overlap or confusion with PAPER-HANDLE.","książka, okładka, czasopismo, katalog, podręcznik, słownik, tom, biblia, publikacja"],
["PRZEDMIOTY","MONETA","OBJCoin","OBJ","Coins land, toss, drop, handle. Coins being counted, sorted. A bag of coins.","podrzucać, przerzucać, pingować, wyrzucać, kręcić, skarbonka, brzęk, bilon, luźna zmiana, reszta, srebrny dolar, penny, nickel, dime, quarter"],
["PRZEDMIOTY","KONTENER","OBJCont","OBJ","Boxes, tupperware, jewelry boxes, things that hold things, lids, handling, opens and closes.","pudełko, pudełko kartonowe, pojemnik, opakowanie, pudełko na biżuterię, plastikowy pojemnik, pokrywka, tupperware, kapsułka, chlebak, kanister, skrzynka na narzędzia, pudełko na tabletki"],
["PRZEDMIOTY","OGRÓD","OBJFash","OBJ","Shoes, belts, clothes, actions involding fashion objects. Makeup, lipstick, etc. Some overlap possible with CLOTH categories. See also OBJECTS-JEWELRY. And OBJECTS-BAG.","buty, buty, tusz do rzęs, szminka, makijaż, pasek, szarfa, szalik, buty na wysokich obcasach, eyeliner, okulary przeciwsłoneczne, okulary, portfel, kapelusz, rękawiczki, zegarki, szal, skarpety, bandana, opaska, krawaty, mufki, szelki, szlafrok, chustka do nosa"],
["PRZEDMIOTY","SIŁOWNIA","OBJFurn","OBJ","Chairs movement, couch movement, things like that. Wood chair creaks could go in WOOD-FRICTION.","chesterfield, sofa, fotel bujany, stół, krzesło, loveseat, taboret, szafka, regał, łóżko, kanapa, skrzynia"],
["PRZEDMIOTY","MODA","OBJGrdn","OBJ","Flower pots, bird feeders, things that you might find and use in a garden. See also TOOLS-GARDEN and MACHINES-GARDEN.","donica, rzeźba ogrodowa, wąż, kran, konewka, karmnik dla ptaków, kompostownik"],
["PRZEDMIOTY","MEBLE","OBJGym","OBJ","Objects found in a fitness center or school gym, maybe a yoga mat, dumbells. See also MACHINES-GYM.","waga, hantle, sztanga, mata, ławka do ćwiczeń, skakanka, piłka do ćwiczeń, mata do jogi, ławka do ćwiczeń, taśma oporowa, kettlebell, piłka fitness, piłka do ćwiczeń"],
["PRZEDMIOTY","DOMOWE","OBJHsehld","OBJ","Cleaning products, hangers, towel racks, things around the house that don't fit somewhere else.","dom, dom, dom"],
["PRZEDMIOTY","BIŻUTERIA","OBJJewl","OBJ","Bracelets, necklaces, rings.","bransoletka, naszyjnik, korona, kolczyk, pierścionek, nosidełko, wisiorek, spinka do krawata, spinki do mankietów"],
["PRZEDMIOTY","KLUCZE","OBJKey","OBJ","Keys jingling, keys movement in lock.","brelok, brelok do kluczy, smycz"],
["PRZEDMIOTY","BAGAŻ","OBJLug","OBJ","Suitcases, luggage related sounds, handling, opening, packing.","walizka, bagaż, torba na kółkach, duffel"],
["PRZEDMIOTY","MEDYCZNE","OBJMed","OBJ","Common objects in hospital or medical office.","ciśnieniomierz ręczny, stetoskop, rękawiczki gumowe, zacisk, strzykawka, kleszcze"],
["PRZEDMIOTY","RÓŻNE","OBJMisc","OBJ","Object sounds not fitting another category in this list.","różne"],
["PRZEDMIOTY","BIUROWE","OBJOffc","OBJ","Things found in an office, staplers, paper cutter etc. Not machines like a printer which would go in MACHINES-OFFICE.","zszywacz, nożyk do papieru, dziurkacz, nożyczki, podajnik do papieru, przycisk do papieru, teczka, segregator, raport"],
["PRZEDMIOTY","PAKOWANIE","OBJPack","OBJ","Items commonly used in packaging or packing, so bubblewrap, styrofoam, labels, food packaging.","karton, styropian, orzeszki ziemne, etykiety, papier pakowy, folia bąbelkowa"],
["PRZEDMIOTY","TAŚMA","OBJTape","OBJ","Tape and other tacky sticky type sounds as well. Velco probably better into CLOTH-RIP as that matches the 'sound' better.","taśma, rzep, papier toaletowy, klej, taśma pakowa, taśma maskująca, taśma duct tape, taśma gaffer, taśma scotch, taśma double stick"],
["PRZEDMIOTY","PARASOL","OBJUmbr","OBJ","Umbrella opens and closes. Not for rain on umbrella, which would go in RAIN-CLOTH.","potrząsanie, szelest, pop, uderzenie"],
["PRZEDMIOTY","NA KÓŁKACH","OBJWhled","OBJ","Non-motorized wheeled carts and dollies. Shopping cart, food cart, baggage cart, baby stroller, dolly, wheelchairs.","wózek dziecięcy, perambulator, wózek inwalidzki, lalka, wózek spacerowy, wózek, nosze"],
["PRZEDMIOTY","PISANIE","OBJWrite","OBJ","Any writing object or performance of writing on any surface. Pens, pencils, crayons, markers.","długopis, ołówek, marker, kreda, kredki, tablica suchościeralna, sharpie, podpis"],
["PRZEDMIOTY","ZAMEK BŁYSKAWICZNY","OBJZipr","OBJ","Pant zippers, bag zippers, luggage zippers.","zamek błyskawiczny, spodnie, kurtka, namiot, torba"],
["PAPIER","TRZEPOTANIE","PAPRFltr","PAPR","Paper and Cardboard. Tossing a group of pages or a book in the air, money flutters as it falls to the ground. Confetti.","trzepotanie, klapanie, spadanie, konfetti, karton, papier"],
["PAPIER","TARCIE","PAPRFric","PAPR","Paper and Cardboard. Sliding paper or scraping paper.","przesuwanie, skrobanie, karton, papier"],
["PAPIER","TRZYMANIE","PAPRHndl","PAPR","Paper and Cardboard. Page turns, magazine handling. Books dropping. Handling paper money. Some overlap or confusion with OBJECTS-BOOK.","obracać, strona, przerzucać, przeglądać, przeglądać, karton, papier"],
["PAPIER","UDERZENIE","PAPRImpt","PAPR","Paper and Cardboard. Heavy paper hits, a rolled up newspaper thwack, a magazine hitting something.","uderzenie papieru, klaps, spoliczkowanie, gazeta, magazyn, karton, papier"],
["PAPIER","RÓŻNE","PAPRMisc","PAPR","Paper and Cardboard. Paper sounds not fitting another category in this list.","różne"],
["PAPIER","ROZRYWANIE","PAPRRip","PAPR","Paper and Cardboard. Ripping paper, paper tears.","drzeć, rozrywać, strzępić, karton, papier"],
["PAPIER","TONALNE","PAPRTonl","PAPR","Paper and Cardboard. Not very common, but tonal paper sounds.","tonalny, śpiewający, dzwoniący, papier, karton"],
["PLASTIK","ŁAMANIE","PLASBrk","PLAS","Plastic breaking, crunches, rips, shatters.","łamać, pękać, rozrywać, rozbijać, chrupać"],
["PLASTIK","ROZBICIE I ODŁAMKI","PLASCrsh","PLAS","Plastic crashing, groups items falling, group destruction, plastic debris.","upadek, zderzenie, gruz"],
["PLASTIK","TARCIE","PLASFric","PLAS","Plastic friction, such as scrapes, creaks, squeaks, screeching.","naprężać, skrobać, skrzypienie, piszczeć"],
["PLASTIK","TRZYMANIE","PLASHndl","PLAS","Plastic handling, handling a toy or remote control. Some overlap with PLASTIC-MOVEMENT possible.","uchwycić, złapać, ustawić, podnieść, postawić, podrzucić, złapać"],
["PLASTIK","UDERZENIE","PLASImpt","PLAS","Plastic item impact. Hit, drop, big plastic impacts where item does not break. Dropping a plastic object.","uderzenie, upadek, uderzenie"],
["PLASTIK","RÓŻNE","PLASMisc","PLAS","Plastic sounds not fitting another category in this list.","różne"],
["PLASTIK","PORUSZANIE","PLASMvmt","PLAS","Plastic movement, dragging plastic or drag on plastic, rattles, shakes. See also PLASTIC-HANDLE.","ciągnąć, toczyć, grzechotać, trząść"],
["PLASTIK","TONALNE","PLASTonl","PLAS","Plastic tonal sounds, with a musical quality. Probably pretty rare.","tonalny, śpiew, dzwonienie"],
["DESZCZ","TKANINA","RAINClth","RAIN","Rain on cloth, like a person's clothes, or more likely a patio umbrella, awning.","deszcz, tkanina, kurtka, parasol, bawełna"],
["DESZCZ","BETON","RAINConc","RAIN","Rain on asphalt or concrete or patio tile. Rain on a hard slappy solid surface.","deszcz, cement, chodnik, asfalt"],
["DESZCZ","OGÓLNE","RAIN","RAIN","General downpour, rain on mixed materials.","deszcz, burza, ulewa"],
["DESZCZ","SZKŁO","RAINGlas","RAIN","Rain on a glass roof like a sunroof, or rain blown against a window as well.","deszcz, szkło, świetlik, okno, szyberdach, szklarnia"],
["DESZCZ","WEWNĄTRZ","RAINInt","RAIN","Interior recordings of Rain, from inside house or barn, or vehicle.","deszcz, ulewa, deszcz wewnętrzny, deszcz na szybie, deszcz na dachu"],
["DESZCZ","METAL","RAINMetl","RAIN","Rain on a metal surface, so exterior rain on a car, or metal sheet, metal roof.","deszcz, metal, samochód, puszka, blaszka, dach"],
["DESZCZ","PLASTIK","RAINPlas","RAIN","Rain on plastic or vinyl surfaces, like a grill cover, or a plastic shed.","deszcz, plastik, winyl, plexi"],
["DESZCZ","ROŚLINNOŚĆ","RAINVege","RAIN","Rain on plants, leaves and grass. Jungle or tropical rain on plant leaves.","Deszcz na powierzchni metalowej, a więc deszcz na samochodzie, lub blasze itp."],
["DESZCZ","WODA","RAINWatr","RAIN","Rain on water, puddles, lakes, ponds.","deszcz, kałuża, jezioro, staw"],
["DESZCZ","DREWNO","RAINWood","RAIN","Rain on wood surfaces, so a deck for example.","deszcz, drewno, pokład, dach, szopa, podłoga"],
["ROBOT","RÓŻNE","ROBTMisc","ROBT","Robot sounds not fitting another category in this list.","automat, droid, bot"],
["ROBOT","RUCHY","ROBTMvmt","ROBT","Complex robot movement, servos, possible robot hovering and flying. See also MOTORS-SERVO.","serwo, solenoid, mechanizm, pneumatyczny, hydrauliczny, droid, bot"],
["ROBOT","GŁOS","ROBTVox","ROBT","Droid and robot vocals, R2D2 would go here. Any manner of vocalizing robot. More expressive than a beep/UI.","droid, ćwierkanie, bip, gwizd, bot"],
["KAMIENIE","ŁAMANIE","ROCKBrk","ROCK","Rock cracks, breaks, rips or shatters. More isolated and singular cracks and breaks.","Złamania, pęknięcia, rozerwania, rozbicia, zgniecenia"],
["KAMIENIE","ROZBICIE I ODŁAMKI","ROCKCrsh","ROCK","Rock crashes and debris, so a huge rock crash, collapse. Or isolated debris. See also NATURAL DISASTER-AVALANCHE.","Upadek, gruz"],
["KAMIENIE","TARCIE","ROCKFric","ROCK","Rock creaks, scrapes... the stress of rock about to break.","Stres, zadrapania, skrzypienie, piski, pisk."],
["KAMIENIE","TRZYMANIE","ROCKHndl","ROCK","Rock handing, picking up or digging through rocks, bricks. Some overlap with ROCKS-MOVEMENT possible.","uchwycić, złapać, ustawić, podnieść, postawić, podrzucić, złapać"],
["KAMIENIE","UDERZENIE","ROCKImpt","ROCK","Rock falling, dropping without breaking, or something hit with a rock, a big rock impact.","Uderzenie, upadek, uderzenie, zderzenie, brzęk, brzęk, brzęk, brzęk, brzęk, brzęk"],
["KAMIENIE","RÓŻNE","ROCKMisc","ROCK","Rock sounds not fitting another category in this list.","różne"],
