[["ВОЗДУХ","ПОТОК","AIRBlow","AIR","Steady air blows, like from a compressed can of air.","сжатый воздух, разгерметизация, выпуск, пыхтение, распыление, трепыхание, продувка"],
["КАМНИ","ДВИЖЕНИЕ","ROCKMvmt","ROCK","Rock dragging, or dragging across a rock surface, rocks shaking or rattling. See also ROCKS-HANDLE.","тащить, катить, греметь, трясти"],
["КАМНИ","ТОНАЛЬНЫЕ","ROCKTonl","ROCK","Tonal rocks, probably pretty rare. Singing rocks.","кланяться, звенеть, греметь, звенеть, искривляться"],
["ВЕРЕВКА","СКРИП","ROPECreak","ROPE","Rope stretches and creaks, people hanging from nooses.. Ship rope creaks. Tension of rope stretches.","растягивать, натягивать, тянуть"],
["ВЕРЕВКА","ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","ROPEHndl","ROPE","Rope handling, tying knots, rigging up a ship sail. Possible overlap with ROPE-MOVEMENT.","держать, хватать, устанавливать, поднимать, опускать, бросать, ловить"],
["ВЕРЕВКА","УДАР","ROPEImpt","ROPE","Rope impacts, tossing ropes to ground, ropes banging violently in the wind. Possible overlap with ROPE-MOVEMENT.","удар, падение, удар"],
["ВЕРЕВКА","РАЗНОЕ","ROPEMisc","ROPE","Rope sounds not fitting another category in this list.","разное"],
["ВЕРЕВКА","ДВИЖЕНИЕ","ROPEMvmt","ROPE","Ropes zuzzing, moving across objects, zipline. See also ROPE-HANDLE.","zuzz, zipline, zip, zip, knot, tie"],
["РЕЗИНА","РАЗРЫВАНИЕ И КУСКИ","RUBRCrsh","RUBR","Rubber items crashing, or rubber debris landing.","обломки, разбрасывать, разбрасывать"],
["РЕЗИНА","ТРЕНИЕ","RUBRFric","RUBR","Rubber squeaks, balloon squeaks, a rubber shoe squeak.","писк, скрип, волочение, трение, скрежет, стон"],
["РЕЗИНА","ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","RUBRHndl","RUBR","Rubber handling, rubber objects being manipulated or handled. Some overlap with RUBBER-MOVEMENT","держать, хватать, устанавливать, подбирать, опускать, бросать, ловить"],
["РЕЗИНА","УДАР","RUBRImpt","RUBR","Rubber impacts, drops, bounces. Hitting a balloon or rubber ball.","шлепок, удар, удар, удар, отскок, падение"],
["РЕЗИНА","РАЗНОЕ","RUBRMisc","RUBR","Rubber sounds not fitting another category in this list.","разное"],
["РЕЗИНА","ДВИЖЕНИЕ","RUBRMvmt","RUBR","Rubber movement, dragging rubber or drag on rubber. Rubber flapping. See also RUBBER-HANDLE.","движение, волочение, хлопанье, шлепанье"],
["РЕЗИНА","ТОНАЛЬНЫЙ","RUBRTonl","RUBR","Rubber movement with a tonal quality, a musical quality.","тональный, резиновый, пение"],
["НАУЧНАЯ ФАНТАСТИКА","ТРЕВОГА","SCIAlrm","SCI","Overly futuristic alarms, the kind you're hear on a spaceship","научная фантастика сигнал тревоги, предупреждение, предостережение"],
["НАУЧНАЯ ФАНТАСТИКА","КОМПЬЮТЕР","SCICmpt","SCI","Use Sci-Fi for overtly 'science fiction' type computer sounds, a very futuristic computer. Some overlap with USER INTERFACE.","компьютер, консоль, интерфейс, голоэкран"],
["НАУЧНАЯ ФАНТАСТИКА","ДВЕРЬ","SCIDoor","SCI","That Star-Trek type door. Spaceship doors.","научно-фантастическая дверь, шлюз"],
["НАУЧНАЯ ФАНТАСТИКА","ЭНЕРГИЯ","SCIEnrg","SCI","Energy particles, vortexes, transporters, holograms, force fields.","частица, вихрь, транспортер, голограмма, силовое поле"],
["НАУЧНАЯ ФАНТАСТИКА","УДАР","SCIImpt","SCI","A bolt of SciFi energy, a hi-tech energy impact, more futuristic than just an explosion. Overlap with DESIGNED-IMPACT.","энергетический удар, энергетическая волна, силовое поле"],
["НАУЧНАЯ ФАНТАСТИКА","МАШИНА","SCIMach","SCI","Future technology machines, transporters, food replicators.","телепортатор, репликаторы пищи, голопалуба"],
["НАУЧНАЯ ФАНТАСТИКА","МЕХАНИЗМ","SCIMech","SCI","An overly sci-fi sounding gizmo or mechanism. Little unfolding robot or something like that. Similar to MACHINE-MECHANISM but more SciFi.","трикодер, научно-фантастическое устройство, штуковина"],
["НАУЧНАЯ ФАНТАСТИКА","РАЗНОЕ","SCIMisc","SCI","SCI-FI sounds not fitting another category in this list.","разное"],
["НАУЧНАЯ ФАНТАСТИКА","РЕТРО","SCIRetro","SCI","Cheesy sci-fi sounds, like from The Jetsons, The Day the Earth Stood Still. Old TV or film sci-fi sounds.","старая научная фантастика"],
["НАУЧНАЯ ФАНТАСТИКА","КОСМИЧЕСКИЙ КОРАБЛЬ","SCIShip","SCI","Spaceships here, your best Enterprise and Tie Fighter rip-offs! See also SCIFI-VEHICLE for non-spaceships.","космический корабль, НЛО, материнский корабль, боевой крейсер, звездолет"],
["НАУЧНАЯ ФАНТАСТИКА","ТРАНСПОРТНОЕ СРЕДСТВО","SCIVeh","SCI","Various sci-fi vehicles, like a moon rover, landspeeder, speeder bike, hoverboard, podracer. See also SCIFI-SPACESHIP.","луноход, лендспидер, спидер-байк, ховерборд, подрейсер"],
["НАУЧНАЯ ФАНТАСТИКА","ОРУЖИЕ","SCIWeap","SCI","Lightsabers, exotic sci-fi weapons. Not a 'blaster' which would go in LASERS-GUN.","световые мечи, экзотическое оружие"],
["СНЕГ","ПАДЕНИЕ И КУСКИ","SNOWCrsh","SNOW","Snow big crashes, a big fall of snow, a roof full of snow collapsing. See also NATURAL DISASTER-AVALANCE for the extreme version of this.","снежный ком, снежная катастрофа"],
["СНЕГ","ТРЕНИЕ","SNOWFric","SNOW","Snow scrapes, squeaks. Sliing on snow, sledding.","напряжение, скрежет, скрип, скрип, скрип, скрип, скрип"],
["СНЕГ","ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ","SNOWHndl","SNOW","Snow being handled, a snowball being formed, etc. Digging out of show with your hands. Some overlap with SNOW-MOVEMENT.","ручка, хватать, ставить, поднимать, опускать, бросать, ловить"],
["СНЕГ","УДАР","SNOWImpt","SNOW","A big impact of snow, like a roof full of snow falling. Or smaller like a snowball. Jumping into a pile of snow.","снежный ком, снежный сугроб, опрокидывать, падать"],
["СНЕГ","РАЗНОЕ","SNOWMisc","SNOW","Snow sounds not fitting another category in this list.","разное"],
["СНЕГ","ДВИЖЕНИЕ","SNOWMvmt","SNOW","Dragging something through snow, rolling in snow. See also SNOW-HANDLE.","пробираться, тащить, пахать, возиться"],
["СПОРТ","КОРТ","SPRTCourt","SPRT","Sports played on a court indoors or out, such a basketball, tennis.","баскетбол, теннис, фехтование, волейбол, ракетбол, бадминтон, нетбол, сквош, доджбол, шаффлборд, гандбол"],
["СПОРТ","ПОЛЕ","SPRTField","SPRT","Sports played on a field outdoors such as soccer and football.","футбол, футбол, бейсбол, хоккей на траве, крикет, регби, поло, лакросс"],
["СПОРТ","ГИМНАСТИЧЕСКИЙ ЗАЛ","SPRTGym","SPRT","Sports played or performed primarily in a gym and/or ring, such as boxing, wrestling, gymnastics. See also SPORTS-INDOOR.","бокс, борьба, гимнастика, силовые тренировки, боевые искусства, карате, дзюдо, таэквон-до, додзё, кунг-фу"],
["СПОРТ","В ПОМЕЩЕНИИ","SPRTIndor","SPRT","Various indoor sports not able to be categorized elsewhere.","боулинг, бильярд, пинг-понг, дартс"],
["СПОРТ","РАЗНОЕ","SPRTMisc","SPRT","Sport sounds not fitting another category in this list.","гольф"],
["СПОРТ","РОЛИКОВЫЙ","SPRTSkate","SPRT","Wheeled skating sports like skateboarding or roller skating, rollerblading.","скейтбординг, катание на роликах, роликовые коньки, толкание самоката"],
["СПОРТ","ЛЕГКАЯ АТЛЕТИКА","SPRTTrck","SPRT","Track and field sports, as in running, long jump, pole vault. Think common summer Olympic games.","прыжки в длину, бег, прыжки с шестом, толкание ядра, метание копья"],
["СПОРТ","ВОДНЫЙ","SPRTWatr","SPRT","Sports played in or on water, swimming, diving. Aquatic sports.","плавание, водное поло, водный волейбол, дайвинг, водные лыжи, серфинг, кайтбординг, скуба, сноркелинг"],
["СПОРТ","ЗИМА","SPRTWntr","SPRT","Sports on snow or ice such as hockey, ice skating, snowboard and skiing.","лыжи, сноуборд, бобслей, коньки, санки, керлинг, хоккей, санный спорт, конькобежный спорт"],
["СВИСТ РАССЕКАНИЯ ВОЗДУХА","МАЛЕНЬКИЙ","SWSH","SWSH","A swish is smaller than a Whoosh. Arm Swishes, Sword Swishes. Small objects make Swishes.","свист, кунгфу, визби, флаттер, свинг"],
["СВИСТ РАССЕКАНИЯ ВОЗДУХА","БОЛЬШОЙ","WHSH","WHSH","A whoosh is larger than a swish. A large object would make a Whoosh. Tanks flying over your head, or an asteroid by. See also DESIGNED-WHOOSH for very stylized whooshes.","woosh"],
["ИНСТРУМЕНТЫ","САД","TOOLGrdn","TOOL","Hand tools used in a garden, rakes, hoes, etc. Also see MACHINES-GARDEN for powered machines. See also OBJECTS-GARDEN for non-tools.","грабли, мотыга, лопата, совок, метла, секатор, садовые вилы, культиватор, сучкорез, лопата, прополка"],
["ИНСТРУМЕНТЫ","РУЧНЫЕ","TOOLHand","TOOL","Hand tools, not requiring power. Hammers, wrenches, pliers. See also TOOLS-GARDEN.","молоток, отвертка, плоскогубцы, гаечный ключ, трещотка, розетка, ручная пила, струбцина, кусачки, выколотка, зубило, скребок, степлер, напильник, ножницы"],
["ИНСТРУМЕНТЫ","РАЗНОЕ","TOOLMisc","TOOL","Tool sounds not fitting another category in this list.","разное"],
["ИНСТРУМЕНТЫ","ПНЕВМАТИЧЕСКИЕ","TOOLPneu","TOOL","Air tools, such as jackhammers, air ratchets, nail guns. The air-wrench sound in a tire shop.","отбойный молоток, пневматический инструмент, пневматическая трещотка, гвоздодеры"],
["ИНСТРУМЕНТЫ","ЭЛЕКТРИЧЕСКИЕ","TOOLPowr","TOOL","Tools that require power. A sander, electric drill, dremel tool, circular saw.","дрель, электропила, циркулярная пила, лобзик, шлифовальная машина, ленточная шлифовальная машина, фрезер, шуруповерт, тепловая пушка, сверлильный пресс, настольная пила"],
["ИГРУШКИ","ЭЛЕКТРОННЫЕ","TOYElec","TOY","Remote controlled car, slot cars. Any kids toy that required power. See also AIRCRAFT-REMOTE CONTROLLED.","автомобиль с дистанционным управлением, игровой автомобиль, говорить и произносить заклинания, furby"],
["ИГРУШКИ","МЕХАНИЧЕСКИЕ","TOYMech","TOY","Wind up robots, things like that. Toys with some mechanism or mechanical component.","заводная игрушка, игрушечный робот, заводная игрушка"],
["ИГРУШКИ","РАЗНОЕ","TOYMisc","TOY","Toy sounds not fitting another category in this list.","фигурка, кукла, мягкая игрушка"],
["ПОЕЗДА","ТОРМОЗА","TRNBrake","TRN","Screeching metalic train brake wheels, subway brakes. Usually a piercing sound.","ломается, скрипит, скрежещет"],
["ПОЕЗДА","СТУК КОЛЕС","TRNClak","TRN","Train clacks isolated, constant clacking of trains passing or running.","лязг"],
["ПОЕЗДА","ДВЕРИ","TRNDoor","TRN","Train doors, sliding doors in passenger or freight trains. Some overlap with general DOORS category and possibly VEHICLES-DOOR.","дверь поезда, дверь метро"],
["ПОЕЗДА","ДИЗЕЛЬНЫЕ","TRNDiesl","TRN","Freight trains, large commercial diesel locomotives.","дизельный поезд"],
["ПОЕЗДА","ЭЛЕКТРИЧЕСКИЕ","TRNElec","TRN","Commuter trains, elevated trains, light rail, SUBWAYS have their own category.","пригородный поезд, региональный поезд, городская линия, междугородний поезд, легкорельсовый поезд"],
["ПОЕЗДА","ВЫСОКОСКОРОСТНЫЕ","TRNHspd","TRN","Hi-Tech trains, Maglev, monorails, Hyperloops, bullet trains.","высокотехнологичный поезд, маглев, монорельс, гиперпетля, поезд-пуля"],
["ПОЕЗДА","ГУДОК","TRNHorn","TRN","Train horns, subway horns. A steam train whistle would likely go into WHISTLES-MECHANICAL.","гудок поезда, гудок метро"],
["ПОЕЗДА","ИНТЕРЬЕР","TRNInt","TRN","Interior trains, from Diesel to Commuter, onboard train sounds.","пригородный поезд, региональный поезд, городская линия, междугородний поезд, легкорельсовый поезд, грузовой поезд, метро, монорельс"],
["ПОЕЗДА","МЕХАНИЗМ","TRNMech","TRN","Coupling, decoupling and other mechanical sounds relating to trains. Levers, coal tender mechanics that are specific to a train.","шунт, разъединение"],
["ПОЕЗДА","РАЗНОЕ","TRNMisc","TRN","Train sounds not fitting another category in this list.","разное"],
["ПОЕЗДА","ПАРОВОЗ","TRNSteam","TRN","Old steam powered trains, big smoke stack chugs.","паровоз, угольный поезд"],
["ПОЕЗДА","МЕТРО","TRNSbwy","TRN","Subways, overtly 'underground' sounding trains, above group city trains probably best in TRAINS-ELECTRIC","метро, подземка, труба, рельсы"],
["ПОЕЗДА","ТРАМВАЙ","TRNTram","TRN","Trolleys, cable cars trams and streetcars. A Tram is 'pulled' along a cable, so not self-powered. An electric tram would go to TRAINS-ELECTRIC.","трамвай, троллейбус, фуникулер, канатная дорога, фуникулер, канатная дорога"],
["ПОЛЬЗОВАТЕЛЬСКИЙ ИНТЕРФЕЙС","ПРЕДУПРЕЖДЕНИЕ","UIAlert","UI","An alert tone or chime or notification. Something that gets Attention of User, startup chimes.","сигнал, звуковой сигнал, текстовое сообщение, уведомление, запуск"],
["ПОЛЬЗОВАТЕЛЬСКИЙ ИНТЕРФЕЙС","ВЗАИМОДЕЙСТВИЕ","UIBeep","UI","Interface beeps, beeps while interacting with various technology, phones, computers. Also see BEEPS category.","звуковой сигнал компьютера, звуковой сигнал телефона"],
["ПОЛЬЗОВАТЕЛЬСКИЙ ИНТЕРФЕЙС","КЛИК","UIClick","UI","Typing clicks, button press clicks, response to input.","щелчок, нажатие, ввод"],
["ПОЛЬЗОВАТЕЛЬСКИЙ ИНТЕРФЕЙС","ОБРАБОТКА ДАННЫХ","UIData","UI","User interface calculations, scanning, thinking, text displayed on screen. Screen gak or garble.","данные, обработка, информация, мышление"],
["ПОЛЬЗОВАТЕЛЬСКИЙ ИНТЕРФЕЙС","СБОЙ","UIGlitch","UI","On Screen Glitches or Static. Malfunctioning computer or OS.","глюк, неисправность, сбой, паника ядра, ошибка медитации гуру"],
["ПОЛЬЗОВАТЕЛЬСКИЙ ИНТЕРФЕЙС","РАЗНОЕ","UIMisc","UI","User Interface sounds not fitting another category in this list.","разное"],
["ПОЛЬЗОВАТЕЛЬСКИЙ ИНТЕРФЕЙС","ДВИЖЕНИЕ","UIMvmt","UI","User interface slides, swipes, scrolls. Open, Close, Appear, DIsappear.","пролистывать, прокручивать, увеличивать, страница"],
["РАСТИТЕЛЬНОСТЬ","ТРАВА","VEGEGras","VEGE","Individual movement of grass elements in a studio or exterior environment.","шелест травы, пройти, сено, пшеница"],
["РАСТИТЕЛЬНОСТЬ","ЛИСТЬЯ","VEGELeaf","VEGE","Individual movement of leaf elements in a studio or exterior environment. Jumping into a pile of leaves.","вихрь листьев, падение листьев, падающие листья, куча листьев"],
["РАСТИТЕЛЬНОСТЬ","РАЗНОЕ","VEGEMisc","VEGE","Vegetation and Foliage sounds not fitting another category in this list.","листва"],
["РАСТИТЕЛЬНОСТЬ","ДЕРЕВО","VEGETree","VEGE","Individual movement of tree and brand elements in a studio or exterior environment.","падение дерева, треск ветки, сломанная ветка, веточка"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","СИГНАЛИЗАЦИЯ","VEHAlrm","VEH","Not sirens, but just Car alarms, car alarm arm and disarm chirps.","автомобиль, авто, автомобильный, автомобильная сигнализация, сигнал тревоги, щебетание при постановке на охрану, щебетание при снятии с охраны, брелок"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","СТАРИННЫЕ","VEHAntq","VEH","Very old vehicles, such a Model A, Model T. Mainly cars, but possible other very old vehicles, trucks, tractors.","машина, авто, автомобиль, олдсмобиль, модель а, модель т"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ВЕЗДЕХОД","VEHAtv","VEH","All-Terrain Vehicle, three and four-wheelers, dune buggies, side by side.","квадроцикл, трехколесный, четырехколесный, квадрицикл, дюна-багги"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ВЕЛОСИПЕД","VEHBike","VEH","Bicycles, recumbent bikes, unicycles too. Any manner of pedal powered bicycle.","велосипед, велосипед, велосипед, велосипед, одноколесный велосипед, тандем, bmx"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ТОРМОЗА","VEHBrake","VEH","Brake squeals and screeches of all kinds. TRAINS-BRAKE has its own category.","визг тормозов, скрип, скрежет"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","АВТОБУС","VEHBus","VEH","City buses, school buses, Greyhound buses.","городской автобус, школьный автобус, рейсовый автобус, междугородний автобус, туристический автобус, двухэтажный автобус"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","АВТОМОБИЛЬ","VEHCar","VEH","All cars except overtly antique... add ERA to metadata to make searches easier. 1950s, 1960s...","автомобиль, авто, автомобиль"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","СТРОИТЕЛЬСТВО","VEHCnst","VEH","Cranes, bulldozers, paving vehicles, any construction related vehicle goes here.","кран, бульдозер, экскаватор, экскаватор, экскаваторщик, вилочный погрузчик"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ДВЕРИ","VEHDoor","VEH","Car, van, truck. Their doors all go here.","автомобиль, авто, автомобиль, дверь автомобиля, дверь фургона, дверь грузовика"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ЭЛЕКТРИЧЕСКИЕ","VEHElec","VEH","Electric golf carts, electric scooters, electric cars. A Tesla. Any variety of electric vehicle, even electric motorcycles.","segway, гольф-кар, электрический скутер, электромобиль, электрический мотоцикл, tesla, электрический гокарт"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ЧРЕЗВЫЧАЙНАЯ СИТУАЦИЯ","VEHEmrg","VEH","Specifically emegency vehicles like Firetrucks, Ambulances, Police cars. Isolated sirens would go still to VEHICLES-SIREN.","пожарная машина, пожарная машина, машина скорой помощи, полицейская машина, фургон спецназа"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ФЕРМА","VEHFarm","VEH","I'd put farm tractors here, Some overlap possibly with CONSTRUCTION vehicles. A riding lawn mower would best to MACHINES-GARDEN maybe.","трактор, комбайн, лущильник, жатка"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ГРУЗОПЕРЕВОЗКИ","VEHFrght","VEH","Big Rigs, Lorry, Semi-truck, U-Haul trucks, not for TRAINS, which have their own category.","большие грузовики, грузовик, полугрузовик, грузовик u-haul, грузовик penske, грузовик box, грузовой грузовик"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ТИПИЧНЫЙ ПРОЕЗД МИМО","VEHBy","VEH","Generic or general vehicle pass bys, not 'traffic'. Bys for a specific car go with that car. For group passbys use AMBIENCE-TRAFFIC.","машина, авто, автомобиль, проезжать мимо"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ГУДОК","VEHHorn","VEH","Specifically car and vehicles horns. BOATS-HORNS and TRAINS-HORN have their own category. Fog horn would go into HORNS-AIR.","машина, авто, автомобиль, автомобильный, автомобильный гудок"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ИНТЕРЬЕР","VEHInt","VEH","Interior recordings (ambiences) for car, truck, van interiors, from passenger cars, to back of a moving truck, riding inside a bus.","автомобиль, грузовик, фургон, интерьер, вождение, бортовой, автобус"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ДРАНДУЛЕТ","VEHJalop","VEH","Backfiring, poorly running vehicle. False starts, sputtering... In foreign language translate to MALFUNCTIONING. See also CARTOON-VEHICLE.","автомобиль, авто, автомобильный, хопти, кланкер, джанкер, фальстарт, осечка, неисправность, осечка, обратный удар"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","МЕХАНИЗМ","VEHMech","VEH","Various mechanisms on a vehicle, like seatbelts, window cranks, door locks.","стеклоподъемник, перчаточный ящик, лобовое стекло, стеклоочиститель, багажник, ремень безопасности, ремень безопасности, сигнал поворота, переключение передач"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ВОЕННЫЕ","VEHMil","VEH","Overtly military ground vehicles. Tanks and military trucks for example. Armored Personnel Carriers, military Jeeps. See also AIRCRAFT-MILITARY and BOATS-MILITARY.","танк, БТР, бронетранспортер, хамви, джип"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","РАЗНОЕ","VEHMisc","VEH","Vehicles sounds not fitting another category in this list.","снегоход"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","МОТОЦИКЛ","VEHMoto","VEH","Scooters, Motorcycles, Vespas, Motocross… All things 2 wheeled and powered. ATV goes to VEHICLES-ATV.","скутер, мотоцикл, мотобайк, веспа, мотокросс, дёрт-байк"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ГОНОЧНЫЕ","VEHRace","VEH","Racing cars or drag racing cars. Indy and Formula 1 cars, monster trucks, BOATS-RACING has its own category.","автомобиль, авто, автомобиль, гоночный автомобиль, дрэг-рейсер, инди, формула 1, наскар, гран-при, монстр-трак"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","СИРЕНА","VEHSirn","VEH","Police, Firetruck, Ambulance sirens. Any vehicle siren. See also VEHICLES-EMERGENCY if engine sounds are present also.","скорая помощь, полиция, сирена, пожарная машина, пожарный"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ВИЗГ ШИН","VEHSkid","VEH","Tire skids, peel-outs. Other tire sounds go in VEHICLES-TIRES.","занос шин, вылет шин, срыв шин, выжигание шин"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ПОДВЕСКА","VEHSusp","VEH","Suspension squeaks and rattles, for any car, truck, semi. Suspensions springs. A car or truck on a very rough road.","подвеска, амортизационные пружины, скрип, скрежет"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ШИНА","VEHTire","VEH","Tire rolls on various surfaces, tire whines, no engine sounds, isolated tire sounds. A flat tire flop.","шина, покрышка, катиться"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ГРУЗОВИК ФУРГОН И ВНЕДОРОЖНИК","VEHTruck","VEH","Passenger Trucks, pickup trucks, Vans and SUVs. Commercial trucks go in VEHICLES-FREIGHT.","автомобиль, авто, автомобиль, пассажирский грузовик, пикап, фургон, внедорожник, бортовой, "],
["ТРАНСПОРТНЫЕ СРЕДСТВА","СПЕЦИАЛЬНЫЕ","VEHUtil","VEH","Golf carts, cushmans, traffic, gator, small motorized utility vehicles.","внедорожник, sxs, side by side, rzr, ranger, cushman, gator"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ПОВОЗКА","VEHWagn","VEH","Old wood wagon, horse drawn carts, carriages, buggies. A Stagecoach.","повозка, дилижанс, багги, карета, дровяная телега"],
["ТРАНСПОРТНЫЕ СРЕДСТВА","ЭЛЕКТРОСТЕКЛОПОДЪЕМНИК","VEHWndw","VEH","Powered windows for any vehicles, crank windows should go in VEHICLES-MECHANISM.","автомобиль, авто, автомобиль, автоматическое окно, электрическое окно"],
["ГОЛОСА","ИНОНОПЛАНЕТНЫЕ","VOXAlien","VOX","Weird alien vocals here.","инопланетный язык, чубакка"],
["ГОЛОСА","МЛАДЕНЕЦ","VOXBaby","VOX","Very young babies through toddler, non-word vocals, cut vocals.","ворковать, лепетать, суетиться, сопеть"],
["ГОЛОСА","ВОСКЛИЦАНИЕ","VOXCheer","VOX","A single person cheering. For a group use CROWDS-CHEERING.","хлопать, бухтеть, радоваться, ура, кричать, ухать, орать"],
["ГОЛОСА","РЕБЕНОК","VOXChld","VOX","Various vocals for a child or a teenager. For non-discernible vocals for a very young child use VOICES-BABY.","ребенок, подросток, тин"],
["ГОЛОСА","ПЛАЧ","VOXCry","VOX","A single person crying.","плакать, дуться, всхлипывать, хныкать, выть, суетиться, раниться"],
["ГОЛОСА","УСИЛИЯ","VOXEfrt","VOX","A single fight and vocal efforts, single grunts, and things like that. Boxing match vocals, tennis grunts.","усилие, ворчать, бороться, напрягаться, напрягаться, напрягаться"],
["ГОЛОСА","ЖЕНСКИЕ","VOXFem","VOX","Any generic female vocal or dialog or misc vocal that doesn't fit somewhere else.","женщина, женщина"],
["ГОЛОСА","СИСТЕМЫ ОПОВЕЩЕНИЯ","VOXFutz","VOX","P.A. Speakers, Airport announcements, Hospital announcements.","оратор, публичное обращение, объявление"],
["ГОЛОСА","исторический","VOXHist","VOX","For storing famous speeches, famous news broadcasts, presidential speeches.","речь, лекция, передача, новости, исторический"],
["ГОЛОСА","СМЕХ","VOXLaff","VOX","A single person laughing.","хихикать, хихикать, смеяться, хохотать, хохотать, хохотать, маниакальный, истерический"],
["ГОЛОСА","МУЖСКИЕ","VOXMale","VOX","Any generic male vocal or dialog or misc vocal that doesn't fit somewhere else.","мужчина, человек"],
["ГОЛОСА","РАЗНОЕ","VOXMisc","VOX","The Voice category is for single voices. Groups of people go into the CROWDS categories.","разное"],
["ГОЛОСА","РЕАКЦИЯ","VOXReac","VOX","A single Ooo or Aah and things of that nature.","ох, ух, ууу, ах, ахх, ахх, эр, эм, хмм, хм"],
["ГОЛОСА","КРИК","VOXScrm","VOX","A single scream or yell, battle cry, agonizing death.","крик, вопль, вопль, крик, смерть, падение"],
["ГОЛОСА","ПЕНИЕ","VOXSing","VOX","A single voice singing, a child singing. For a crowd, use CROWDS-SINGING","петь, гудеть, частушка"],
["ГОЛОСА","ШЕПОТ","VOXWhsp","VOX","A single whispering voice. The crowd equivalent would be CROWDS-QUIET.","шептать, журчать, тишина"],
["ВОДА","БУЛЬКАНЬЕ","WATRBubl","WATR","Single or continuous bubbles. Water boiling on a stove, fish tank bubbles.","бурлить, кипеть, бурлить, бурлить, бурлить, бурлить, бурлить, котёл, котёл, зелье"],
["ВОДА","СТОК","WATRDran","WATR","Draining gurgling water, pulling in air with it as it drains, think a kitchen sink drain, or a storm drain, shower drain.","слив, булькать, бурлить, канализация, душ, раковина, ливневая канализация"],
["ВОДА","КАПАНЬЕ","WATRDrip","WATR","Water dripping, slow to fast. A cave drip, a leaking pipe dripping or a kitchen faucet dripping.","капать, капать, капать, капать, струйка, течь, пещера"],
["ВОДА","ШИПЕНИЕ","WATRFizz","WATR","That sound of Alka-Seltzer in a cup, air fizzing in water. Carbonated beverages.","шипение, шипение, зельцер, пена, шипение"],
["ВОДА","ПОТОК","WATRFlow","WATR","General water flowing, in our case as in a river, creek or stream. Steady water. Rapids would fall under WATER-TURBULENCE, and WATERFALL has its own subcategory","река, поток, ручей, течение, водоток, приток, ручей, ручей, русло, ручеек, родник, источник"],
["ВОДА","ФОНТАН","WATRFoun","WATR","Water features and fountains, trickles or flows for a fountain, splashy fountains. From tiny to large city fountains.","фонтан, брызги, струйка, шипение"],
["ВОДА","УДАР","WATRImpt","WATR","Percussive water impact, large crash or slam of water, as in huge wave hitting an object. Bigger and sharper than a SPLASH","всплеск, всплеск, пушечное ядро, глубинный заряд, всплеск"],
["ВОДА","ПЛЕСК","WATRLap","WATR","Water splashing against something like against the side of a boat or canoe, or a dock. Also meant for very small waves lapping on shore, like gentle very small waves at night.","рябь, круг, корпус, шлепок, шлепок, шлепок"],
["ВОДА","РАЗНОЕ","WATRMisc","WATR","Water sounds not fitting another category in this list.","разное"],
["ВОДА","ДВИЖЕНИЕ","WATRMvmt","WATR","Movement in water but not underwater (see WATER-UNDERWATER) Drags through water, swimming movements, sweeps of objects through water. Thrashing in water.","шлепать, плескаться, плескаться, плескаться, подметать, ступать"],
["ВОДА","ВОДОПРОВОД","WATRPlmb","WATR","Household plumbing, like a sink running, a toilet flush, the shower running. DRAIN has its own subcategory.","слив в туалете, раковина, душ,"],
["ВОДА","РАЗЛИВАНИЕ","WATRPour","WATR","Pouring water, onto ground, into a cup. Overlap with FOOD & DRINK-POUR.","наливать, наполнять, сбрасывать, опорожнять"],
